,night_length,SON_kwh,LED_kwh,smart_A_LED_kwh,smart_B_LED_kwh,smart_C_LED_kwh
0,58699,2.4457916666666666,0.8152638888888888,0.3831740277777777,0.4810056944444444,0.4565477777777778
1,58618,2.4424166666666665,0.8141388888888889,0.38264527777777774,0.48034194444444434,0.4559177777777777
2,58531,2.4387916666666665,0.8129305555555555,0.3820773611111111,0.4796290277777777,0.45524111111111104
3,58439,2.4349583333333333,0.8116527777777777,0.3814768055555555,0.4788751388888889,0.45452555555555557
4,58339,2.4307916666666665,0.8102638888888888,0.3808240277777777,0.4780556944444444,0.4537477777777777
5,58233,2.4263749999999997,0.8087916666666666,0.3801320833333333,0.47718708333333326,0.4529233333333333
6,58122,2.42175,0.8072499999999999,0.3794075,0.4762774999999999,0.45206
7,58004,2.4168333333333334,0.8056111111111111,0.3786372222222222,0.4753105555555555,0.4511422222222223
8,57882,2.41175,0.8039166666666666,0.3778408333333333,0.4743108333333333,0.4501933333333333
9,57752,2.4063333333333334,0.802111111111111,0.3769922222222222,0.4732455555555555,0.44918222222222226
10,57619,2.4007916666666667,0.8002638888888888,0.37612402777777776,0.4721556944444444,0.4481477777777778
11,57479,2.3949583333333333,0.7983194444444444,0.3752101388888888,0.4710084722222222,0.4470588888888889
12,57335,2.388958333333333,0.7963194444444444,0.3742701388888888,0.4698284722222222,0.44593888888888883
13,57185,2.3827083333333334,0.794236111111111,0.3732909722222222,0.4685993055555555,0.44477222222222224
14,57030,2.3762499999999998,0.7920833333333333,0.3722791666666666,0.46732916666666663,0.4435666666666666
15,56871,2.369625,0.789875,0.37124124999999997,0.46602625,0.44233
16,56707,2.3627916666666664,0.7875972222222222,0.37017069444444445,0.46468236111111105,0.44105444444444447
17,56538,2.35575,0.7852499999999999,0.3690675,0.4632974999999999,0.43973999999999996
18,56366,2.3485833333333335,0.782861111111111,0.36794472222222224,0.4618880555555555,0.43840222222222225
19,56189,2.3412083333333333,0.7804027777777777,0.36678930555555556,0.4604376388888889,0.43702555555555556
20,56009,2.333708333333333,0.7779027777777777,0.3656143055555555,0.45896263888888883,0.43562555555555554
21,55824,2.326,0.7753333333333333,0.3644066666666666,0.45744666666666667,0.43418666666666667
22,55636,2.3181666666666665,0.7727222222222222,0.3631794444444444,0.45590611111111107,0.43272444444444447
23,55443,2.3101249999999998,0.7700416666666666,0.36191958333333324,0.45432458333333325,0.4312233333333333
24,55248,2.302,0.7673333333333333,0.36064666666666667,0.4527266666666666,0.4297066666666666
25,55049,2.2937083333333335,0.7645694444444444,0.3593476388888889,0.4510959722222222,0.4281588888888889
26,54847,2.2852916666666667,0.7617638888888888,0.3580290277777778,0.44944069444444434,0.4265877777777778
27,54643,2.2767916666666665,0.7589305555555556,0.35669736111111106,0.4477690277777777,0.42500111111111105
28,54435,2.268125,0.7560416666666666,0.35533958333333326,0.4460645833333333,0.4233833333333333
29,54224,2.259333333333333,0.7531111111111111,0.3539622222222221,0.44433555555555554,0.42174222222222213
30,54012,2.2504999999999997,0.7501666666666666,0.3525783333333333,0.4425983333333333,0.4200933333333334
31,53796,2.2415,0.7471666666666666,0.35116833333333325,0.44082833333333327,0.4184133333333333
32,53578,2.2324166666666665,0.7441388888888888,0.34974527777777775,0.4390419444444444,0.41671777777777774
33,53358,2.2232499999999997,0.7410833333333333,0.34830916666666667,0.4372391666666666,0.41500666666666663
34,53135,2.2139583333333333,0.737986111111111,0.3468534722222222,0.4354118055555555,0.41327222222222215
35,52910,2.2045833333333333,0.7348611111111111,0.34538472222222216,0.4335680555555555,0.4115222222222221
36,52683,2.195125,0.7317083333333333,0.34390291666666667,0.4317079166666666,0.40975666666666655
37,52455,2.185625,0.7285416666666666,0.3424145833333333,0.42983958333333333,0.4079833333333333
