,sunrise,sunset,solar_noon,day_length,civil_twilight_begin,civil_twilight_end,nautical_twilight_begin,nautical_twilight_end,astronomical_twilight_begin,astronomical_twilight_end
0,8:37:54 AM,4:19:35 PM,12:28:45 PM,07:41:41,7:57:51 AM,4:59:38 PM,7:12:47 AM,5:44:42 PM,6:30:22 AM,6:27:08 PM
1,8:37:42 AM,4:20:44 PM,12:29:13 PM,07:43:02,7:57:44 AM,5:00:41 PM,7:12:44 AM,5:45:42 PM,6:30:21 AM,6:28:05 PM
2,8:37:26 AM,4:21:55 PM,12:29:40 PM,07:44:29,7:57:34 AM,5:01:47 PM,7:12:38 AM,5:46:43 PM,6:30:17 AM,6:29:04 PM
3,8:37:07 AM,4:23:08 PM,12:30:08 PM,07:46:01,7:57:20 AM,5:02:55 PM,7:12:28 AM,5:47:47 PM,6:30:10 AM,6:30:05 PM
4,8:36:44 AM,4:24:25 PM,12:30:34 PM,07:47:41,7:57:03 AM,5:04:06 PM,7:12:16 AM,5:48:53 PM,6:30:00 AM,6:31:08 PM
5,8:36:17 AM,4:25:44 PM,12:31:01 PM,07:49:27,7:56:43 AM,5:05:18 PM,7:12:01 AM,5:50:01 PM,6:29:48 AM,6:32:14 PM
6,8:35:48 AM,4:27:06 PM,12:31:27 PM,07:51:18,7:56:20 AM,5:06:33 PM,7:11:42 AM,5:51:11 PM,6:29:33 AM,6:33:20 PM
7,8:35:14 AM,4:28:30 PM,12:31:52 PM,07:53:16,7:55:53 AM,5:07:50 PM,7:11:21 AM,5:52:23 PM,6:29:15 AM,6:34:29 PM
8,8:34:38 AM,4:29:56 PM,12:32:17 PM,07:55:18,7:55:24 AM,5:09:10 PM,7:10:57 AM,5:53:36 PM,6:28:54 AM,6:35:40 PM
9,8:33:57 AM,4:31:25 PM,12:32:41 PM,07:57:28,7:54:51 AM,5:10:31 PM,7:10:30 AM,5:54:52 PM,6:28:30 AM,6:36:52 PM
10,8:33:14 AM,4:32:55 PM,12:33:05 PM,07:59:41,7:54:16 AM,5:11:54 PM,7:10:00 AM,5:56:09 PM,6:28:04 AM,6:38:06 PM
11,8:32:27 AM,4:34:28 PM,12:33:28 PM,08:02:01,7:53:37 AM,5:13:19 PM,7:09:28 AM,5:57:28 PM,6:27:34 AM,6:39:21 PM
12,8:31:38 AM,4:36:03 PM,12:33:50 PM,08:04:25,7:52:55 AM,5:14:46 PM,7:08:52 AM,5:58:49 PM,6:27:02 AM,6:40:38 PM
13,8:30:45 AM,4:37:40 PM,12:34:12 PM,08:06:55,7:52:10 AM,5:16:14 PM,7:08:13 AM,6:00:11 PM,6:26:28 AM,6:41:57 PM
14,8:29:48 AM,4:39:18 PM,12:34:33 PM,08:09:30,7:51:22 AM,5:17:44 PM,7:07:32 AM,6:01:35 PM,6:25:50 AM,6:43:17 PM
15,8:28:49 AM,4:40:58 PM,12:34:54 PM,08:12:09,7:50:32 AM,5:19:16 PM,7:06:48 AM,6:03:00 PM,6:25:10 AM,6:44:38 PM
16,8:27:47 AM,4:42:40 PM,12:35:14 PM,08:14:53,7:49:38 AM,5:20:49 PM,7:06:01 AM,6:04:26 PM,6:24:26 AM,6:46:01 PM
17,8:26:42 AM,4:44:24 PM,12:35:33 PM,08:17:42,7:48:42 AM,5:22:24 PM,7:05:11 AM,6:05:54 PM,6:23:41 AM,6:47:25 PM
18,8:25:34 AM,4:46:08 PM,12:35:51 PM,08:20:34,7:47:43 AM,5:23:59 PM,7:04:19 AM,6:07:23 PM,6:22:52 AM,6:48:50 PM
19,8:24:23 AM,4:47:54 PM,12:36:09 PM,08:23:31,7:46:41 AM,5:25:37 PM,7:03:24 AM,6:08:54 PM,6:22:01 AM,6:50:17 PM
20,8:23:10 AM,4:49:41 PM,12:36:26 PM,08:26:31,7:45:36 AM,5:27:15 PM,7:02:26 AM,6:10:25 PM,6:21:07 AM,6:51:44 PM
21,8:21:54 AM,4:51:30 PM,12:36:42 PM,08:29:36,7:44:29 AM,5:28:54 PM,7:01:26 AM,6:11:58 PM,6:20:10 AM,6:53:13 PM
22,8:20:35 AM,4:53:19 PM,12:36:57 PM,08:32:44,7:43:19 AM,5:30:35 PM,7:00:23 AM,6:13:32 PM,6:19:11 AM,6:54:43 PM
23,8:19:13 AM,4:55:10 PM,12:37:12 PM,08:35:57,7:42:07 AM,5:32:16 PM,6:59:17 AM,6:15:06 PM,6:18:09 AM,6:56:14 PM
24,8:17:49 AM,4:57:01 PM,12:37:25 PM,08:39:12,7:40:52 AM,5:33:59 PM,6:58:09 AM,6:16:42 PM,6:17:05 AM,6:57:46 PM
25,8:16:23 AM,4:58:54 PM,12:37:38 PM,08:42:31,7:39:34 AM,5:35:42 PM,6:56:58 AM,6:18:18 PM,6:15:58 AM,6:59:19 PM
26,8:14:54 AM,5:00:47 PM,12:37:50 PM,08:45:53,7:38:15 AM,5:37:26 PM,6:55:45 AM,6:19:56 PM,6:14:48 AM,7:00:53 PM
27,8:13:23 AM,5:02:40 PM,12:38:02 PM,08:49:17,7:36:52 AM,5:39:11 PM,6:54:30 AM,6:21:34 PM,6:13:36 AM,7:02:27 PM
28,8:11:50 AM,5:04:35 PM,12:38:12 PM,08:52:45,7:35:28 AM,5:40:57 PM,6:53:12 AM,6:23:13 PM,6:12:22 AM,7:04:03 PM
29,8:10:14 AM,5:06:30 PM,12:38:22 PM,08:56:16,7:34:01 AM,5:42:43 PM,6:51:52 AM,6:24:53 PM,6:11:05 AM,7:05:39 PM
30,8:08:37 AM,5:08:25 PM,12:38:31 PM,08:59:48,7:32:32 AM,5:44:30 PM,6:50:29 AM,6:26:33 PM,6:09:46 AM,7:07:16 PM
31,8:06:57 AM,5:10:21 PM,12:38:39 PM,09:03:24,7:31:01 AM,5:46:17 PM,6:49:04 AM,6:28:14 PM,6:08:24 AM,7:08:54 PM
32,8:05:15 AM,5:12:17 PM,12:38:46 PM,09:07:02,7:29:28 AM,5:48:05 PM,6:47:37 AM,6:29:56 PM,6:07:00 AM,7:10:33 PM
33,8:03:32 AM,5:14:14 PM,12:38:53 PM,09:10:42,7:27:52 AM,5:49:54 PM,6:46:08 AM,6:31:38 PM,6:05:33 AM,7:12:12 PM
34,8:01:46 AM,5:16:11 PM,12:38:58 PM,09:14:25,7:26:15 AM,5:51:42 PM,6:44:36 AM,6:33:21 PM,6:04:04 AM,7:13:53 PM
35,7:59:58 AM,5:18:08 PM,12:39:03 PM,09:18:10,7:24:35 AM,5:53:31 PM,6:43:03 AM,6:35:04 PM,6:02:33 AM,7:15:33 PM
36,7:58:09 AM,5:20:06 PM,12:39:07 PM,09:21:57,7:22:54 AM,5:55:21 PM,6:41:27 AM,6:36:48 PM,6:01:00 AM,7:17:15 PM
37,7:56:18 AM,5:22:03 PM,12:39:11 PM,09:25:45,7:21:10 AM,5:57:11 PM,6:39:49 AM,6:38:32 PM,5:59:24 AM,7:18:57 PM
38,7:54:25 AM,5:24:01 PM,12:39:13 PM,09:29:36,7:19:25 AM,5:59:01 PM,6:38:09 AM,6:40:17 PM,5:57:47 AM,7:20:39 PM
39,7:52:31 AM,5:25:58 PM,12:39:15 PM,09:33:27,7:17:38 AM,6:00:51 PM,6:36:28 AM,6:42:02 PM,5:56:07 AM,7:22:23 PM
40,7:50:35 AM,5:27:56 PM,12:39:16 PM,09:37:21,7:15:50 AM,6:02:41 PM,6:34:44 AM,6:43:47 PM,5:54:25 AM,7:24:06 PM
41,7:48:38 AM,5:29:54 PM,12:39:16 PM,09:41:16,7:13:59 AM,6:04:32 PM,6:32:58 AM,6:45:33 PM,5:52:40 AM,7:25:51 PM
42,7:46:39 AM,5:31:51 PM,12:39:15 PM,09:45:12,7:12:07 AM,6:06:23 PM,6:31:11 AM,6:47:19 PM,5:50:54 AM,7:27:36 PM
43,7:44:38 AM,5:33:49 PM,12:39:14 PM,09:49:11,7:10:13 AM,6:08:14 PM,6:29:22 AM,6:49:06 PM,5:49:06 AM,7:29:21 PM
44,7:42:37 AM,5:35:46 PM,12:39:11 PM,09:53:09,7:08:18 AM,6:10:05 PM,6:27:31 AM,6:50:52 PM,5:47:15 AM,7:31:07 PM
45,7:40:33 AM,5:37:44 PM,12:39:09 PM,09:57:11,7:06:21 AM,6:11:56 PM,6:25:38 AM,6:52:39 PM,5:45:23 AM,7:32:54 PM
46,7:38:29 AM,5:39:41 PM,12:39:05 PM,10:01:12,7:04:23 AM,6:13:47 PM,6:23:43 AM,6:54:27 PM,5:43:29 AM,7:34:41 PM
47,7:36:23 AM,5:41:38 PM,12:39:01 PM,10:05:15,7:02:23 AM,6:15:38 PM,6:21:47 AM,6:56:15 PM,5:41:32 AM,7:36:29 PM
48,7:34:17 AM,5:43:35 PM,12:38:56 PM,10:09:18,7:00:22 AM,6:17:29 PM,6:19:49 AM,6:58:02 PM,5:39:34 AM,7:38:17 PM
49,7:32:09 AM,5:45:31 PM,12:38:50 PM,10:13:22,6:58:19 AM,6:19:21 PM,6:17:49 AM,6:59:51 PM,5:37:34 AM,7:40:06 PM
50,7:30:00 AM,5:47:28 PM,12:38:44 PM,10:17:28,6:56:16 AM,6:21:12 PM,6:15:48 AM,7:01:39 PM,5:35:32 AM,7:41:55 PM
51,7:27:49 AM,5:49:24 PM,12:38:37 PM,10:21:35,6:54:10 AM,6:23:03 PM,6:13:46 AM,7:03:28 PM,5:33:28 AM,7:43:45 PM
52,7:25:38 AM,5:51:20 PM,12:38:29 PM,10:25:42,6:52:04 AM,6:24:54 PM,6:11:41 AM,7:05:17 PM,5:31:23 AM,7:45:35 PM
53,7:23:26 AM,5:53:16 PM,12:38:21 PM,10:29:50,6:49:56 AM,6:26:46 PM,6:09:36 AM,7:07:06 PM,5:29:15 AM,7:47:26 PM
54,7:21:13 AM,5:55:11 PM,12:38:12 PM,10:33:58,6:47:47 AM,6:28:37 PM,6:07:29 AM,7:08:55 PM,5:27:06 AM,7:49:18 PM
55,7:18:59 AM,5:57:06 PM,12:38:03 PM,10:38:07,6:45:37 AM,6:30:28 PM,6:05:20 AM,7:10:45 PM,5:24:55 AM,7:51:10 PM
56,7:16:44 AM,5:59:01 PM,12:37:53 PM,10:42:17,6:43:26 AM,6:32:19 PM,6:03:10 AM,7:12:35 PM,5:22:43 AM,7:53:03 PM
57,7:14:28 AM,6:00:56 PM,12:37:42 PM,10:46:28,6:41:14 AM,6:34:10 PM,6:00:59 AM,7:14:25 PM,5:20:28 AM,7:54:56 PM
58,7:12:12 AM,6:02:50 PM,12:37:31 PM,10:50:38,6:39:01 AM,6:36:01 PM,5:58:46 AM,7:16:16 PM,5:18:12 AM,7:56:50 PM
59,7:09:54 AM,6:04:44 PM,12:37:19 PM,10:54:50,6:36:47 AM,6:37:52 PM,5:56:32 AM,7:18:07 PM,5:15:55 AM,7:58:44 PM
60,7:07:37 AM,6:06:38 PM,12:37:07 PM,10:59:01,6:34:32 AM,6:39:43 PM,5:54:17 AM,7:19:58 PM,5:13:35 AM,8:00:40 PM
61,7:05:18 AM,6:08:32 PM,12:36:55 PM,11:03:14,6:32:15 AM,6:41:34 PM,5:52:01 AM,7:21:49 PM,5:11:14 AM,8:02:35 PM
62,7:02:59 AM,6:10:25 PM,12:36:42 PM,11:07:26,6:29:58 AM,6:43:25 PM,5:49:43 AM,7:23:41 PM,5:08:52 AM,8:04:32 PM
63,7:00:39 AM,6:12:18 PM,12:36:28 PM,11:11:39,6:27:41 AM,6:45:16 PM,5:47:24 AM,7:25:32 PM,5:06:28 AM,8:06:29 PM
64,6:58:18 AM,6:14:11 PM,12:36:14 PM,11:15:53,6:25:22 AM,6:47:07 PM,5:45:04 AM,7:27:25 PM,5:04:02 AM,8:08:27 PM
65,6:55:57 AM,6:16:03 PM,12:36:00 PM,11:20:06,6:23:02 AM,6:48:58 PM,5:42:43 AM,7:29:17 PM,5:01:35 AM,8:10:26 PM
66,6:53:35 AM,6:17:56 PM,12:35:46 PM,11:24:21,6:20:42 AM,6:50:49 PM,5:40:21 AM,7:31:10 PM,4:59:06 AM,8:12:25 PM
67,6:51:13 AM,6:19:48 PM,12:35:30 PM,11:28:35,6:18:21 AM,6:52:40 PM,5:37:58 AM,7:33:03 PM,4:56:36 AM,8:14:25 PM
68,6:48:51 AM,6:21:39 PM,12:35:15 PM,11:32:48,6:16:00 AM,6:54:31 PM,5:35:33 AM,7:34:57 PM,4:54:04 AM,8:16:26 PM
69,6:46:28 AM,6:23:31 PM,12:34:59 PM,11:37:03,6:13:37 AM,6:56:22 PM,5:33:08 AM,7:36:51 PM,4:51:31 AM,8:18:28 PM
70,6:44:05 AM,6:25:22 PM,12:34:43 PM,11:41:17,6:11:14 AM,6:58:13 PM,5:30:42 AM,7:38:45 PM,4:48:56 AM,8:20:31 PM
71,6:41:41 AM,6:27:13 PM,12:34:27 PM,11:45:32,6:08:51 AM,7:00:04 PM,5:28:14 AM,7:40:40 PM,4:46:20 AM,8:22:34 PM
72,6:39:17 AM,6:29:04 PM,12:34:11 PM,11:49:47,6:06:26 AM,7:01:55 PM,5:25:46 AM,7:42:35 PM,4:43:42 AM,8:24:39 PM
73,6:36:53 AM,6:30:55 PM,12:33:54 PM,11:54:02,6:04:02 AM,7:03:46 PM,5:23:17 AM,7:44:31 PM,4:41:03 AM,8:26:45 PM
74,6:34:28 AM,6:32:45 PM,12:33:37 PM,11:58:17,6:01:36 AM,7:05:37 PM,5:20:47 AM,7:46:27 PM,4:38:22 AM,8:28:51 PM
75,6:32:04 AM,6:34:35 PM,12:33:20 PM,12:02:31,5:59:10 AM,7:07:29 PM,5:18:16 AM,7:48:23 PM,4:35:40 AM,8:30:59 PM
76,6:29:39 AM,6:36:26 PM,12:33:02 PM,12:06:47,5:56:44 AM,7:09:20 PM,5:15:44 AM,7:50:20 PM,4:32:57 AM,8:33:07 PM
77,6:27:14 AM,6:38:15 PM,12:32:45 PM,12:11:01,5:54:18 AM,7:11:12 PM,5:13:11 AM,7:52:18 PM,4:30:12 AM,8:35:17 PM
78,6:24:48 AM,6:40:05 PM,12:32:27 PM,12:15:17,5:51:50 AM,7:13:03 PM,5:10:38 AM,7:54:16 PM,4:27:26 AM,8:37:28 PM
79,6:22:23 AM,6:41:55 PM,12:32:09 PM,12:19:32,5:49:23 AM,7:14:55 PM,5:08:04 AM,7:56:14 PM,4:24:38 AM,8:39:40 PM
80,6:19:58 AM,6:43:45 PM,12:31:51 PM,12:23:47,5:46:55 AM,7:16:47 PM,5:05:29 AM,7:58:13 PM,4:21:49 AM,8:41:53 PM
81,6:17:32 AM,6:45:34 PM,12:31:33 PM,12:28:02,5:44:27 AM,7:18:39 PM,5:02:53 AM,8:00:13 PM,4:18:59 AM,8:44:07 PM
82,6:15:07 AM,6:47:23 PM,12:31:15 PM,12:32:16,5:41:59 AM,7:20:31 PM,5:00:17 AM,8:02:14 PM,4:16:07 AM,8:46:23 PM
83,6:12:41 AM,6:49:13 PM,12:30:57 PM,12:36:32,5:39:30 AM,7:22:24 PM,4:57:39 AM,8:04:15 PM,4:13:14 AM,8:48:40 PM
84,6:10:16 AM,6:51:02 PM,12:30:39 PM,12:40:46,5:37:01 AM,7:24:17 PM,4:55:02 AM,8:06:16 PM,4:10:19 AM,8:50:59 PM
85,6:07:51 AM,6:52:51 PM,12:30:21 PM,12:45:00,5:34:32 AM,7:26:10 PM,4:52:23 AM,8:08:18 PM,4:07:23 AM,8:53:19 PM
86,6:05:25 AM,6:54:40 PM,12:30:03 PM,12:49:15,5:32:02 AM,7:28:03 PM,4:49:44 AM,8:10:21 PM,4:04:25 AM,8:55:40 PM
87,6:03:00 AM,6:56:29 PM,12:29:45 PM,12:53:29,5:29:33 AM,7:29:56 PM,4:47:04 AM,8:12:25 PM,4:01:26 AM,8:58:03 PM
88,6:00:35 AM,6:58:18 PM,12:29:27 PM,12:57:43,5:27:03 AM,7:31:50 PM,4:44:24 AM,8:14:29 PM,3:58:26 AM,9:00:27 PM
89,5:58:10 AM,7:00:07 PM,12:29:09 PM,13:01:57,5:24:34 AM,7:33:44 PM,4:41:43 AM,8:16:34 PM,3:55:24 AM,9:02:53 PM
90,5:55:46 AM,7:01:56 PM,12:28:51 PM,13:06:10,5:22:04 AM,7:35:38 PM,4:39:01 AM,8:18:40 PM,3:52:20 AM,9:05:21 PM
91,5:53:22 AM,7:03:45 PM,12:28:33 PM,13:10:23,5:19:34 AM,7:37:32 PM,4:36:19 AM,8:20:47 PM,3:49:16 AM,9:07:51 PM
92,5:50:58 AM,7:05:33 PM,12:28:16 PM,13:14:35,5:17:04 AM,7:39:27 PM,4:33:37 AM,8:22:54 PM,3:46:09 AM,9:10:22 PM
93,5:48:34 AM,7:07:22 PM,12:27:58 PM,13:18:48,5:14:34 AM,7:41:22 PM,4:30:54 AM,8:25:03 PM,3:43:01 AM,9:12:55 PM
94,5:46:11 AM,7:09:11 PM,12:27:41 PM,13:23:00,5:12:05 AM,7:43:17 PM,4:28:10 AM,8:27:12 PM,3:39:51 AM,9:15:30 PM
95,5:43:48 AM,7:11:00 PM,12:27:24 PM,13:27:12,5:09:35 AM,7:45:13 PM,4:25:26 AM,8:29:22 PM,3:36:40 AM,9:18:08 PM
96,5:41:25 AM,7:12:49 PM,12:27:07 PM,13:31:24,5:07:06 AM,7:47:09 PM,4:22:42 AM,8:31:33 PM,3:33:27 AM,9:20:47 PM
97,5:39:03 AM,7:14:38 PM,12:26:50 PM,13:35:35,5:04:36 AM,7:49:05 PM,4:19:57 AM,8:33:44 PM,3:30:13 AM,9:23:28 PM
