	name	place_id	types	geometry.location.lat	geometry.location.lng	opening_hours.open_now	formatted_address	main_type
0	Villa Arson	ChIJ11Bgv-TPzRIRPxOvFv7aKQY	library|park|university|point_of_interest|establishment	43.72183499999999	7.252984	False		park
1	escaliers Garden	ChIJH67I4uTPzRIRlLPi9rBwd5s	park|point_of_interest|establishment	43.72080820000001	7.252514199999999	True		park
3	Le Parc du Ray	ChIJnXN_QPHPzRIRKp20dQPV08U	park|point_of_interest|establishment	43.72289229999999	7.258703199999999	True		park
4	Maurice Mouchan Garden	ChIJdX3kWvDPzRIRq3FBv_WQ6aM	tourist_attraction|park|point_of_interest|establishment	43.7246558	7.2566886	True		park
5	Parc	ChIJ--5Dm-TPzRIRUVcfm2wJNmU	park|point_of_interest|establishment	43.7187491	7.252169499999999	True		park
6	MAGIC GARDEN	ChIJz44kXOTPzRIR19O82JWDzIM	park|general_contractor|point_of_interest|establishment	43.720827	7.2490212			park
7	Parc Chambrun	ChIJL_sGgs_PzRIRjhFZ-p5seIA	park|point_of_interest|establishment	43.7229164	7.262350999999999	True		park
8	Start GR5	ChIJwY1LscnPzRIRD3NmiuzGJU8	park|point_of_interest|establishment	43.720065	7.262628800000001			park
9	Comte de Falicon Garden	ChIJMZxeDQnPzRIR7HwB0CAUH94	park|point_of_interest|establishment	43.72924709999999	7.2561291	True		park
10	Hoirs de Cessole Garden	ChIJF-MJ_DLPzRIRoAtfe1pdon0	park|point_of_interest|establishment	43.7137519	7.255086			park
12	Parc Montebello	ChIJGcRMdOLPzRIRs4B22NjWBmU	park|point_of_interest|establishment	43.71426049999999	7.250859499999999			park
14	Square Booth	ChIJbwSXih3QzRIRUZggtFYy934	park|point_of_interest|establishment	43.71382970000001	7.2505487			park
16	ALFRED	ChIJE4UkoGHPzRIR--t76bE8UKQ	park|point_of_interest|establishment	43.733051	7.2506208			park
18	Office National des Forêts	ChIJmWvidFfFzRIR30zVGaDP4mY	park|point_of_interest|establishment	43.7237942	7.271595599999999			park
19	Nica	ChIJL7xTjDXRzRIRz4ytVcER5tY	campground|lodging|park|point_of_interest|establishment	43.7101728	7.261953200000002			park
20	Square Alphonse Daudet	ChIJQVA2CxvQzRIRmno62eFhBTU	park|point_of_interest|establishment	43.7076899	7.252032100000001	True	1 Square Alphonse Daudet, 06000 Nice	park
21	Charles Dalmas Garden	ChIJ69lOqKvazRIRPrJq1U1hBpo	park|point_of_interest|establishment	43.7102522	7.268519599999999	True	21-23 Av. Paul Dufourmantel, 06000 Nice	park
22	Garden of Arenas Cimiez	ChIJX76sxU_FzRIR-L2d7gXKUGQ	tourist_attraction|park|point_of_interest|establishment	43.72009329999999	7.2768883	True	184 Av. des Arènes de Cimiez, 06000 Nice	park
23	Place Jean-Paul II Statue	ChIJQd_BriHFzRIReGwvVIrejIE	park|point_of_interest|establishment	43.7202832	7.2786062		06000 Nice	park
24	Parc Paradisio	ChIJTao5R6zazRIRYD6QTQRHchE	park|point_of_interest|establishment	43.7091264	7.272027199999999	True	17 Av. Dr Robert Moriez, 06000 Nice	park
25	Chemin du Canal de Gairaut	ChIJE_BjvYnPzRIR_DzRE1lmwco	park|point_of_interest|establishment	43.738096	7.263370999999999	True	124 Vieux Chemin de Gairaut, 06100 Nice	park
26	Parc de Villa Ratti	ChIJY7dLVfPbzRIRWO2uGoHKXSU	park|point_of_interest|establishment	43.7098641	7.275069		06000 Nice	park
27	Square Raimu	ChIJh293RNPRzRIRlz1ZULZr40E	park|point_of_interest|establishment	43.70241300000001	7.2548319	True	Bd du Tzarewitch, 06000 Nice	park
28	Parc-Autos	ChIJtQR8L6_azRIREW4CJq4qbgw	park|point_of_interest|establishment	43.704974	7.271336600000001		13 Av. Desambrois, 06000 Nice	park
29	Parc de jeux pour enfants St Estienne d'Orves	ChIJcfzYV_nRzRIRcHjjdQ90MY8	park|point_of_interest|establishment	43.6999007	7.246834899999999		17 Chem. Apraxine, 06000 Nice	park
30	Olivier Millénaire du Parc Estienne D'orves	ChIJHc-aCj7QzRIRudpDtek12Qc	park|point_of_interest|establishment	43.7001042	7.2425332	True	224 Cor de Magnan, 06000 Nice	park
31	Jardin Alsace Lorraine	ChIJlxTbtw3QzRIRjAd1-SitsfU	tourist_attraction|park|point_of_interest|establishment	43.6981079	7.257066	True	30 Bd Gambetta, 06000 Nice	park
32	Parc de la Grenouille	ChIJJS68xmPRzRIR5z9fD2P-1Sw	park|point_of_interest|establishment	43.6987287	7.263933		27 Rue du Maréchal Joffre, 06000 Nice	park
33	Parc d'Estienne d'Orves	ChIJu2cPh7vazRIRLZKwu_y947Q	tourist_attraction|park|point_of_interest|establishment	43.6988164	7.2445721	True	06000 Nice	park
34	Parc General Marshall	ChIJ456inbbbzRIRTrbtVBp1dDI	park|point_of_interest|establishment	43.70282	7.2759982		Unnamed Road, 06000 Nice	park
35	voiture nice	ChIJmeCYL6TazRIR32EcmwksHdU	park|point_of_interest|establishment	43.700111	7.271212999999999		Nice Europe, 06000 Nice	park
36	Place Wilson	ChIJFV_5_6TazRIRuLQJabkhv0U	park|point_of_interest|establishment	43.7005721	7.273462599999999	True	4 Pl. Wilson, 06000 Nice	park
37	Parc Promenade	ChIJUTf0aQvQzRIRlCSpFuSW3rQ	park|point_of_interest|establishment	43.6953974	7.2608897	True	3 Rue Meyerbeer, 06000 Nice	park
38	Promenade du Paillon	ChIJt4AL5qPazRIR68WQ5MDQkNQ	park|tourist_attraction|point_of_interest|establishment	43.6974406	7.271463300000001	True	Plassa Carlou Aubert, 06300 Nice	park
39	Parc de la Coulé Verte	ChIJg7qbHrvazRIR50VsJfLwNqE	park|point_of_interest|establishment	43.7001547	7.277571699999999	True	7-267 Tun. André Liautaud, 06000 Nice	park
40	Aire de jeux	ChIJq5rwngDbzRIRQbWk3aXD_t4	park|point_of_interest|establishment	43.7031859	7.279738		Unnamed Road, 06000 Nice	park
41	Jardin Public Francis Giordan	ChIJkXiSmrDazRIRJRVLYUC9rWo	park|point_of_interest|establishment	43.7030241	7.2795746	True	25 Rue Barla, 06300 Nice	park
42	Parc abi	ChIJPZrUZ5XbzRIRoN_ItpthedI	park|point_of_interest|establishment	43.6976003	7.2720658		12 Av. Félix Faure, 06000 Nice	park
