	name	place_id	price_level	types	geometry.location.lat	geometry.location.lng	opening_hours.open_now	formatted_address	main_type
0	Pizzéria L'Etna	ChIJ0zvz5frPzRIR1ORZvy94g3c	2.0	restaurant|food|point_of_interest|establishment	43.72112899999999	7.256244999999998	False		restaurant
1	Sushi Daily	ChIJg2ITwf_PzRIR6Ngw5-cAYH8		meal_takeaway|restaurant|food|point_of_interest|establishment	43.7229663	7.255755799999999	False		restaurant
2	Le Grand Chelem	ChIJNdKWavDPzRIRvFIcmadsMqs	1.0	restaurant|food|point_of_interest|establishment	43.7230252	7.255768900000001	True		restaurant
3	Picadeli, bar à salades	ChIJywT-A3zPzRIRgaAorm_VkJs		restaurant|food|point_of_interest|establishment	43.72276859999999	7.256445	False		restaurant
4	Briciola	ChIJNdKWavDPzRIRRZiL7-iZ2rY		bar|restaurant|food|point_of_interest|establishment	43.7230593	7.255883099999999	True		restaurant
5	Poké bar Nice	ChIJhbES0qvPzRIRuksVJkdb2ag		restaurant|food|point_of_interest|establishment	43.7199457	7.256393599999999	False		restaurant
6	ᑭOKÉ ᗷᗩᖇ ᑎIᑕᕮ	ChIJMyWBfsDPzRIROk4KzQAe0MU		restaurant|food|point_of_interest|establishment	43.7199457	7.256393599999999	False		restaurant
7	Les 3 Saveurs	ChIJEe25DR3PzRIRSn0mmJPZV2c		restaurant|food|point_of_interest|establishment	43.7196639	7.256140800000002			restaurant
8	Pizza Hut	ChIJ37VTxW_PzRIRn7kgtEzwNFw	2.0	meal_takeaway|restaurant|food|point_of_interest|establishment	43.7197234	7.25644	False		restaurant
9	Ô Saveurs Du Marché	ChIJRxCX9-TPzRIRBDkI0CAX4L4	2.0	restaurant|food|point_of_interest|establishment	43.720279	7.251919	False		restaurant
10	Pizzéria La Niçoise	ChIJj2-EU-TPzRIR1RmKOdGWK-8		meal_delivery|restaurant|food|point_of_interest|establishment	43.720913	7.251486	False		restaurant
11	Bistro K.	ChIJY5EdX1DPzRIRBwHeqMv1334		restaurant|food|point_of_interest|establishment	43.7202949	7.251547299999999	False		restaurant
12	Les Saveurs De Cessole	ChIJsTNGi-TPzRIRDL75mKbdiRo		restaurant|food|point_of_interest|establishment	43.7196967	7.252064600000001	True		restaurant
13	Delizipizza	ChIJmwRqRdbPzRIRNVvr23TiQCE		restaurant|food|point_of_interest|establishment	43.71963579999999	7.252128600000001	False		restaurant
14	Fratelli Pizza	ChIJxfUOreXPzRIRjAbevWvhgn4	1.0	meal_delivery|meal_takeaway|restaurant|food|point_of_interest|establishment	43.72101449999999	7.251158999999999	False		restaurant
