	name	place_id	types	geometry.location.lat	geometry.location.lng	opening_hours.open_now	formatted_address	main_type
0	Ecole Normale D'instituteurs	ChIJ-fAIXuXPzRIRsYrLyFSHPrY	school|point_of_interest|establishment	43.72296509999999	7.253227399999999			school
1	Primary School Du Ray - Gorbella	ChIJTXxzfPDPzRIRRNsrF5R4Vd0	school|point_of_interest|establishment	43.7232916	7.256477899999999			school
2	Artventure - During Chant Nice	ChIJtTufqfnPzRIRiVLFeQUOF3U	school|health|point_of_interest|establishment	43.7193884	7.2554712	False		school
3	Nursery School Le Ray Gorbella	ChIJ3UVMafDPzRIRry7396x1fMQ	school|point_of_interest|establishment	43.72398260000001	7.256265900000001			school
4	Metropolis Nice Côte D'azur	ChIJV0xGcfDPzRIR-8bGHBKgawQ	primary_school|school|point_of_interest|establishment	43.72398260000001	7.256265900000001			school
5	Nursery School Du Ray - Gorbella	ChIJjZqtbvDPzRIR9bSau0N11tY	school|point_of_interest|establishment	43.7239828	7.256265900000001			school
6	Ogec Saint Barthelemy	ChIJM8d8ErPPzRIR1D1Ot34pVbk	school|point_of_interest|establishment	43.7189716	7.255024			school
7	School St Barthélemy	ChIJW1lsFkHPzRIRzLwRQEfRmro	school|point_of_interest|establishment	43.7188257	7.254989500000002			school
8	C.e.r Nice Nord - Les 2 Avenues	ChIJaW50V-TPzRIRekiPtoB4F9g	school|point_of_interest|establishment	43.72014	7.251837	False		school
9	Tennis Club Méditerranée	ChIJ_4WJBfrPzRIRsCoT-GH2lVw	school|health|point_of_interest|establishment	43.72246699999999	7.259454999999998	True		school
10	Collège Saint-Barthélémy	ChIJoQxqnvzPzRIRiBz9R-S4Ckk	university|school|point_of_interest|establishment	43.7182532	7.2557455	True		school
11	Bateau école CER St Barthelemy - Les 2 Avenues	ChIJMcNdJ1vPzRIRInyzDVfxdpo	school|point_of_interest|establishment	43.7170096	7.255719399999999	False		school
12	Cer Nice Nord Agency St Barthelemy	ChIJ9YqQwPzPzRIRo17KsiSUGT0	school|point_of_interest|establishment	43.716948	7.255771999999999	False		school
13	Adsea 06 - Sessad 2 Les Chênes	ChIJvUilOe7PzRIROJgAjQXDJmk	school|health|point_of_interest|establishment	43.7262243	7.2533183			school
14	Handycare Formation	ChIJjaMNM0zPzRIRX7VWRhI2uLw	school|point_of_interest|establishment	43.7242451	7.248925799999999	True		school
15	Munoze	ChIJK5lTPffPzRIREPiOQ2PmtgM	school|point_of_interest|establishment	43.7165818	7.2521187			school
16	Driving School Caravelle	ChIJXwQbA_nPzRIR3v6__-x2MTc	school|point_of_interest|establishment	43.7195373	7.262181099999999			school
17	Public Primary School Saint-Barthélémy	ChIJ52JgjvjPzRIRRE5UVN0eMyo	school|point_of_interest|establishment	43.71597969999999	7.254962399999999			school
18	MED.PREPA	ChIJu4heF_nPzRIRw_J4byEbJ44	university|school|health|point_of_interest|establishment	43.71848539999999	7.261787799999999	True		school
19	School De Garcons	ChIJd7BeK_3PzRIRkzlwhrI1T9I	school|point_of_interest|establishment	43.7157211	7.254563099999999			school
20	Primary School Saint Barthélémy	ChIJo2_F5DnPzRIRNg11sXF72F0	school|point_of_interest|establishment	43.7155273	7.254139100000001		21 Av. François Bottau, 06000 Nice	school
21	School Saint Thomas D'aquin	ChIJ_d8P1P7PzRIRzrQco0yny9s	school|point_of_interest|establishment	43.7174892	7.2619353	True	4 Av. Saint-Maurice, 06100 Nice	school
22	Primary School Von Derwies	ChIJkVsG6v7PzRIRobj4psfHXlk	primary_school|school|point_of_interest|establishment	43.7167381	7.2615437		60 Av. Alfred Borriglione, 06000 Nice	school
23	School Du Righi	ChIJ5aUQOzHPzRIRUV5mKA8nezY	primary_school|school|point_of_interest|establishment	43.715646	7.250246199999999	False	189 Av. de Pessicart, 06100 Nice	school
24	Ecole Rosalinde Rancher 2	ChIJh4HIV_bPzRIRpRYEw9ue1HE	school|point_of_interest|establishment	43.7259921	7.262481399999999		22 Vieux Chemin de Gairaut, 06100 Nice	school
25	Nursery School Rosalinde Rancher	ChIJwwoZId_PzRIRRs55-_elOH0	school|point_of_interest|establishment	43.7261058	7.262398399999999		20 Vieux Chemin de Gairaut, 06100 Nice	school
