	name	place_id	types	geometry.location.lat	geometry.location.lng	opening_hours.open_now	formatted_address	main_type
0	Spot Bien Etre l'Atelier Bien Etre. Massages, Réflexologie Plantaire, Amincissement, Fish Pédicure...	ChIJD38sPFvFzRIRT7ftDHMBX-c	spa|health|point_of_interest|establishment	43.7200836	7.2555799	False		spa
1	Institut de Beauté Bel'à Vie à Nice	ChIJs3xH7vnPzRIR9Jkj7ais7Z4	beauty_salon|hair_care|spa|point_of_interest|establishment	43.72183949999999	7.260523000000001	False		spa
2	Jérôme Dominot : mission Bien-Être	ChIJPf7o3zXVzRIRt-SO4vYU3jI	spa|health|point_of_interest|establishment	43.7184819	7.258716499999999	False		spa
3	Lise Rose Institut	ChIJ0xubaePPzRIRFkZFY1vwa50	beauty_salon|hair_care|spa|point_of_interest|establishment	43.7176346	7.253010000000002	False		spa
4	Institut de beauté Estetica Cocoon by Alice et Noemie	ChIJCZrmB1HPzRIR78yT5o4UY5k	beauty_salon|hair_care|spa|health|point_of_interest|establishment	43.7251078	7.251336899999998	True		spa
6	Sauna Le Cercle	ChIJa-tCJ-PPzRIRCb9Pt6-vJpA	spa|health|point_of_interest|establishment	43.7163443	7.253890799999999	False		spa
7	NaturoNice - Magnétiseur	ChIJYT6VZRvPzRIRG1vnNsYOJI4	spa|health|point_of_interest|establishment	43.7184772	7.2645483	True		spa
8	"""DEOS"" Massage Nice & Yoga"	ChIJgRKUf1jFzRIR8cWxPv9SxhI	spa|point_of_interest|establishment	43.7247908	7.265391200000001	True		spa
9	Deos Bien-Être	ChIJgRKUf1jFzRIRpJNh_aLAiaY	spa|school|point_of_interest|establishment	43.72497059999999	7.265372299999999	True		spa
10	Mayer Caroline	ChIJETGIMALQzRIREa0gdDji0ec	spa|health|point_of_interest|establishment	43.7115813	7.259090599999999			spa
11	Inner Rebirth	ChIJ2-NPoCfRzRIR7u6JgQUKShE	spa|point_of_interest|establishment	43.7124962	7.262687100000001	True		spa
12	Rinascita Nice	ChIJ67Pa9xHQzRIRAkXz03Hnl3A	spa|point_of_interest|establishment	43.7124962	7.262687100000001	True		spa
13	institut beauté d'ailleurs	ChIJ1ccGqFXFzRIR0vWqdjOyHcw	beauty_salon|hair_care|spa|point_of_interest|establishment	43.715212	7.267324	True		spa
