	name	place_id	types	geometry.location.lat	geometry.location.lng	opening_hours.open_now	price_level	formatted_address	main_type
0	Bar La Virgule	ChIJSR6ZBvnPzRIRseBgowNL_Do	bar|point_of_interest|establishment	43.7200127	7.262156099999999				bar
1	Briciola	ChIJNdKWavDPzRIRRZiL7-iZ2rY	bar|restaurant|food|point_of_interest|establishment	43.7230593	7.255883099999999	True			bar
2	Brasserie Le Saint Maurice - Persian Food	ChIJkdh8-_jPzRIRFhvB3HgtAGs	restaurant|bar|food|point_of_interest|establishment	43.7197539	7.262940300000001	True			bar
3	Brasserie Nissarda	ChIJwfzESfDPzRIRUUb7CDmzElw	bar|restaurant|food|point_of_interest|establishment	43.7250579	7.255635099999999	False			bar
4	Le Ray	ChIJ6Sg_rfHPzRIRZrdueLOgv1M	bar|point_of_interest|establishment	43.7256433	7.2566604	True			bar
5	Lili Tabac Pizzeria	ChIJkeKTTAnPzRIR__4RYUZjkTU	bar|point_of_interest|establishment	43.7259191	7.264891899999999	True			bar
6	le bar arrosé	ChIJ0Y9MSvHPzRIRGlkT1eFp0ko	bar|restaurant|food|point_of_interest|establishment	43.7156027	7.259683400000001	True			bar
7	Snack Mod S Gerard	ChIJWTkpY-PPzRIRdu0l3LkwtZU	restaurant|bar|food|point_of_interest|establishment	43.71811870000001	7.252471999999999	True	1.0		bar
8	Bar Cave St Tropez	ChIJQapRS-TPzRIRkyxsBnUEegI	bar|point_of_interest|establishment	43.7209067	7.250757300000001	False			bar
9	Jcs	ChIJWTkmvOXPzRIR4MNrFJIRbgY	bar|restaurant|food|point_of_interest|establishment	43.7218644	7.250631899999997	True			bar
10	Le Nice Nord	ChIJzxv_vuXPzRIRCi9S9tOPPho	bar|point_of_interest|establishment	43.7220543	7.2506349	False	1.0		bar
11	Patoch's Family Restaurant	ChIJsVhfef7PzRIRoqa4V_Ui3dU	restaurant|bar|food|point_of_interest|establishment	43.7152412	7.2601021	True			bar
12	Boulevard De Cessole Casino	ChIJ4-7xPOPPzRIRvp8xqqLppIU	bar|point_of_interest|establishment	43.71678910000001	7.253377200000002	True			bar
13	Bar Le 115	ChIJbc_uW_7PzRIRQXiaAQVN_PI	restaurant|bar|food|point_of_interest|establishment	43.7152055	7.2616379	True			bar
14	Brasserie L'Union	ChIJ-SvgQf7PzRIRycJtlTwTTtQ	restaurant|bar|food|point_of_interest|establishment	43.7146296	7.261303500000001	False	2.0		bar
15	Bang Bang	ChIJKRrQSCnPzRIRy-bEmpEV_1k	restaurant|bar|food|point_of_interest|establishment	43.7139715	7.2614204	True			bar
16	Brasserie Borriglione	ChIJWy-_pffPzRIRjr1mMfc_NLQ	bar|restaurant|food|point_of_interest|establishment	43.7134708	7.2618312	True	2.0		bar
17	Bar du Printemps	ChIJDVhrFgLQzRIRQdiDvJhF7Xk	bar|point_of_interest|establishment	43.7122396	7.258967300000001				bar
18	Kanak	ChIJxaPOWaLPzRIRHYGOyLZdupU	bar|point_of_interest|establishment	43.7173386	7.247140699999998				bar
19	WILL'MAN	ChIJW1VAC5TRzRIRbkqigarYY20	restaurant|bar|liquor_store|food|point_of_interest|store|establishment	43.71167289999999	7.255376200000001	True			bar
