	name	place_id	types	geometry.location.lat	geometry.location.lng	price_level	opening_hours.open_now	formatted_address	main_type
1	Feeling Shop	ChIJiWdDIlDPzRIRJ31upbpl6Sk	point_of_interest|clothing_store|store|establishment	43.72052120000001	7.2583447				clothing_store
2	Polly and Cie	ChIJxx48vfnPzRIRTFiOUIoLigQ	restaurant|cafe|food|point_of_interest|clothing_store|store|establishment	43.7209936	7.261346400000001	1.0	True		clothing_store
3	Express Moto	ChIJA00dd_DPzRIRTUAXxiIW3Ts	car_repair|point_of_interest|clothing_store|store|establishment	43.7233627	7.256338599999999		True		clothing_store
4	MONOPRIX NICE GORBELLA	ChIJ-fm9DPvPzRIR1WEhNx85PaI	supermarket|department_store|convenience_store|grocery_or_supermarket|food|point_of_interest|clothing_store|store|establishment	43.7192716	7.257145700000001		True		clothing_store
5	Puliti Alexia	ChIJdX8p5PfPzRIR-iddeNw2j88	clothing_store|point_of_interest|store|establishment	43.7231464	7.264234100000001				clothing_store
6	Abi 06	ChIJR-8HNfDPzRIRlpYVJfDWcrg	clothing_store|point_of_interest|store|establishment	43.7253786	7.255625799999999		True		clothing_store
7	la vida loca	ChIJO6KH7P7PzRIRGyIg0-NSP74	clothing_store|point_of_interest|store|establishment	43.7161365	7.2612933		True		clothing_store
8	Laura créations couleurs	ChIJuYlVoVfPzRIREz8TYkpGB1w	point_of_interest|clothing_store|store|establishment	43.721874	7.250662700000001		True		clothing_store
9	BR17	ChIJEW-bu9LPzRIRTp5eUnseaCA	point_of_interest|clothing_store|store|establishment	43.7206426	7.250033900000001		True		clothing_store
10	L'Abricot Blanc	ChIJz44kXOTPzRIR4oYmmexsd64	point_of_interest|clothing_store|store|establishment	43.7209711	7.249621899999998		True		clothing_store
11	Zeeman	ChIJp9TfGPLPzRIRQk_yBJzNW2s	clothing_store|point_of_interest|store|establishment	43.72816	7.2557884		True		clothing_store
12	Veti'Pro	ChIJXxNK3v3PzRIRTMN_X7JJDjw	clothing_store|point_of_interest|store|establishment	43.7145124	7.2598492				clothing_store
13	Monsite	ChIJVVWl3uLPzRIRUitKp8ZokAI	point_of_interest|clothing_store|store|establishment	43.7158136	7.2534438				clothing_store
14	Coup D'oeil	ChIJRd8TSe_PzRIRPULJeCCaOPs	point_of_interest|clothing_store|store|establishment	43.7243761	7.249592700000001		False		clothing_store
15	TRA//DISTRICT	ChIJiZKRx8nPzRIRn0IoD_c88ew	point_of_interest|clothing_store|store|establishment	43.7140529	7.2600689		False		clothing_store
16	TRA//DISTRICT	ChIJ5cMuh9rPzRIRdrQtOnj-lWg	point_of_interest|clothing_store|store|establishment	43.7140495	7.2601021		False		clothing_store
17	Primôme	ChIJgVMVJP7PzRIRPM7UklFtDVk	point_of_interest|clothing_store|store|establishment	43.7137481	7.261534500000001		True		clothing_store
18	Les Trésors de Chloé	ChIJ87LnIP7PzRIRGGIIET0Ud-A	jewelry_store|point_of_interest|clothing_store|store|establishment	43.71370470000001	7.261230800000001		False		clothing_store
19	The Odds	ChIJn9lafSrPzRIRhHIdpxmBFac	point_of_interest|clothing_store|store|establishment	43.71371869999999	7.261787799999999		False		clothing_store
20	Boutique Monique	ChIJZaP8CffPzRIRIcG1pxjtw2Y	point_of_interest|clothing_store|store|establishment	43.7137187	7.261787799999999		False	30 Av. Alfred Borriglione, 06000 Nice	clothing_store
21	Quintessence	ChIJ86_KXvfPzRIRvzwfYGUpuE8	clothing_store|point_of_interest|store|establishment	43.7129866	7.2615785		False	23 Av. Alfred Borriglione, 06100 Nice	clothing_store
22	Laetit Be	ChIJlUUgnkfRzRIR7R6FG6BhXjk	clothing_store|point_of_interest|store|establishment	43.7099467	7.259517399999999			17 Bd Joseph Garnier, 06000 Nice	clothing_store
23	Magasin de Vêtements Mode Homme à Nice - HOMME5	ChIJgzwM3wbQzRIR3x7HsP6BSzc	point_of_interest|clothing_store|store|establishment	43.7071123	7.2641601		False	8 Av. Malaussena, 06000 Nice	clothing_store
24	Big-Look Vetements	ChIJJSnbyanazRIRtbhcCd-dI8c	clothing_store|point_of_interest|store|establishment	43.7061026	7.266594200000001		False	54 Rue Lamartine, 06000 Nice	clothing_store
25	La Maison Du Pantalon	ChIJUQ51ggfQzRIRUuHwaJzKUIo	point_of_interest|clothing_store|store|establishment	43.7057101	7.2649838		False	70 Av. Jean Médecin, 06000 Nice	clothing_store
26	SHAN'	ChIJUTkvASnbzRIRNayQOXCiFDY	clothing_store|point_of_interest|store|establishment	43.70498930000001	7.2655561		False	60 Av. Jean Médecin, 06000 Nice	clothing_store
27	Damart Nice (Médecin)	ChIJ2RQCIajazRIR6-20u114sLA	clothing_store|shoe_store|point_of_interest|store|establishment	43.704989	7.265555999999999		False	60 Av. Jean Médecin, 06000 Nice	clothing_store
28	DEVRED1902	ChIJdWBWBajazRIRhhsNB2fOfww	shoe_store|point_of_interest|clothing_store|store|establishment	43.7040511	7.265521799999999		True	43 Av. Jean Médecin, 06000 Nice	clothing_store
29	Jules	ChIJyRuhGqjazRIRLptvmewMxe4	point_of_interest|clothing_store|store|establishment	43.7040033	7.2661449		False	52 Av. Jean Médecin, 06000 Nice	clothing_store
