	name	place_id	types	geometry.location.lat	geometry.location.lng	opening_hours.open_now	formatted_address	main_type
0	VESIN Christine	ChIJbS26m_nPzRIRRXbhyQrm7Mk	doctor|health|point_of_interest|establishment	43.7208912	7.260858599999999	True		doctor
1	La Villa du Parc	ChIJs4LGxPnPzRIRNA9ZYM6tnVU	doctor|health|point_of_interest|establishment	43.7220297	7.261623999999999			doctor
2	Docteurs Herve et Cedric Jolly	ChIJifoS_frPzRIRMm58IJ8ZWuM	doctor|health|point_of_interest|establishment	43.7208924	7.2567307	True		doctor
3	Riviera Feet	ChIJr5QZwA_QzRIRPo4IYWWCWI8	shoe_store|doctor|health|point_of_interest|store|establishment	43.7205892	7.256815	True		doctor
4	Denner Jacques	ChIJJaJt_frPzRIRXRKC7UHdc8A	doctor|health|point_of_interest|establishment	43.7205892	7.256815			doctor
5	Chauvet-Duchateau Christine	ChIJtwViBPvPzRIRZiF23wUdpLM	doctor|health|point_of_interest|establishment	43.7203457	7.2568563	False		doctor
6	Nguyen-Van Minh	ChIJHcqEBfvPzRIRiDAIKHxw14I	doctor|health|point_of_interest|establishment	43.7201893	7.256890299999999			doctor
7	Nguyen Huy Phan Elisabeth	ChIJkQuYp_nPzRIRifocOtxnUQs	doctor|health|point_of_interest|establishment	43.7202593	7.2618955			doctor
8	Butori Paul-Jean	ChIJURnQmfrPzRIRxgx74ufuvoE	doctor|health|point_of_interest|establishment	43.7225001	7.256078599999999			doctor
9	Ducreux Dorothée	ChIJQ0k67PrPzRIRZbsX28Udtd0	doctor|health|point_of_interest|establishment	43.7225001	7.256078599999999			doctor
10	Cavalié Bernard	ChIJQ0k67PrPzRIRm6m5PscMpBQ	doctor|health|point_of_interest|establishment	43.7225318	7.256073999999999			doctor
11	GUEROIS RAZUREL Catherine	ChIJZ842yM7PzRIRl2iwUtq-TsA	doctor|health|point_of_interest|establishment	43.7200296	7.261996099999999			doctor
12	Docteur Maud Castelli-Prieto	ChIJ5bRP3MLPzRIRgplNCPLimcM	doctor|health|point_of_interest|establishment	43.7207446	7.255920299999998			doctor
13	Centre d'Imagerie Médicale - AzuRadiologie Gorbella	ChIJ70g67PrPzRIRU3pw1Nfy_uQ	doctor|health|point_of_interest|establishment	43.72259589999999	7.255970899999999	True		doctor
14	Saget Pascal	ChIJP0D5SvjPzRIR9sQjeg8LtO8	doctor|health|point_of_interest|establishment	43.7213055	7.2628203			doctor
15	Sylvie Guiglio-Bisson	ChIJTbVjSffPzRIRtTD2OCNln-w	doctor|health|point_of_interest|establishment	43.7241754	7.260023499999999	False		doctor
16	Dr. Wdowinski Jules	ChIJkQonL_jPzRIR6CCXwDZUu1o	doctor|health|point_of_interest|establishment	43.722265	7.2631			doctor
17	Clementine Caillol	ChIJqykDAyTPzRIR7X2D9blCrSE	doctor|health|point_of_interest|establishment	43.7223187	7.255382200000001	True		doctor
18	Ivan SASSO-GOURDON	ChIJyQ6F5xjPzRIRWkD9-B76-2o	doctor|health|point_of_interest|establishment	43.7223187	7.255382200000001	True		doctor
19	Cauvin Patrick	ChIJyTlZcvvPzRIR0jGkTwS2Eto	doctor|health|point_of_interest|establishment	43.7194007	7.2563582			doctor
20	Dr Anne-Marie ZACCONI-CAUVIN	ChIJyTlZcvvPzRIRduXt74jnL-o	doctor|health|point_of_interest|establishment	43.7194143	7.2563133	True	19 Bd Gorbella, 06100 Nice	doctor
