	name	place_id	types	geometry.location.lat	geometry.location.lng	formatted_address	opening_hours.open_now	main_type
0	Palais Ferdinand	ChIJX90ZLPrPzRIRI9LmykcInE0	lodging|point_of_interest|establishment	43.7207192	7.2594857			lodging
1	Villa rose	ChIJ_3RM8GXPzRIR9izWsWzdflg	lodging|point_of_interest|establishment	43.72063789999999	7.261427200000001			lodging
2	Palais Eden	ChIJc1ft4vrPzRIRfv9U8H0ESmI	lodging|point_of_interest|establishment	43.7207438	7.256340700000001			lodging
3	Christelle lovelock	ChIJ93pY8RTPzRIRAv9olJEFKi4	lodging|point_of_interest|establishment	43.72023119999999	7.256402699999998			lodging
4	Parc Gorbella	ChIJXw4hG_vPzRIRQydamPO82Qw	lodging|point_of_interest|establishment	43.7201304	7.2564473			lodging
5	Hotel Du Couvent	ChIJiwot6fvPzRIRn39bDQVdgII	lodging|point_of_interest|establishment	43.7190062	7.259012200000002			lodging
6	Bounin	ChIJZ7qUBPnPzRIRHc9fvVdfYPM	lodging|point_of_interest|establishment	43.71977999999999	7.262170000000001			lodging
7	Zip	ChIJZ323nubPzRIRwRtwO4lpmBE	lodging|point_of_interest|establishment	43.71866240000001	7.261165900000001			lodging
8	Residences Cléoline	ChIJg5C0ZvvPzRIRHFAyBeWjLIs	lodging|point_of_interest|establishment	43.71859179999999	7.256116999999999			lodging
9	Les Terrasses De Malte	ChIJQX_7AvDPzRIRPQpvKvU98kQ	lodging|point_of_interest|establishment	43.7235802	7.254652500000001			lodging
10	Le Florence	ChIJIbYQ0xjPzRIRQBF9UXHo__o	lodging|point_of_interest|establishment	43.7255946	7.258202299999999			lodging
11	HAPPYFEW LES LILAS	ChIJy9C9OdTPzRIRPLEQP5A9iio	lodging|point_of_interest|establishment	43.7204181	7.264724500000002			lodging
12	Chez val Peluso	ChIJ5zgl9HjPzRIRnrj7ZG9jL-I	lodging|point_of_interest|establishment	43.7256057	7.261956900000002			lodging
13	Résidence De L'avenue	ChIJhe8uuf7PzRIRJY27o5WtzHo	lodging|point_of_interest|establishment	43.7170754	7.261043899999999			lodging
14	Parking	ChIJbW3vUVDPzRIRy-H0RjiBxp8	lodging|point_of_interest|establishment	43.71696489999999	7.262463499999999			lodging
15	Domicile Nice	ChIJMQkR-GvPzRIRvJ8j0sebK6Q	lodging|point_of_interest|establishment	43.7256383	7.254273			lodging
16	Nissa Penthouse Ap3097	ChIJLUwSqOXPzRIR6vmaMiZSUrQ	lodging|point_of_interest|establishment	43.7215064	7.251698799999999			lodging
17	Dolce Villa	ChIJAQAwXuPPzRIRz_D2jci7W5I	lodging|point_of_interest|establishment	43.7182843	7.253180899999998			lodging
18	Villa Frederika	ChIJ___jyPzPzRIRmueowTczYxU	lodging|point_of_interest|establishment	43.7169607	7.255024			lodging
19	Résidences Fleuries	ChIJ5dJIlKbPzRIRbcX3GyS4hLw	lodging|point_of_interest|establishment	43.7267875	7.262302199999998			lodging
20	Hotel Villa Saint Hubert	ChIJGQaT6QHQzRIRIXVyWs9UHjM	lodging|point_of_interest|establishment	43.71253	7.261155599999999	26 Rue Michel-Ange, 06100 Nice	True	lodging
