	name	place_id	types	geometry.location.lat	geometry.location.lng	opening_hours.open_now	formatted_address	main_type
0	Musée du Prieuré du Vieux Logis	ChIJrSGiOfvPzRIRLMLYfTs_eDA	museum|tourist_attraction|point_of_interest|establishment	43.7207217	7.255024000000001			museum
1	Métropole Nice Côte d'Azur	ChIJd4ANKfvPzRIRh82l0yftDec	museum|point_of_interest|establishment	43.7200484	7.2551486			museum
2	Booster	ChIJ7eUhXB7PzRIRU6qikeo33Sc	museum|point_of_interest|establishment	43.7190257	7.2632414			museum
3	EPA Villa Arson	ChIJKcipIOXPzRIRkXtrZ0RoqUA	museum|point_of_interest|establishment	43.7208374	7.253436299999999			museum
4	Kisbee	ChIJ97pJ2zbFzRIRtJD2ej94VVk	museum|point_of_interest|establishment	43.7198516	7.267062999999997			museum
5	Chez Marion	ChIJySW5Yv7PzRIRBxsdphAlY4I	museum|point_of_interest|establishment	43.71555369999999	7.260625699999999	True		museum
6	Plaque commémorative	ChIJBbn4kAnFzRIRg8FmWGXZAXA	museum|point_of_interest|establishment	43.7154983	7.271319500000002			museum
7	Picasso style	ChIJtS0S2vrRzRIRoj27YIU0v7g	museum|point_of_interest|establishment	43.7101728	7.261953200000002			museum
8	ChAmunda temple katra	ChIJyb6v827RzRIRQxlp3T1M6Cc	museum|point_of_interest|establishment	43.7101728	7.261953200000002			museum
9	Музей марка шагала	ChIJhesQwH3RzRIRTBaMXiJLWaQ	museum|point_of_interest|establishment	43.7101728	7.261953200000002			museum
10	Musee d'Archeologie	ChIJs1YSxFHFzRIRv7otGUG4rso	tourist_attraction|museum|point_of_interest|establishment	43.71928779999999	7.2751191	False		museum
11	Réunion des Musées Nationaux et Grand Palais	ChIJsTsVxFHFzRIRse6gAeZe7w0	museum|point_of_interest|establishment	43.7196181	7.275272300000001			museum
12	Laure Millet , sculpteur	ChIJN4_DbhzQzRIRp2C58fLBhho	museum|point_of_interest|establishment	43.72402570000001	7.243293500000001			museum
13	Cemenelum	ChIJlcMLLl3FzRIReyqZ1p3iPgA	museum|point_of_interest|establishment	43.71340319999999	7.2716578			museum
14	Musée Matisse	ChIJnz74K1DFzRIRiRaLt2c5MhA	tourist_attraction|museum|point_of_interest|establishment	43.7193868	7.276243	False		museum
15	Réunion des Musées Nationaux	ChIJJcvdmavazRIR3bJJ0toMrzE	museum|point_of_interest|establishment	43.7098141	7.2696348			museum
