	name	place_id	types	geometry.location.lat	geometry.location.lng	opening_hours.open_now	formatted_address	main_type
0	Rue Georges Bidault Parking	ChIJfcLof_DPzRIRZFal2D83uiI	parking|point_of_interest|establishment	43.7224897	7.256873499999999			parking
1	Parking	ChIJWYPJqh_PzRIRe_tJ3TjWLJk	parking|point_of_interest|establishment	43.7236898	7.259574000000002			parking
3	58 Blvd de Gorbella Parking	ChIJkZmbf_DPzRIRgn7nyOnTOEE	parking|point_of_interest|establishment	43.723043	7.2570509			parking
4	Zenpark - Parking Nice - Le Ray - Georges Bidault	ChIJl7I4wTTPzRIRaIdyfLu_W2M	parking|point_of_interest|establishment	43.72295	7.25633	True		parking
5	Zenpark - Parking Nice - Gorbella - Carrefour Market Le Ray	ChIJMUMlGObPzRIR_7HUYzcFdj4	parking|point_of_interest|establishment	43.72270289999999	7.255878499999999	False		parking
6	Parking Monoprix	ChIJqcIwnvvPzRIResJqwWDmayk	parking|point_of_interest|establishment	43.71944750000001	7.2569302	True		parking
7	63-65 Blvd de Gorbella Garage	ChIJh8UKDfDPzRIREw5p2_N8UUM	parking|point_of_interest|establishment	43.7236003	7.2556843			parking
8	Société Garage Loc	ChIJWd4A0v7PzRIRji5GMWm4X6s	parking|point_of_interest|establishment	43.717717	7.261984700000001			parking
9	Parking Piscine	ChIJyxG3w_HPzRIRqBhtMkE9QcA	parking|point_of_interest|establishment	43.72601399999999	7.2561698	True		parking
10	Parking Reserve IUFM	ChIJ_SDta-XPzRIRqze8nd7hGRc	parking|point_of_interest|establishment	43.722339	7.252222099999998	True		parking
11	Parking Cyrille Besset	ChIJ4QRNrPzPzRIRYTmYYT4PlP4	parking|point_of_interest|establishment	43.7177838	7.254259899999999			parking
12	Nice Azur Parking - VALERI (Privé)	ChIJc9xX7_7PzRIRYmBDJ9LRqzk	parking|point_of_interest|establishment	43.7164996	7.2617962			parking
13	3 Avenue Bardi Parking	ChIJ09g3Xv7PzRIRVXPw2gBTdNk	parking|point_of_interest|establishment	43.71589209999999	7.261294399999999			parking
14	57 Avenue Alfred Borriglione Parking	ChIJVxpaXv7PzRIRGPvevrmFVYU	parking|point_of_interest|establishment	43.71538	7.2613853			parking
15	Nice Location appartement vacances rooftop équipé	ChIJx9Zv4GPPzRIRfy-5hPp8z_M	parking|real_estate_agency|lodging|point_of_interest|establishment	43.716488	7.253085800000002	True		parking
17	7-9 Petit chemin de Valrose Parking	ChIJl-J4fv_PzRIRXME6rVlF7Fg	parking|point_of_interest|establishment	43.7154725	7.2641083			parking
18	Avenue Joseph Vallot Parking	ChIJZ6YYfP_PzRIRSZbQ48XRD9E	parking|point_of_interest|establishment	43.7156563	7.265031899999999			parking
20	Parking Sappia	ChIJfxmSne3PzRIRRmy9ZqLDVNo	parking|point_of_interest|establishment	43.7303224	7.253589400000001		2 Bd Henri Sappia, 06100 Nice	parking
21	3 Rue Alfred Binet Parking	ChIJF2R8XgHQzRIRCOi1ML1QP20	parking|point_of_interest|establishment	43.7099245	7.260102		3 Rue Alfred Binet, 06000 Nice	parking
22	45 Blvd Joseph Garnier Parking	ChIJqdHfbAPQzRIRNB_-XkkLy_4	parking|point_of_interest|establishment	43.7098585	7.256342800000001		45 Bd Joseph Garnier, 06000 Nice	parking
23	Parking Liberation	ChIJi4SB6wDQzRIRVawmSOk-G7k	parking|point_of_interest|establishment	43.7099455	7.263726399999999		22 Av. Villermont, 06000 Nice	parking
24	Q-Park Gare du Sud	ChIJk4bGFQHQzRIRAZ-PgcFI06E	parking|storage|point_of_interest|establishment	43.7091974	7.260045400000001	True	5 Rue Alfred Binet, 06000 Nice	parking
25	Parkink Cimiez	ChIJOxLk5k_FzRIRSukDfPXw_iI	parking|point_of_interest|establishment	43.720733	7.2765228		21 Av. du Monastère, 06000 Nice	parking
26	22 Avenue Villermont Parking	ChIJRep37ADQzRIRTHbE8uJt1EI	parking|point_of_interest|establishment	43.70951489999999	7.264001		22 Av. Villermont, 06000 Nice	parking
27	Rue du Général Hoche Parking	ChIJtw1T6QDQzRIRqrMgIinPDWI	parking|point_of_interest|establishment	43.7090775	7.262800299999999		Rue Général Hoche, 06000 Nice	parking
28	Parking Q-Park Nice Gare du Sud	ChIJk4bGFQHQzRIRor1Od4U1pd4	parking|point_of_interest|establishment	43.70879799999999	7.261417000000001	True	31 Rue de Dijon, 06000 Nice	parking
29	Parkin Monastere	ChIJryraoE_FzRIRnc0LEzraUUw	parking|point_of_interest|establishment	43.7201771	7.278626399999999		06000 Nice	parking
30	Parking Raimbaldi	ChIJKQVV0anazRIRk1d-8ux-vsk	parking|point_of_interest|establishment	43.7062626	7.2656978		38 Bd Raimbaldi, 06000 Nice	parking
31	Parking Pasteur	ChIJ1Qg_XUzFzRIRpbwnWDDvc1k	parking|point_of_interest|establishment	43.71491270000001	7.2800313		4 Corniche Ste Rosalie, 06000 Nice	parking
32	81 Avenue du Maréchal Lyautey Parking	ChIJuwZL90vFzRIRHz0ytN85LhY	parking|point_of_interest|establishment	43.7160807	7.2811135		81 Av. du Maréchal Lyautey, 06000 Nice	parking
33	Parking gare de Nice courte durée - EFFIA	ChIJCxJB3f7RzRIR8Y0YP90XgAI	parking|point_of_interest|establishment	43.7046709	7.261745599999999	True	12 Av. Thiers, 06000 Nice	parking
