	name	place_id	types	geometry.location.lat	geometry.location.lng	opening_hours.open_now	formatted_address	main_type
0	Pharmacie du Ray	ChIJ-QMcU-PPzRIRhtd6El9lYUI	pharmacy|health|point_of_interest|store|establishment	43.7236868	7.259861299999999	True		pharmacy
1	Pharmacie du Stade du Ray	ChIJQ0k67PrPzRIRiAgOkK7E0KY	pharmacy|health|point_of_interest|store|establishment	43.7221117	7.2561252	True		pharmacy
2	Pharmacie St Maurice	ChIJK1-gqfnPzRIRirTbAcEJvBw	pharmacy|health|point_of_interest|store|establishment	43.719879	7.262124899999998	True		pharmacy
3	💊Pharmacie Gorbella ⎢Totum Pharmaciens	ChIJWQcvfvvPzRIRkBfe2cDHLtA	pharmacy|health|point_of_interest|store|establishment	43.7188996	7.2569644	True		pharmacy
4	Para Sante Pharmacie	ChIJARaPd_vPzRIRxySU-kLNiRw	pharmacy|health|point_of_interest|store|establishment	43.7188665	7.257020800000001			pharmacy
5	Pharmacie Shri Shakti	ChIJk6MzNPnPzRIRCeGzhf8-WGE	pharmacy|health|point_of_interest|store|establishment	43.71819790000001	7.2614207			pharmacy
6	Pharmacie Fontaine Du Temple	ChIJ08YPOPDPzRIRMXyb9H2JQU8	pharmacy|health|point_of_interest|store|establishment	43.7247855	7.2557505	True		pharmacy
7	Pharmacie Carlin	ChIJCYT3yvHPzRIR9VPlQPU3j00	pharmacy|health|point_of_interest|store|establishment	43.7250579	7.255635099999999	True		pharmacy
8	Pharmacie du Square	ChIJI8jlV_zPzRIRTwkePfyslGk	pharmacy|health|point_of_interest|store|establishment	43.7163887	7.2571252	True		pharmacy
9	Leibovici	ChIJ3bk69_zPzRIRoAynczX-oJs	pharmacy|health|point_of_interest|store|establishment	43.7163711	7.257087199999999			pharmacy
10	Grande Pharmacie de l'Horloge	ChIJ33CdYuPPzRIRJzhE-GFvpqU	pharmacy|health|point_of_interest|store|establishment	43.718543	7.252685000000002	True		pharmacy
11	Snc Derksen Et Miche	ChIJkSwXJvbPzRIRXiVD26zp7Zs	pharmacy|health|point_of_interest|store|establishment	43.7255214	7.2652698	True		pharmacy
12	Perin Sophie	ChIJG-NrTPnPzRIRovrV7WNw8Co	drugstore|pharmacy|health|point_of_interest|store|establishment	43.7218138	7.2510657			pharmacy
13	Grande pharmacie de Cessole . Perin	ChIJ-yJeu-XPzRIRbvlGIU-pWqQ	pharmacy|health|point_of_interest|store|establishment	43.7218138	7.2510657	True		pharmacy
14	Pharmacie Saint Barthélémy	ChIJYSFdXP7PzRIRuI24iN88M8s	pharmacy|health|point_of_interest|store|establishment	43.7148456	7.261391599999998	True		pharmacy
15	Pharmacie de Falicon	ChIJCzZe8vHPzRIRrtqvAO_XKzE	pharmacy|health|point_of_interest|store|establishment	43.7285371	7.255584500000001	True		pharmacy
16	Pharmacie Saint Sylvestre	ChIJj0cIJe_PzRIRKjN9m-mRrIA	pharmacy|health|point_of_interest|store|establishment	43.7253807	7.249896800000002			pharmacy
17	Pharmacie St Sylvestre	ChIJWZu-Je_PzRIRGLRay1CYAyU	pharmacy|health|point_of_interest|store|establishment	43.7253933	7.2498521	True		pharmacy
18	Pharmacie Jannin-Potier	ChIJo7g30ujPzRIROeLX7TiaDEM	pharmacy|health|point_of_interest|store|establishment	43.72542929999999	7.248997400000002	True		pharmacy
19	Pharmacie Abraini -Lafuite -Abruzzese	ChIJe-n10ejPzRIRVnlsxkuvDkU	pharmacy|health|point_of_interest|store|establishment	43.7254625	7.248999100000001			pharmacy
20	Pharmacie Le Papeete	ChIJUcOyoOjPzRIRE2GMnHAT49Y	pharmacy|real_estate_agency|health|point_of_interest|store|establishment	43.7236126	7.247886500000001	True	35 Rue Jean Canavèse, 06100 Nice	pharmacy
