	name	place_id	price_level	types	geometry.location.lat	geometry.location.lng	opening_hours.open_now	formatted_address	main_type
0	SPAR	ChIJQZpy5qbazRIRuYxYr-x8EjY	1.0	convenience_store|bakery|grocery_or_supermarket|food|point_of_interest|store|establishment	43.7198692	7.262145599999998	True		bakery
1	Boulangerie Patisserie Bernardi&Co	ChIJORXGG_nPzRIR0cInN6eZQ6k		bakery|food|point_of_interest|store|establishment	43.7194547	7.26213	True		bakery
2	P.l.b	ChIJPzAaGvnPzRIR_xXLY4PUZQE		bakery|food|point_of_interest|store|establishment	43.7194344	7.261974500000002			bakery
3	Analea	ChIJ3cuIEljFzRIR2KTGWbSZ7mk		bakery|food|point_of_interest|store|establishment	43.7235377	7.2660667	False		bakery
4	sarl A.T.M.B.	ChIJvY2J0PjPzRIRhNGHWyrNsck		bakery|food|point_of_interest|store|establishment	43.71812	7.263525	True		bakery
5	S.n.h	ChIJ97qMKvbPzRIRmvz70D4VSIo		bakery|food|point_of_interest|store|establishment	43.7251011	7.265225999999998	True		bakery
6	Carrefour City Nice Borriglione 73	ChIJ39fDxkDPzRIRrk8UdDAffCw		supermarket|bakery|grocery_or_supermarket|restaurant|food|point_of_interest|store|establishment	43.71766230000001	7.2611615	True		bakery
7	Carrefour Market Nice Le Ray	ChIJSyi0m_jPzRIRwKYKh323l4k		supermarket|bakery|grocery_or_supermarket|home_goods_store|food|point_of_interest|store|establishment	43.72299189999999	7.2569971	True		bakery
8	Balbo Accossato Arlette	ChIJGYRO0_bPzRIRvo_o6ytq2cY		bakery|food|point_of_interest|store|establishment	43.7268402	7.259946399999999	True		bakery
9	Boulangerie Gb	ChIJo075h_zPzRIRi9jgHaFZJKc		bakery|food|point_of_interest|store|establishment	43.7176443	7.257176899999999			bakery
10	Pain Gourmand	ChIJIUjNhfzPzRIRyEdkEFd4mJI		bakery|food|point_of_interest|store|establishment	43.71776	7.256772199999998	True		bakery
11	La Délicieuse	ChIJW8G9MfzPzRIRv8tODkK3HQc		bakery|food|point_of_interest|store|establishment	43.7159396	7.259140100000001	True		bakery
12	Springfield Donuts Factory	ChIJe5I8NF3PzRIR2L9IUnC44j8		bakery|food|point_of_interest|store|establishment	43.7172577	7.2567939			bakery
13	Springfield Donuts Factory - Nice Nord	ChIJIQ-u_KTPzRIRGqmR6TSrq9E		bakery|food|point_of_interest|store|establishment	43.7172577	7.2567939	True		bakery
14	J.Multari	ChIJ9aCTNfDPzRIRCSX11P2ymuA	2.0	bakery|food|point_of_interest|store|establishment	43.7252401	7.255673200000001	True		bakery
15	La Madaloun	ChIJ3-re3qDPzRIRHR6n9wluSoY		bakery|food|point_of_interest|store|establishment	43.7163286	7.257654199999999	False		bakery
16	Carrefour City Nice Valrose Borriglione 42	ChIJV2EaWWjPzRIR0uFF9EMkBtA		supermarket|bakery|grocery_or_supermarket|restaurant|food|point_of_interest|store|establishment	43.7147685	7.261702499999998	True		bakery
17	Casino Shop	ChIJN2jrmfDPzRIRDGB1ICyPGDI		supermarket|bakery|grocery_or_supermarket|home_goods_store|food|point_of_interest|store|establishment	43.72610239999999	7.256101099999999	True		bakery
18	Le Fournil D'Antoine	ChIJnyrjRv7PzRIRa9vXMXo-gXk		bakery|food|point_of_interest|store|establishment	43.71457669999999	7.261684399999999	True		bakery
19	Boulangerie Du Vallon	ChIJx0EJFl_FzRIR1KvNP6RdPPg		bakery|food|point_of_interest|store|establishment	43.7283712	7.2669877			bakery
20	Boulangerie-patisserie Du Temple	ChIJRSk20O_PzRIRNgALFel6SnM		bakery|food|point_of_interest|store|establishment	43.7248479	7.2541075	True	6 Chem. du Temple, 06100 Nice	bakery
21	Aux Delices de Jeanne D'Arc	ChIJQXieNP7PzRIR1uH7K9qCM6s	1.0	bakery|food|point_of_interest|store|establishment	43.7140383	7.2624692	False	105 Av. Saint-Lambert, 06100 Nice	bakery
22	La Boulangerie Du Soleil	ChIJMQnVH_LPzRIRG6aCs1yfupE	1.0	bakery|food|point_of_interest|store|establishment	43.7278533	7.2556865	True	12 Bd Comte de Falicon, 06100 Nice	bakery
23	Les Pains de l'Horloge	ChIJraJ9huTPzRIRWm7OrYMSUjk	1.0	bakery|food|point_of_interest|store|establishment	43.7189599	7.252108799999999	True	95 Bd de Cessole, 06100 Nice	bakery
24	Boulangerie Guilbeaud la baguette magique	ChIJZTT7PePPzRIRwu2VHtNIeDs	2.0	bakery|food|point_of_interest|store|establishment	43.7171185	7.253220900000001	True	82 Bd de Cessole, 06100 Nice	bakery
25	Boulangerie Quentin	ChIJ12KhuuXPzRIRXsw_2s89VUA		bakery|food|point_of_interest|store|establishment	43.7216588	7.251134899999999	True	138 Bd de Cessole, 06100 Nice	bakery
26	La Délicieuse	ChIJkcM1xAHQzRIRu9lSdmUJPxU	2.0	bakery|food|point_of_interest|store|establishment	43.7126107	7.2619353	True	20 Av. Alfred Borriglione, 06100 Nice	bakery
27	Le Fournil d'Antoine	ChIJ7Y5bWO_PzRIRD8ngN5GvcXM		bakery|food|point_of_interest|store|establishment	43.7237121	7.2498554	True	143 Bd de Cessole, 06100 Nice	bakery
