	name	place_id	types	geometry.location.lat	geometry.location.lng	opening_hours.open_now	formatted_address	main_type
0	GENER-INTI	ChIJNSUCT_jPzRIRqKXkPqO7Yh0	electrician|point_of_interest|establishment	43.7209995	7.263029500000001	True		electrician
1	BNS ELECTRICITE	ChIJAQCwWvjPzRIRdX_9bcV-gwY	electrician|point_of_interest|establishment	43.720772	7.263305000000001			electrician
2	Bnelec	ChIJ3Q_lTFTPzRIRCODdq0hKx2w	electrician|point_of_interest|establishment	43.7209752	7.261282100000001	True		electrician
3	NVS RENOVATION SERVICE	ChIJ5eDGFszazRIRuu4-HkxBFyA	painter|electrician|general_contractor|point_of_interest|establishment	43.7198985	7.266568599999999	True		electrician
4	ELECTRICITE NICOLAS CALIGARIS	ChIJi1SL_NvPzRIRQGydItovj5g	electrician|point_of_interest|establishment	43.7194919	7.260433900000001	True		electrician
5	Calleri Jerome Paul Gaston	ChIJX6-L0PjPzRIRzXG6bgjbBTc	electrician|point_of_interest|establishment	43.7182763	7.263362399999999			electrician
6	VIA DEL COMMERCIO GIANO DEL UMBRIA	ChIJy0HR31vPzRIRDEOAqnMCKpw	painter|electrician|locksmith|plumber|roofing_contractor|general_contractor|point_of_interest|establishment	43.7175258	7.2623333	True		electrician
7	GTElectricité	ChIJe07KbPvPzRIRmhD5sJZR8jo	electrician|point_of_interest|establishment	43.71988589999999	7.256822199999999			electrician
8	Caron Patrick	ChIJF17pvfrPzRIRcK9j4JQ0fUw	electrician|point_of_interest|establishment	43.7225715	7.2557209			electrician
9	Hoffmann Francis	ChIJLxm4Cv_PzRIRfu_AWrKkgQE	electrician|point_of_interest|establishment	43.7156098	7.263872799999999			electrician
10	Bosson Claude Fabien	ChIJ7YVNsPrPzRIRGXVcnYDGv5A	electrician|point_of_interest|establishment	43.7224179	7.255015899999999			electrician
11	Cortone Electricité. ARTISAN	ChIJXQobnPzPzRIR7IgGf3a8ltg	electrician|general_contractor|point_of_interest|establishment	43.717939	7.256437999999998	True		electrician
12	Mag	ChIJGVYWU_7PzRIRsquuIgb5J-U	electrician|point_of_interest|establishment	43.7151356	7.2626386			electrician
13	Letra de Carvalho Adao	ChIJzWXxV_vPzRIRfNNg8lB9wSw	electrician|point_of_interest|establishment	43.7184395	7.255192600000001			electrician
14	Epa Concept	ChIJF8ErW-XPzRIRUXjbYSfyMfE	electrician|point_of_interest|establishment	43.7227086	7.2539971			electrician
15	Duclerc Olivier Andre	ChIJPfxRJYrPzRIR7jxy-Ghf1ZM	electrician|point_of_interest|establishment	43.7271151	7.257492100000001			electrician
16	Antea	ChIJ9zoU0P3PzRIRcUHfOW99tvk	electrician|point_of_interest|establishment	43.71516949999999	7.2592835			electrician
17	AG RENOV NISSA	ChIJcRq_tv3PzRIRE-UCh_W3ZIU	electrician|plumber|point_of_interest|establishment	43.715423	7.258278599999999	True		electrician
18	E.G.L Electricité Générale du Littoral-SARL	ChIJNedezPHPzRIR3slDThK24tk	electrician|point_of_interest|establishment	43.72578559999999	7.255024000000001			electrician
19	GECN	ChIJYw_d3PzPzRIR2Tf2CB6JdWY	electrician|point_of_interest|establishment	43.7164627	7.255643800000001			electrician
20	Electric'antennes Azur Technisat	ChIJ-Y_rBVHFzRIRXB8qvOQTgkA	electrician|point_of_interest|establishment	43.7200817	7.273664600000001	True	71 Bd de Cimiez, 06000 Nice	electrician
21	Cedelec	ChIJz908JzDPzRIRCwL-g74dcio	electrician|point_of_interest|establishment	43.7137792	7.260544599999999	True	9 Rue Parmentier, 06100 Nice	electrician
22	Fournial Laurent	ChIJ3e2E9OTPzRIRW1z4JrqJXPY	electrician|point_of_interest|establishment	43.7198524	7.252109999999999		112 Bd de Cessole, 06100 Nice	electrician
23	Sarl Chauffage Clim Services	ChIJYfo5vOXPzRIRGxyP8cUf_Sk	electrician|point_of_interest|store|establishment	43.7219826	7.251011200000001	True	140 Bd de Cessole, 06100 Nice	electrician
24	YES'ELEC	ChIJce5NwrLPzRIRrfIT5QNDKLo	electrician|point_of_interest|establishment	43.7211665	7.2506991	True	6 Rue de l'Orme, 06100 Nice	electrician
