	name	place_id	types	geometry.location.lat	geometry.location.lng	opening_hours.open_now	formatted_address	main_type
0	Hospital Center Universitaire De Nice	ChIJcWSiJ1fFzRIRskgJzYufKU0	hospital|health|point_of_interest|establishment	43.71987300000001	7.269867899999998			hospital
1	Hospital Center Regional	ChIJF6-VlFDFzRIRLSouG_qTVDo	hospital|health|point_of_interest|establishment	43.7209142	7.2722946			hospital
2	Flag Grand Hotel	ChIJ56JhhFDFzRIRhN1gs7uC_7E	hospital|health|point_of_interest|establishment	43.7215459	7.272491600000001			hospital
3	Ballon Gastrique Nice Elipse	ChIJES7veODFzRIRuSxhAN6FoIQ	hospital|health|point_of_interest|establishment	43.72236360000001	7.2725142	True		hospital
4	Cimiez Hospital	ChIJF6-VlFDFzRIR27S-IIuP9Y8	hospital|health|point_of_interest|establishment	43.7212062	7.273304899999999	True		hospital
5	Hospital Center Universitaire De Nice	ChIJSRdhfAPFzRIRvuL15xGcocA	hospital|health|point_of_interest|establishment	43.7209925	7.273405100000001			hospital
6	Cryo Regina	ChIJmeV6HVHFzRIRSjujqQ0AVFo	hospital|health|point_of_interest|establishment	43.7201888	7.273272999999999	True		hospital
7	Centre Regina	ChIJ84TgE1HFzRIRpVyVQlWSor4	hospital|doctor|health|point_of_interest|establishment	43.7201514	7.274272600000001	True		hospital
8	Dr Micheline Clavé Centre De Cryolipolyse Et Dermatologie Esthétique À Nice	ChIJpYr_KVvFzRIRAroZJqWnqeI	hospital|health|point_of_interest|establishment	43.7241921	7.2757387			hospital
9	MiraDry - Miradry : traitement transpiration aisselles	ChIJI4PsCxnFzRIR4T7JCuYsE4g	hospital|health|point_of_interest|establishment	43.7163297	7.2748747	True		hospital
10	Médical Esthétic Alizé	ChIJAQDw--XPzRIRLsRCQYdDb1s	hospital|health|point_of_interest|establishment	43.7231405	7.249482899999999			hospital
11	Sarah Berdu	ChIJpeuk1xXRzRIRza-Atq5c8Yg	hospital|health|point_of_interest|establishment	43.7101728	7.261953200000002			hospital
12	Hospitals	ChIJ3wgDfbbRzRIRk23u5CEN2iM	hospital|health|point_of_interest|establishment	43.7101728	7.261953200000002			hospital
