	name	place_id	types	geometry.location.lat	geometry.location.lng	opening_hours.open_now	formatted_address	main_type
0	Art Collection Care	ChIJhZ4wM_nPzRIRnYW2fy4H-SQ	art_gallery|point_of_interest|establishment	43.7179697	7.261688899999999	False		art_gallery
2	Favret Anne	ChIJjcwc1f3PzRIRZduIe1ayvW4	art_gallery|point_of_interest|establishment	43.7154558	7.2583853			art_gallery
3	Villa Arson / National Center Contemporary Art Et National School D'art	ChIJ11Bgv-TPzRIRDSLD1K94Nkc	art_gallery|point_of_interest|establishment	43.7213077	7.2530426	False		art_gallery
6	Lignon Ludovic	ChIJC6oFKR3QzRIR2D5gKdmjB1E	art_gallery|point_of_interest|establishment	43.711355	7.2539636			art_gallery
7	GALERIE MARTIN SAUVAGE	ChIJb9yGkwTQzRIRM96PGY9TAQs	art_gallery|point_of_interest|establishment	43.7075511	7.263895000000001	False		art_gallery
8	Galerie EVA VAUTIER	ChIJOxPIOwfQzRIRE0bMmHaXGbY	art_gallery|book_store|museum|point_of_interest|store|establishment	43.70747650000001	7.262956299999999	False		art_gallery
9	Espace à Vendre	ChIJJxgaDrfazRIRM1WXekR1mTg	art_gallery|point_of_interest|establishment	43.706389	7.268014000000001	False		art_gallery
12	BLANCHARD Stéphane	ChIJr2X506jazRIROiXsSgHrE1o	art_gallery|point_of_interest|establishment	43.70515109999999	7.2703667			art_gallery
14	Space Soardi - Art Framing	ChIJAXqv1qTazRIR95zMcuCoXb4	art_gallery|point_of_interest|store|establishment	43.705021	7.271921	False		art_gallery
19	Quadrige	ChIJfcSo4rDazRIRQP58jyMRne4	art_gallery|point_of_interest|establishment	43.7048752	7.2794457	False		art_gallery
20	Galerie d'art 21 Contemporary	ChIJTyB4pATbzRIRzB2j1YCP1AM	art_gallery|point_of_interest|establishment	43.7020175	7.272408899999999	False	21 Bd Dubouchage, 06000 Nice	art_gallery
21	Galerie 32	ChIJE28hw_bbzRIRIIFjGh72D6I	art_gallery|home_goods_store|point_of_interest|store|establishment	43.7018493	7.2736816		32 Rue Tonduti de l'Escarène, 06000 Nice	art_gallery
22	LIKES Galerie Café Culturel	ChIJjw_YmijbzRIRxHjGbeTHPE0	art_gallery|point_of_interest|establishment	43.704513	7.282631099999999		4 Rue Beaumont, 06300 Nice	art_gallery
23	Galerie HELENBECK	ChIJnzK7vLrazRIR2gcofMrZIZM	art_gallery|book_store|point_of_interest|store|establishment	43.70208359999999	7.2772142	False	6 Rue Defly, 06000 Nice	art_gallery
24	Galerie Jacqueline Perrin	ChIJ10w6hbrazRIR0cey4FTM2J4	art_gallery|point_of_interest|establishment	43.702086	7.278152	False	14 Av. Saint-Jean-Baptiste, 06000 Nice	art_gallery
27	Gallery 12	ChIJZWdgWKfazRIROJ2CVt7Cecc	art_gallery|point_of_interest|establishment	43.6993667	7.2653649		12 Rue Alphonse Karr, 06000 Nice	art_gallery
29	Le Carré D'art	ChIJ_aYiLafazRIRxQ5oa--RW8s	art_gallery|point_of_interest|establishment	43.6985475	7.2674328		Rue Joseph Brès, 06000 Nice	art_gallery
30	YELLOWKORNER NICE 4 RUE BONAPARTE	ChIJzf2ebTjbzRIRM0WloqkOKwY	art_gallery|point_of_interest|establishment	43.7005991	7.281796399999999	False	4 Rue Bonaparte, 06300 Nice	art_gallery
32	Galerie d'art Carré d'artistes Nice	ChIJIU1faH_bzRIRZFdb4bZGdyI	art_gallery|point_of_interest|store|establishment	43.6978418	7.266137100000001	False	22 Rue de la Liberté, 06000 Nice	art_gallery
