	name	place_id	types	geometry.location.lat	geometry.location.lng	opening_hours.open_now	formatted_address	main_type
0	LCL Bank and Insurance	ChIJycH-GvnPzRIRs1RTCbsSncQ	bank|atm|finance|insurance_agency|point_of_interest|establishment	43.7195608	7.262066700000001	True		atm
1	LCL Banque et assurance	ChIJuek2a1HFzRIRTu0Fd4888bM	bank|atm|finance|insurance_agency|point_of_interest|establishment	43.7185281	7.272116400000002	True		atm
2	Caisse d'Epargne Nice Saint-Maurice	ChIJ4fcJzP7PzRIRYT1mMNsnslA	bank|atm|finance|insurance_agency|health|point_of_interest|establishment	43.7179003	7.261619199999999	True		atm
3	Banque Populaire Méditerranée	ChIJ538sPFvFzRIRpQUb_ythGIE	bank|atm|finance|point_of_interest|establishment	43.7248644	7.2743123	True		atm
4	Credit North	ChIJ--DswVPFzRIRwHjSjP_ELms	bank|atm|finance|point_of_interest|establishment	43.7164462	7.272321900000001			atm
5	Caisse d'Epargne Nice Cimiez	ChIJf-71PlvFzRIRj5FSRrK2QmQ	bank|atm|finance|insurance_agency|health|point_of_interest|establishment	43.7252143	7.274746699999999	True		atm
6	BNP Paribas - Nice Commandant Gerome	ChIJO0plMVvFzRIRq1WAnBY2Gzg	bank|atm|finance|insurance_agency|point_of_interest|establishment	43.7250542	7.275309199999999	True		atm
7	Point Nickel	ChIJheZsjlfFzRIR3frc9adprOI	atm|bank|finance|point_of_interest|establishment	43.72489849999999	7.275470200000002	True		atm
8	Société Générale	ChIJ84PLn1PFzRIRYSaZCroC55A	bank|atm|finance|insurance_agency|point_of_interest|establishment	43.7149203	7.2716359	True		atm
9	Société Générale	ChIJHcqEBfvPzRIRUFKmSTtaQfo	bank|atm|finance|insurance_agency|point_of_interest|establishment	43.72017350000001	7.256804200000001	True		atm
10	BNP Paribas - Nice Borriglione	ChIJsagKQf7PzRIR6j9GrPJzQgk	bank|atm|finance|insurance_agency|point_of_interest|establishment	43.7145855	7.261429099999999	True		atm
11	BNP Paribas - Nice Fontaine Du Temple	ChIJ6Sg_rfHPzRIRasQBnxTkK68	bank|atm|finance|insurance_agency|point_of_interest|establishment	43.72344390000001	7.255890399999999	True		atm
12	Distributeur De Billets	ChIJgTd-P_DPzRIRQCiBATjJ0Xs	atm|finance|point_of_interest|establishment	43.72445689999999	7.255719399999999	True		atm
13	Banque Populaire Méditerranée	ChIJ7xyhNfDPzRIRv7tyba72flk	bank|atm|finance|point_of_interest|establishment	43.7244125	7.2556937	True		atm
14	Caisse d'Epargne Nice le Stade	ChIJlx0Lb_LPzRIRVARbfn35gPY	bank|atm|finance|insurance_agency|health|point_of_interest|establishment	43.7268821	7.2559041	True		atm
