	name	place_id	types	geometry.location.lat	geometry.location.lng	opening_hours.open_now	formatted_address	main_type
1	Cléopatre	ChIJZ6dDGPnPzRIR9Jz5onxmtDg	beauty_salon|point_of_interest|establishment	43.719138	7.261857499999999	True		beauty_salon
3	Hirsch Ivaldi Christine	ChIJa3vTE_fPzRIRm_X00g2WHtI	beauty_salon|point_of_interest|establishment	43.7243117	7.261808499999999			beauty_salon
4	Institut de Beauté Bel'à Vie à Nice	ChIJs3xH7vnPzRIR9Jkj7ais7Z4	beauty_salon|hair_care|spa|point_of_interest|establishment	43.72183949999999	7.260523000000001	False		beauty_salon
6	LTB BEAUTY	ChIJscd6D7XPzRIRIPlc5xvhIdA	beauty_salon|point_of_interest|establishment	43.7187287	7.2614372	True		beauty_salon
7	LAPORTE MARINE - Centre Dermo-Esthetic Nice - Maquillage Permanent - MAUD ELITE	ChIJB020FuXPzRIRzKvBm4yiAHY	beauty_salon|point_of_interest|establishment	43.72425839999999	7.260261999999999	True		beauty_salon
9	institut beauté d'ailleurs	ChIJ1ccGqFXFzRIR0vWqdjOyHcw	beauty_salon|hair_care|spa|point_of_interest|establishment	43.715212	7.267324	True		beauty_salon
10	Eny Nails	ChIJPfuxVf7PzRIRHCerBGHpHIY	beauty_salon|point_of_interest|establishment	43.71537779999999	7.262375999999998			beauty_salon
11	Centre Épilation Laser Nice Villa La Tour	ChIJqcTbFVLFzRIRmeglXbKizKI	beauty_salon|hair_care|health|point_of_interest|establishment	43.71640240000001	7.274782400000001	True		beauty_salon
12	Institut De Toute Beauté	ChIJSYTLn1PFzRIRjsjikfb4AH0	beauty_salon|point_of_interest|establishment	43.71476089999999	7.271614899999999	True		beauty_salon
13	Dr Marie KLIFA-CHOISY - Chirurgien Esthétique	ChIJBcXxgxDQzRIR2Uzlv6gNPsc	beauty_salon|hair_care|doctor|health|point_of_interest|establishment	43.7163352	7.274884800000001	True		beauty_salon
14	QIPAO	ChIJTRFS_7jPzRIRNl5C8asSWG0	beauty_salon|point_of_interest|establishment	43.7228112	7.256437	True		beauty_salon
17	Cnice_ongles	ChIJPVCS9m7PzRIRTnuoMtKBGrw	beauty_salon|point_of_interest|establishment	43.7148777	7.2608396	True		beauty_salon
19	Hi Brows !	ChIJpy8eaf7PzRIRXl_eKkC-VIE	beauty_salon|point_of_interest|establishment	43.71479619999999	7.260982400000002			beauty_salon
20	Virginie Esthetique	ChIJs3j2UF7FzRIRFdhOjLJtWLA	beauty_salon|point_of_interest|establishment	43.7298496	7.268551999999999	True	113B Av. Henry Dunant, 06100 Nice	beauty_salon
21	Institut Maria Galland	ChIJifNL6_rPzRIRXuvYNaR1NvM	beauty_salon|point_of_interest|establishment	43.7222644	7.256036699999999	True	39 Bd Gorbella, 06100 Nice	beauty_salon
22	L'institut de Cimiez	ChIJz3E-9FLFzRIR84IVLfyOO7A	beauty_salon|point_of_interest|establishment	43.7144617	7.274477		91 Av. des Arènes de Cimiez, 06000 Nice	beauty_salon
23	Institut de Beauté SUBLIME	ChIJKeJ23gbPzRIRfWYUudAzyDI	beauty_salon|point_of_interest|establishment	43.7132879	7.2615349	False	27 bis Av. Alfred Borriglione, 06100 Nice	beauty_salon
24	WISHpro	ChIJf9nkIqvazRIRqOeClrec6f4	beauty_salon|point_of_interest|establishment	43.7116609	7.268534499999999		33 Av. George V, 06000 Nice	beauty_salon
25	Institut Beaute d'Ange	ChIJBTulUuPPzRIRdZFX2xpfPDs	beauty_salon|point_of_interest|establishment	43.7178347	7.254348	True	67 Av. Cyrille Besset, 06100 Nice	beauty_salon
26	Carol'Esthétique	ChIJA7aZ6PnPzRIRvlN0y64NH6g	beauty_salon|point_of_interest|establishment	43.7113156	7.2613889	True	14 Av. Alfred Borriglione, 06100 Nice	beauty_salon
27	Lise Rose Institut	ChIJ0xubaePPzRIRFkZFY1vwa50	beauty_salon|hair_care|spa|point_of_interest|establishment	43.7176346	7.253010000000001	False	88 Bd de Cessole, 06100 Nice	beauty_salon
28	LM BEAUTY	ChIJwefyTQbPzRIRLsrt96c6Qho	beauty_salon|point_of_interest|establishment	43.7171077	7.2532507	False	82 Bd de Cessole, 06100 Nice	beauty_salon
