	name	place_id	types	geometry.location.lat	geometry.location.lng	opening_hours.open_now	formatted_address	main_type
0	Renault	ChIJN84WIfjPzRIRz4QF_Chjc9U	car_dealer|point_of_interest|store|establishment	43.72246339999999	7.2636421	True		car_dealer
1	Azur Motors Sarl	ChIJ538sPFvFzRIRxWax1PMnS-o	car_dealer|car_repair|point_of_interest|store|establishment	43.7246718	7.273924299999998	True		car_dealer
2	Master Cars	ChIJ69izUv7PzRIRJZoVjTcpNL8	car_dealer|point_of_interest|store|establishment	43.71494329999999	7.262573799999998			car_dealer
3	Auto Service Gorbella	ChIJXRJMifzPzRIRBfQ3xbcWpys	car_dealer|point_of_interest|store|establishment	43.7175456	7.2568022	True		car_dealer
4	Renault	ChIJ7RZJj_zPzRIRDvgjEPfwbfw	car_dealer|point_of_interest|store|establishment	43.7175554	7.256669599999999			car_dealer
5	ENJOY AUTO 06	ChIJ6RjkKEzFzRIRd-tTpUmdJU4	car_dealer|point_of_interest|store|establishment	43.7166072	7.2793056	True		car_dealer
6	PEUGEOT - GARAGE MASSIERA-MALTESE	ChIJX2L2KvDPzRIRf5EcPBsIhms	car_dealer|car_repair|point_of_interest|store|establishment	43.7253019	7.254434100000003	True		car_dealer
7	By My Car Rivoli	ChIJ55xnf3LRzRIR2DS_rnxxzYE	car_dealer|point_of_interest|store|establishment	43.7119895	7.2620406			car_dealer
8	Villeroy Automobiles - Nice	ChIJtYFBkG7RzRIRh7XSqIq9buU	car_dealer|point_of_interest|store|establishment	43.7130818	7.258922099999999	True		car_dealer
9	JSC Auto	ChIJpb0SU8jazRIRI9Y3Q62o8ic	car_dealer|car_repair|point_of_interest|store|establishment	43.7161117	7.2804469	True		car_dealer
10	Renault	ChIJn_JajZze5UcRt5SL5joeH6s	car_dealer|point_of_interest|store|establishment	43.715341	7.2810033	True		car_dealer
11	ED AUTO 2000	ChIJX48YQGfFzRIRJ5gQ6Eht2Jg	car_dealer|point_of_interest|store|establishment	43.7326437	7.2723348	True		car_dealer
12	PEUGEOT - CROUZAT GUIDO	ChIJDZ6OlADQzRIRm2frD25T_e8	car_dealer|car_repair|point_of_interest|store|establishment	43.71013019999999	7.2640425	True		car_dealer
13	GARAGE DE CESSOLE - Citroën	ChIJRZ34UuTPzRIRXUia7a1tnHk	car_dealer|car_repair|point_of_interest|store|establishment	43.7207526	7.2512522	True		car_dealer
14	Technic Automobile	ChIJhzk7v-XPzRIRxtyRSRiy71k	car_dealer|car_repair|point_of_interest|store|establishment	43.7219155	7.250101600000001	True		car_dealer
15	Auto d'époque de la vésubie	ChIJ8dIPRB3QzRIRU5ud2plCif8	car_dealer|point_of_interest|store|establishment	43.712808	7.2535205			car_dealer
16	Sunny Speed Shop	ChIJF9dTgzbbzRIRFMzpONcnLQc	car_dealer|point_of_interest|store|establishment	43.7077856	7.269739999999999	False		car_dealer
17	Agent Renault rouret automobiles nice nord	ChIJzacmce3PzRIRWuKDx2KmDAs	car_dealer|car_repair|point_of_interest|store|establishment	43.730143	7.252284999999998	True		car_dealer
