	name	place_id	price_level	types	geometry.location.lat	geometry.location.lng	opening_hours.open_now	formatted_address	main_type
0	SPAR	ChIJQZpy5qbazRIRuYxYr-x8EjY	1.0	convenience_store|bakery|grocery_or_supermarket|food|point_of_interest|store|establishment	43.7198692	7.262145599999998	True		convenience_store
1	MONOPRIX NICE CIMIEZ	ChIJRW8ZCFDFzRIRI-36Fc2DuCs		supermarket|department_store|convenience_store|grocery_or_supermarket|food|point_of_interest|clothing_store|store|establishment	43.7218841	7.275654499999998	True		convenience_store
2	MONOPRIX NICE GORBELLA	ChIJ-fm9DPvPzRIR1WEhNx85PaI		supermarket|department_store|convenience_store|grocery_or_supermarket|food|point_of_interest|clothing_store|store|establishment	43.7192716	7.257145700000001	True		convenience_store
3	monop' NICE BORRIGLIONE	ChIJR7BSZ_7PzRIRQAXAOp2N6hw		supermarket|convenience_store|grocery_or_supermarket|restaurant|food|point_of_interest|store|establishment	43.71525130000001	7.2611135	True		convenience_store
4	Vival Cimiez	ChIJSVKO81LFzRIRkgWnYIZ2xq4		convenience_store|bakery|grocery_or_supermarket|food|point_of_interest|store|establishment	43.7144293	7.2744866	True		convenience_store
5	Station Service Eni	ChIJpSj15CfPzRIRsLUrk4-LzeA		gas_station|car_wash|convenience_store|food|point_of_interest|store|establishment	43.723886	7.255783099999999	True		convenience_store
6	Vival	ChIJrQesjP3PzRIRTVUpFgZvKCI		convenience_store|bakery|grocery_or_supermarket|food|point_of_interest|store|establishment	43.713608	7.258572000000001	True		convenience_store
7	STATION BP NICE FALICON	ChIJZ6TvoPrPzRIRSF5rxcLaS1M		gas_station|car_wash|convenience_store|food|point_of_interest|store|establishment	43.72754810000001	7.255792499999999	True		convenience_store
8	Super K Nice Distribution	ChIJC58AIgLQzRIRdk5z6eZ3Ws4		convenience_store|grocery_or_supermarket|food|point_of_interest|store|establishment	43.7120533	7.259575300000001	True		convenience_store
9	Casino Shop	ChIJB33ePOPPzRIR8WCe5klh684		convenience_store|bakery|grocery_or_supermarket|food|point_of_interest|store|establishment	43.7167819	7.2534438	True		convenience_store
10	Le Petit Casino	ChIJURg2pgHQzRIR7LD3oThBEU0		convenience_store|bakery|grocery_or_supermarket|food|point_of_interest|store|establishment	43.71094129999999	7.262124899999998	True		convenience_store
11	Vival	ChIJ-1duMFjPzRIRX6n5_rIKIpc		convenience_store|bakery|grocery_or_supermarket|food|point_of_interest|store|establishment	43.7208181	7.2515652	True		convenience_store
12	HC Distri	ChIJMSu78EjFzRIREybcweT6GeM		convenience_store|food|point_of_interest|store|establishment	43.7196362	7.2833909	True		convenience_store
13	SPAR	ChIJL_Zj5UjFzRIR2jDoT8tdVXE	1.0	convenience_store|bakery|grocery_or_supermarket|food|point_of_interest|store|establishment	43.71963499999999	7.283390999999999	True		convenience_store
14	Vival	ChIJlycf_2fFzRIR1-k-KA5Kv4g		convenience_store|bakery|grocery_or_supermarket|food|point_of_interest|store|establishment	43.731568	7.275894200000001	True		convenience_store
15	ALIMENTATION L'ENDROIT	ChIJG-gPdUzFzRIRDl2hCP7OHa0		convenience_store|food|point_of_interest|store|establishment	43.7153065	7.281276799999999	True		convenience_store
16	Total Petrol Station Access	ChIJ85l7LEfFzRIRgx8STkEQlPg		gas_station|car_wash|convenience_store|cafe|restaurant|food|point_of_interest|store|establishment	43.72699790000001	7.282743100000001	True		convenience_store
