	name	place_id	types	geometry.location.lat	geometry.location.lng	opening_hours.open_now	formatted_address	main_type
0	Agip	ChIJQYTVFPDPzRIR-v7u7CCZDk4	gas_station|point_of_interest|establishment	43.72396020000001	7.255850700000002			gas_station
1	Station Service Eni	ChIJpSj15CfPzRIRsLUrk4-LzeA	gas_station|car_wash|convenience_store|food|point_of_interest|store|establishment	43.723886	7.255783099999999	True		gas_station
2	STATION BP NICE FALICON	ChIJZ6TvoPrPzRIRSF5rxcLaS1M	gas_station|car_wash|convenience_store|food|point_of_interest|store|establishment	43.72754810000001	7.255792499999999	True		gas_station
3	A8	ChIJDd5WrdfPzRIRgeg4r0SFo1M	gas_station|point_of_interest|establishment	43.7297275	7.256161000000001			gas_station
4	TotalEnergies	ChIJPzZs_0vFzRIRRqyU9i8aIZo	gas_station|point_of_interest|establishment	43.71655719999999	7.282346299999999			gas_station
5	Total Petrol Station Access	ChIJ85l7LEfFzRIRgx8STkEQlPg	gas_station|car_wash|convenience_store|cafe|restaurant|food|point_of_interest|store|establishment	43.72699790000001	7.282743100000001	True		gas_station
6	Cagnol Pneus	ChIJISn9QQHQzRIRGlZOG_A3VYo	gas_station|point_of_interest|establishment	43.7096301	7.260942999999999	True		gas_station
7	Station Service Gaz	ChIJJQ9UVAfQzRIR4eyPVeRvEwE	gas_station|point_of_interest|establishment	43.7079577	7.265069899999999			gas_station
8	Total Petrol Station Access	ChIJ-bY94jfFzRIR_457ZbcecqI	gas_station|car_wash|convenience_store|cafe|restaurant|food|point_of_interest|store|establishment	43.7202375	7.2869669	True		gas_station
9	STATION BP NICE GAMBETTA	ChIJV-3xvwTQzRIRAP1YD8OqEtE	gas_station|car_wash|convenience_store|food|point_of_interest|store|establishment	43.7076107	7.255845699999999	True		gas_station
10	Relais Garigliano	ChIJbdkAtmrFzRIRp-_WBnObJAs	gas_station|point_of_interest|establishment	43.7320155	7.286320499999997	True		gas_station
11	TotalEnergies	ChIJXZV1q2rFzRIRRUy2eh1P2Yg	gas_station|car_wash|convenience_store|cafe|restaurant|food|point_of_interest|store|establishment	43.73187220000001	7.2865821	True		gas_station
12	TotalEnergies	ChIJ-_3wLTTFzRIRgVxhQpuIgRY	gas_station|car_wash|convenience_store|cafe|restaurant|food|point_of_interest|store|establishment	43.71559509999999	7.290018599999999	True		gas_station
13	ESSO EXPRESS SAINT ROCH	ChIJDzu_UzfFzRIRlaZe8NgtgOY	gas_station|point_of_interest|establishment	43.7204343	7.292023100000001	True		gas_station
14	TotalEnergies	ChIJ7Z7ZdRvQzRIRhBxezgaRaxg	gas_station|car_wash|convenience_store|cafe|restaurant|food|point_of_interest|store|establishment	43.7077828	7.251587900000001	True		gas_station
15	Avia	ChIJFUcuHgbQzRIRmrF-Q_h9JUk	gas_station|point_of_interest|establishment	43.7026293	7.2555204	True		gas_station
16	Sarl Terrin	ChIJb47awA_QzRIRVatqiQ0uYIw	gas_station|point_of_interest|establishment	43.7025624	7.255711			gas_station
17	TotalEnergies	ChIJbUn1BszazRIRby9I53YeZtU	gas_station|car_wash|convenience_store|cafe|restaurant|food|point_of_interest|store|establishment	43.70694679999999	7.2926166	True		gas_station
18	STATION BP NICE FRANKLIN	ChIJbWhzeg7QzRIRywS5KtQoz2w	gas_station|car_wash|point_of_interest|establishment	43.6993741	7.256511999999999	True		gas_station
19	Marchés filima	ChIJy0lILZHbzRIRdKxOF2E8HO0	gas_station|point_of_interest|establishment	43.7001496	7.281422100000001			gas_station
20	I.p	ChIJq6pWYbvazRIR_EAfbIoRLBw	gas_station|point_of_interest|establishment	43.69812	7.2777411		4 Rue Droite, 06300 Nice	gas_station
21	Gatto Mazout	ChIJW2fxjMfazRIRkAgATg6eZAU	gas_station|point_of_interest|establishment	43.7003753	7.287839	True	1 Pl. Max Barel, 06300 Nice	gas_station
22	Avia Boutique	ChIJ-ZbMlsfazRIRpJ_OATDaqj4	gas_station|point_of_interest|establishment	43.70037500000001	7.287885800000001		1 Pl. Max Barel, 06300 Nice	gas_station
23	Bavastro Auto	ChIJq6paf8fazRIRWQGHOp1BRbg	gas_station|point_of_interest|establishment	43.6994931	7.2872415		8 Bd Lech Walesa, 06300 Nice	gas_station
24	Station des Oliviers	ChIJ_b8Pbs_azRIRBVZAE6ANxtA	gas_station|point_of_interest|establishment	43.7021183	7.2943211	True	10 Cor André de Joly, 06300 Nice	gas_station
25	Le Gall Philippe	ChIJ_b8Pbs_azRIRRbpjqSm3MCg	gas_station|point_of_interest|establishment	43.702131	7.294359699999999	True	10 Cor André de Joly, 06300 Nice	gas_station
26	Esso	ChIJvy8T2tPazRIR3PCc-omDOHM	gas_station|point_of_interest|establishment	43.70619869999999	7.300916099999999	True	1 Bd de la Corne d'Or, 06230 Villefranche-sur-Mer	gas_station
27	Hyris	ChIJ39UU9r7azRIRm6MmNT6v15g	gas_station|point_of_interest|establishment	43.6951794	7.2832315	True	Quai Lunel, 06300 Nice	gas_station
28	Azur Station Services	ChIJGUiqQxzFzRIRB7DGFhoHKA4	gas_station|car_repair|point_of_interest|establishment	43.7355712	7.3025018	True	103 Bd de l'Ariane, 06300 Nice	gas_station
29	ELAN	ChIJX1z-gsXazRIR05_Jr1TvTuU	gas_station|point_of_interest|establishment	43.7051807	7.3005369	True	94 Cor André de Joly, 06300 Nice	gas_station
30	TOTAL	ChIJ3SZxADrbzRIRcvQYaX8_TQ8	gas_station|point_of_interest|establishment	43.7051759	7.3005406		94 Cor André de Joly, 06300 Nice	gas_station
31	Bmsj	ChIJweT4dtHazRIRG6tvGnpMnEk	gas_station|point_of_interest|establishment	43.7051183	7.3005501		94 Cor André de Joly, 06300 Nice	gas_station
32	TotalEnergies CARNOT NICE	ChIJwTAezsDazRIRW1B66JyUli0	gas_station|point_of_interest|establishment	43.69671410000001	7.288951399999998	True	34 Bd Carnot, 06300 Nice	gas_station
33	Location Vespa	ChIJUYpSzcDazRIRWkBi841Fmi8	gas_station|point_of_interest|establishment	43.69664179999999	7.288933800000001	True	34 Bd Carnot, 06300 Nice	gas_station
34	Terrin	ChIJLbqdYmzQzRIRrWZpxsmZuds	gas_station|point_of_interest|establishment	43.6927204	7.249161600000001		77 Prom. des Anglais, 06000 Nice	gas_station
35	Avia	ChIJLbqdYmzQzRIRU8BI26eHYl4	gas_station|point_of_interest|establishment	43.692431	7.249959599999999	True	77 Prom. des Anglais, 06000 Nice	gas_station
36	STATION BP NICE MAGNAN	ChIJI1E2KUDQzRIRk9I-27pL2J4	gas_station|car_wash|convenience_store|food|point_of_interest|store|establishment	43.6929945	7.2432474	True	31 Av. de Bellet, 06000 Nice	gas_station
37	Ship Service	ChIJ_euPkUvbzRIRXiO7xEjEJCw	gas_station|point_of_interest|establishment	43.6989137	7.3091926	True	Port de, La Darse, 06230 Villefranche-sur-Mer	gas_station
38	MO GARAGE	ChIJkwnQG77RzRIR5dN4Ur5HfSs	gas_station|point_of_interest|establishment	43.6969355	7.222682700000001		92 Chem. de la Madonette de Terron, 06200 Nice	gas_station
39	Access - TotalEnergies	ChIJWceOOlvQzRIRG24UiUCNcAs	gas_station|car_wash|convenience_store|cafe|restaurant|food|point_of_interest|store|establishment	43.685895	7.236438499999999	True	217 Prom. des Anglais, 06200 Nice	gas_station
