	name	place_id	types	geometry.location.lat	geometry.location.lng	opening_hours.open_now	formatted_address	main_type
0	Coiffure Alain	ChIJ3ZxIZVjFzRIRcjP2lxo75OA	hair_care|point_of_interest|establishment	43.7242385	7.266007900000001	True		hair_care
1	Coiffure Florian	ChIJyc5IUPjPzRIRF_4YDoxYypY	hair_care|point_of_interest|establishment	43.7209866	7.2632863	True		hair_care
2	LN COIFFURE	ChIJCaJ--_jPzRIRI2ewZhtdNbw	hair_care|point_of_interest|establishment	43.7197725	7.262941499999999	True		hair_care
3	Rive Droite coiffeur, coloriste alternatif, bio, végétal sur Nice	ChIJz0wAjvnPzRIR3xy4HwJvYg4	hair_care|point_of_interest|establishment	43.7213387	7.260544599999999			hair_care
4	Institut de Beauté Bel'à Vie à Nice	ChIJs3xH7vnPzRIR9Jkj7ais7Z4	beauty_salon|hair_care|spa|point_of_interest|establishment	43.72183949999999	7.260523000000001	False		hair_care
5	Salon Edouard VII	ChIJ_10FRFPFzRIRaYSeE4abciQ	hair_care|point_of_interest|establishment	43.7177237	7.272577500000001	True		hair_care
6	Ann'Esthétique Coiffure	ChIJuVyVyv7PzRIRejIEVLAQnzE	hair_care|point_of_interest|establishment	43.7180815	7.2611135	True		hair_care
7	We coiffure	ChIJ538sPFvFzRIRKWd8WFz-rMw	hair_care|point_of_interest|establishment	43.7249675	7.2745863	False		hair_care
8	institut beauté d'ailleurs	ChIJ1ccGqFXFzRIR0vWqdjOyHcw	beauty_salon|hair_care|spa|point_of_interest|establishment	43.715212	7.267324	True		hair_care
9	By Cathy Coiffure à Cimiez	ChIJGRg7l1PFzRIRglYxOpthLac	hair_care|point_of_interest|establishment	43.7157226	7.271778699999999	True		hair_care
10	BCBG Coiffure	ChIJUQm2n1PFzRIRSWqwSJH0dYw	hair_care|point_of_interest|establishment	43.71566939999999	7.2717977	True		hair_care
11	MB Coiffure	ChIJ7e8e7f7PzRIRbg8mD4uzVg8	hair_care|point_of_interest|establishment	43.71634450000001	7.261275800000001	True		hair_care
12	Sophie coiffure à domicile Nice et les environs	ChIJLfbRVqHFzRIROiRh7wtSk5s	hair_care|point_of_interest|establishment	43.7157476	7.273509300000001	True		hair_care
13	Centre Épilation Laser Nice Villa La Tour	ChIJqcTbFVLFzRIRmeglXbKizKI	beauty_salon|hair_care|health|point_of_interest|establishment	43.71640240000001	7.274782400000001	True		hair_care
14	Searle coiffure	ChIJO2UM7a_FzRIRQocF2puLjmk	hair_care|point_of_interest|establishment	43.7163297	7.2748747	True		hair_care
15	Dr Marie KLIFA-CHOISY - Chirurgien Esthétique	ChIJBcXxgxDQzRIR2Uzlv6gNPsc	beauty_salon|hair_care|doctor|health|point_of_interest|establishment	43.7163352	7.274884800000001	True		hair_care
16	L'atelier de Claudia Nice	ChIJ84PLn1PFzRIRy6z2ZMztbtU	hair_care|point_of_interest|establishment	43.7146488	7.271591700000002	True		hair_care
17	Dduo Coiffure	ChIJeUkJrFzFzRIRXtWCewO2HWg	hair_care|point_of_interest|establishment	43.7262469	7.2758287	True		hair_care
18	Top Coiffure	ChIJ8xl8-_rPzRIRHkAojwlRzRs	hair_care|point_of_interest|establishment	43.7209489	7.256665099999999			hair_care
19	L'Appart	ChIJj5dyTP7PzRIRTFuo3Hmh-lc	hair_care|point_of_interest|establishment	43.7146045	7.262355599999998	True		hair_care
20	Sarah extensions de cheveux / Lissage brésilien / taninoplastie, NICE	ChIJK2MfUP7PzRIRcOBbnl9DBug	hair_care|point_of_interest|establishment	43.7171549	7.2582008	False	24 Rue Puget, 06100 Nice	hair_care
21	Art City	ChIJORF8UPzPzRIR2yFoEwxn9xk	hair_care|point_of_interest|establishment	43.7176443	7.257176899999999	True	8 Bd Gorbella, 06100 Nice	hair_care
23	Nea Coiffure	ChIJDT7KzwbQzRIRyg4sBFqRSLs	hair_care|point_of_interest|establishment	43.7079272	7.2618341		23 Rue de Dijon, 06000 Nice	hair_care
24	Hair Graces	ChIJ_9oatKnazRIRusOFPUnL24Y	hair_care|point_of_interest|store|establishment	43.7059502	7.266926199999999	False	20 Rue Assalit, 06000 Nice	hair_care
