	name	place_id	types	geometry.location.lat	geometry.location.lng	opening_hours.open_now	formatted_address	main_type
0	Basic Metal	ChIJuY8XDvvPzRIRNgwibQzSmb0	hardware_store|point_of_interest|store|establishment	43.7196879	7.255945400000001	True		hardware_store
1	Balitrand Silvy Nice	ChIJdS6KyYXFzRIRBiYdEQqaeCQ	hardware_store|home_goods_store|point_of_interest|store|establishment	43.71298300000001	7.2785202	True		hardware_store
2	Eureka Droguerie Petit	ChIJK_QL3APQzRIRAfUbywhZygM	hardware_store|furniture_store|home_goods_store|point_of_interest|store|establishment	43.7099334	7.2592895	True		hardware_store
3	Betoconcept	ChIJZ3ZY3ALQzRIR8ye3rHiTWz8	hardware_store|point_of_interest|store|establishment	43.7115108	7.255776299999999			hardware_store
4	Comptoir Niçois Outillage Fixation CNOF	ChIJgW2fO0rFzRIRMvQ8bwSlVe0	hardware_store|point_of_interest|store|establishment	43.7158847	7.2851965			hardware_store
5	Boites et Plus	ChIJhbjJjQbQzRIRGZ1ClwolIDk	hardware_store|point_of_interest|store|establishment	43.7065323	7.260981699999999	True		hardware_store
6	Bfsa -nice (0)	ChIJJSt0zzXFzRIR2UhGvgzZfEs	hardware_store|point_of_interest|store|establishment	43.7153542	7.288992599999999	True		hardware_store
7	Piber	ChIJ9QKOtajazRIRms1vV1QPLio	hardware_store|point_of_interest|store|establishment	43.7042556	7.270450400000001	True		hardware_store
8	Bricol Gambetta	ChIJ2cBYGQXQzRIRBpdE0A-2NBw	hardware_store|point_of_interest|store|establishment	43.70606679999999	7.256230599999998	True		hardware_store
9	AMC	ChIJBxAm1AfQzRIRKKsEOXKpzBg	hardware_store|home_goods_store|point_of_interest|store|establishment	43.7036369	7.262911499999999	True		hardware_store
10	Quincaillerie R.E.P.P	ChIJn_9Jp8zazRIRLjEWR_u72Sg	hardware_store|real_estate_agency|point_of_interest|store|establishment	43.7103042	7.2921323	True		hardware_store
11	Entreprendre	ChIJUw71JgnQzRIRNXsL1fIblsI	hardware_store|home_goods_store|point_of_interest|store|establishment	43.70105589999999	7.260782499999999	True		hardware_store
12	Quincaillerie Feraud	ChIJx-43hMnazRIRyGOmCUl1HKo	hardware_store|point_of_interest|store|establishment	43.70628199999999	7.289098699999999			hardware_store
