	name	place_id	types	geometry.location.lat	geometry.location.lng	opening_hours.open_now	formatted_address	main_type
0	Renova Pressing	ChIJIYqXGfnPzRIRclIzyomTwgY	laundry|point_of_interest|establishment	43.71933159999999	7.262040300000001			laundry
1	Pressing le lagon bleu pressing d d'excellence le pressing gay de nice	ChIJ2YESpVnPzRIRgeQ57vSZzxI	laundry|point_of_interest|establishment	43.7188739	7.2615349	True		laundry
2	Pressing de Cimiez	ChIJUQm2n1PFzRIRQeeHYNB0_xA	laundry|point_of_interest|establishment	43.7157226	7.271778699999999	True		laundry
3	Laverie Concept	ChIJl6fJVP7PzRIRFFdkQm4oix0	laundry|point_of_interest|establishment	43.7149831	7.262693899999999	True		laundry
4	Laverie automatique LM La Laverie	ChIJuUQ8NnLPzRIRpv9hnQsqQ3k	laundry|point_of_interest|establishment	43.7149313	7.262630699999998	True		laundry
5	Pressing Gorbella	ChIJZbYVFPvPzRIRpEA5d5E2L8o	laundry|point_of_interest|establishment	43.7197086	7.256197399999999			laundry
6	Athos	ChIJudL3DfvPzRIR7pYAvE6-BZI	laundry|point_of_interest|establishment	43.7196639	7.256140800000002			laundry
7	Ma Laverie	ChIJraRNgvzPzRIRANtcmEsToC8	laundry|point_of_interest|establishment	43.71809330000001	7.2567003			laundry
8	LAVERIE NICE GORBELLA LAUNDROMAT	ChIJ4dcPg_zPzRIRmeotbxLW4G8	laundry|point_of_interest|establishment	43.7180605	7.256646500000001	True		laundry
9	Pressing du Ray	ChIJBQLxrPHPzRIR1YncUzZyLw0	laundry|point_of_interest|establishment	43.7255008	7.256825099999999	True		laundry
10	Laverie	ChIJWS_9UXfPzRIRzk-GA9PP-gE	laundry|point_of_interest|establishment	43.7261178	7.256593099999999			laundry
11	Pressing Saint Barthelemy	ChIJfQCk-fzPzRIRh32f2lNkYko	laundry|point_of_interest|establishment	43.71639930000001	7.256719899999998	True		laundry
12	Magnolia	ChIJddVuNvvPzRIRcxjmFYXu5aQ	laundry|point_of_interest|establishment	43.7196839	7.254763600000001			laundry
13	Laverie automatique	ChIJ6_KqwfzPzRIRgKCuwfrR2Rw	laundry|point_of_interest|establishment	43.71711689999999	7.255486100000001	True		laundry
14	La Lombarde	ChIJByDNT4kozBIRsU27ns2_KEI	laundry|general_contractor|point_of_interest|establishment	43.7223879	7.253807399999998	True		laundry
