	name	place_id	types	geometry.location.lat	geometry.location.lng	opening_hours.open_now	formatted_address	main_type
0	Residence Santa Barbara	ChIJ2W0LoFfFzRIR3hrhXuKjQnI	lodging|point_of_interest|establishment	43.72125519999999	7.268381600000001			lodging
1	Le Clos Cimiez	ChIJlZXjV5jFzRIRFIrcxtoUFwo	lodging|point_of_interest|establishment	43.7224068	7.270508100000001			lodging
2	HAPPYFEW LES LILAS	ChIJy9C9OdTPzRIRPLEQP5A9iio	lodging|point_of_interest|establishment	43.7204181	7.264724500000002			lodging
3	University Residence Montebello	ChIJyXIzX1XFzRIRZ8Q53fCXkJM	lodging|point_of_interest|establishment	43.718144	7.2678744	True		lodging
4	Bounin	ChIJZ7qUBPnPzRIRHc9fvVdfYPM	lodging|point_of_interest|establishment	43.71977999999999	7.262170000000001			lodging
5	Les Floralies A	ChIJE05CO1PFzRIRXXvKEH8LeG0	lodging|point_of_interest|establishment	43.71831929999999	7.271608			lodging
6	Villa rose	ChIJ_3RM8GXPzRIR9izWsWzdflg	lodging|point_of_interest|establishment	43.72063789999999	7.261427200000001			lodging
7	Cimiez	ChIJNY6WvIHFzRIRdv3RwhSzc9c	lodging|point_of_interest|establishment	43.72100349999999	7.273685299999999			lodging
8	Résidence universitaire Alvéole	ChIJL0s3Xv_PzRIRfm3KRGKEt4A	lodging|university|point_of_interest|establishment	43.71672459999999	7.265213300000001			lodging
9	Immeuble les Terrasses	ChIJSSdeWZvFzRIR5jG2vjz4kcI	lodging|point_of_interest|establishment	43.727017	7.2680288			lodging
10	Zip	ChIJZ323nubPzRIRwRtwO4lpmBE	lodging|point_of_interest|establishment	43.71866240000001	7.261165900000001			lodging
11	bv cimiez	ChIJ0fEEx0nFzRIRBo1mA1ijajI	lodging|point_of_interest|establishment	43.7168954	7.271685600000001			lodging
12	Chez val Peluso	ChIJ5zgl9HjPzRIRnrj7ZG9jL-I	lodging|point_of_interest|establishment	43.7256057	7.261956900000002			lodging
13	Tradotel Riviéra	ChIJSZjYulHFzRIR8z86sdm8xsM	lodging|point_of_interest|establishment	43.7187737	7.274574800000001			lodging
14	Palais Ferdinand	ChIJX90ZLPrPzRIRI9LmykcInE0	lodging|point_of_interest|establishment	43.7207192	7.2594857			lodging
15	Parking	ChIJbW3vUVDPzRIRy-H0RjiBxp8	lodging|point_of_interest|establishment	43.71696489999999	7.262463499999999			lodging
16	Chalet CROUS	ChIJpzpbCR7FzRIRjRkIOtmlcOQ	lodging|point_of_interest|establishment	43.7157531	7.266116599999999	True		lodging
17	Résidences Fleuries	ChIJ5dJIlKbPzRIRbcX3GyS4hLw	lodging|point_of_interest|establishment	43.7267875	7.262302199999998			lodging
18	Villa Victoria	ChIJN0b6P1vFzRIRoDPPOjrqoik	lodging|point_of_interest|establishment	43.72541700000001	7.2747617			lodging
19	Résidence De L'avenue	ChIJhe8uuf7PzRIRJY27o5WtzHo	lodging|point_of_interest|establishment	43.7170754	7.261043899999999			lodging
20	Hôtel Monsigny	ChIJq4TyOgfQzRIRa6UZOXdMO1Y	lodging|point_of_interest|establishment	43.7078323	7.263022399999999	True	17 Av. Malaussena, 06000 Nice	lodging
