	name	place_id	types	geometry.location.lat	geometry.location.lng	opening_hours.open_now	price_level	formatted_address	main_type
0	cez lucile	ChIJc56wFqvazRIRs-vUH70Hkko	night_club|point_of_interest|establishment	43.711306	7.2690678				night_club
1	Diapason	ChIJBWBNyDjRzRIRjI1EnYo5_qc	night_club|point_of_interest|establishment	43.7101728	7.261953200000002				night_club
2	Événements Riviera	ChIJt1oi5rjazRIRot-3Hl-wyic	night_club|bar|point_of_interest|establishment	43.7113885	7.2826546	True			night_club
3	The Vault Nice	ChIJ40fdrgnRzRIRMrzzjgpRTys	night_club|bar|point_of_interest|establishment	43.7066127	7.264885399999999				night_club
5	Alexas Puff Bude	ChIJnU_jXpvbzRIR_achY9czMRE	night_club|point_of_interest|establishment	43.7053592	7.268707699999998				night_club
6	House From Ibiza	ChIJs8AGlqjazRIRcvOGIxxlorE	night_club|point_of_interest|establishment	43.7038076	7.268868300000002				night_club
7	La Cave Romagnan	ChIJIZElIR3QzRIRojP-Oh3rMjY	night_club|bar|point_of_interest|establishment	43.70375809999999	7.2646235	True	1.0		night_club
8	Game Box karaoké chez maison Jin	ChIJv7WPHC7RzRIRsWoIBMlXUz8	night_club|bar|point_of_interest|establishment	43.7039638	7.2616638	False			night_club
9	LE PALACE	ChIJz7uxUQ7bzRIRG6qAdRkYHj0	night_club|bar|liquor_store|food|point_of_interest|store|establishment	43.7075713	7.284142600000001	False			night_club
10	Club des Coulisses	ChIJhxEAG6TazRIR81X4k4W8KyE	night_club|bar|point_of_interest|establishment	43.7031489	7.264352	False			night_club
11	Le Swing	ChIJK3rOpLrazRIR9mkZD3cII3o	night_club|bar|point_of_interest|establishment	43.70208179999999	7.276969800000001	False			night_club
12	Club Le 7	ChIJhxK5p6XazRIRpKdgLgeLN3g	night_club|bar|point_of_interest|establishment	43.7010751	7.2731676	False			night_club
13	Sylvie BOITARD	ChIJD3yXLMrazRIRoMmTS1cGHXM	night_club|point_of_interest|establishment	43.7069639	7.289469899999999				night_club
14	Le Consulat Dinner-Club	ChIJ8WrcmAnQzRIRNL2l7UQeFMQ	restaurant|night_club|bar|food|point_of_interest|establishment	43.6997411	7.263433699999998		3.0		night_club
15	Yolo Wine Bar	ChIJr7jpO6fazRIRpp6IOR5rSwo	night_club|bar|restaurant|food|point_of_interest|establishment	43.6993006	7.2666615	False			night_club
16	Restaurant Vogue d'Asie	ChIJq6quUKfazRIROX_JL1TjWwk	night_club|bar|restaurant|food|point_of_interest|establishment	43.69918899999999	7.265644099999999	False	2.0		night_club
17	My House	ChIJ7_LyC5DbzRIRhUgkE3nALUA	night_club|bar|point_of_interest|establishment	43.6990126	7.270149799999999	True			night_club
18	Maze Club	ChIJh2lKcqfbzRIR_OH0x7GimUo	night_club|point_of_interest|establishment	43.699001	7.271182599999999	False			night_club
19	L’Oméga Club	ChIJV2lqVYfbzRIRaKpWZWCFD6A	night_club|point_of_interest|establishment	43.6983735	7.268637399999999	False			night_club
20	OPERA CLUB NICE	ChIJgd35vzTbzRIRf_DL678U2w4	night_club|point_of_interest|establishment	43.6969786	7.273041699999998	False		2 Rue de la Préfecture, 06300 Nice	night_club
21	Le Klubber	ChIJhaYtpLzazRIRJLnCmNI4MCc	night_club|bar|point_of_interest|establishment	43.697567	7.276898000000001	False		14 Rue Benoît Bunico, 06300 Nice	night_club
22	Manhattan New Bar tapas	ChIJN3Spo7zazRIR-8ugMGzlHoo	night_club|bar|point_of_interest|establishment	43.6974361	7.277231			19 Rue Droite, 06300 Nice	night_club
23	Le Bulldog Pub Pompeï	ChIJTYswNqPazRIRg0OJfaLdKHg	night_club|bar|point_of_interest|establishment	43.6967924	7.2756605	False	2.0	16 Rue de l'Abbaye, 06300 Nice	night_club
24	Le Six	ChIJ13OVrqPazRIRiHF2JmTds04	night_club|bar|point_of_interest|establishment	43.696091	7.272949	False	2.0	6 Rue Raoul Bosio, 06300 Nice	night_club
25	Cabaret Boa	ChIJNQl-ggrQzRIRhJ1UH4e5gfs	night_club|bar|point_of_interest|establishment	43.6957466	7.2656966	False		3 Rue Gabriel Fauré, 06000 Nice	night_club
26	Au Son Des Guitares	ChIJsYlnZQvQzRIRkN21sxpHj_U	night_club|point_of_interest|establishment	43.6959465	7.260247000000001	False		36 Rue de France, 06000 Nice	night_club
27	Home Studio Club	ChIJqf0OhqHazRIRDAbPiN_Dfbc	night_club|point_of_interest|establishment	43.6953771	7.270373200000001			2 Rue Bréa, 06300 Nice	night_club
28	Kwartz Club	ChIJydhWj6HazRIR8AuJgCTWpQQ	night_club|point_of_interest|establishment	43.695362	7.2703548	False		2 Rue Bréa, 06300 Nice	night_club
