	name	place_id	types	geometry.location.lat	geometry.location.lng	opening_hours.open_now	formatted_address	main_type
0	Rossignol plomberie	ChIJz1_XsGHFzRIR5FYDCPxbJXY	plumber|point_of_interest|establishment	43.7255574	7.2665081	True		plumber
1	Dozol Alain	ChIJbUJh0vjPzRIRAkBdHQIZ17E	plumber|point_of_interest|establishment	43.7181092	7.2633051			plumber
2	LA PLOMBIERE	ChIJZ1UHZPvFzRIR7qtmxenUoGE	plumber|general_contractor|point_of_interest|establishment	43.726197	7.266687399999999	True		plumber
3	VIA DEL COMMERCIO GIANO DEL UMBRIA	ChIJy0HR31vPzRIRDEOAqnMCKpw	painter|electrician|locksmith|plumber|roofing_contractor|general_contractor|point_of_interest|establishment	43.7175258	7.2623333	True		plumber
4	Plomberie David-gaillard Cyrille	ChIJWa1eJfvPzRIRpAPUxWqBTEM	plumber|point_of_interest|establishment	43.7177995	7.261854099999999	True		plumber
5	Sarl MJ Plomberie	ChIJP581f1XFzRIRXJ2l7XdBqi0	plumber|point_of_interest|establishment	43.7152213	7.265611400000001			plumber
6	AZUR SD PLOMBERIE	ChIJv3hHxDPFzRIRLcdHS3R01nw	plumber|point_of_interest|establishment	43.7170364	7.274670099999999	True		plumber
7	Azur Service 06	ChIJt4oifuDbzRIRYDWayr-oKyM	plumber|electrician|locksmith|general_contractor|point_of_interest|store|establishment	43.72689140000001	7.273658299999999	True		plumber
8	Teisseire Gerard	ChIJP-csXl_FzRIRD5skcJCuUGQ	plumber|point_of_interest|establishment	43.72839	7.265460000000001			plumber
9	energethic	ChIJVVXB1-t06UcRS_cFDNbfx8c	plumber|point_of_interest|establishment	43.7204695	7.257828899999999			plumber
10	Sarl P.l.b.	ChIJjVYWU_7PzRIR1Ze2N-p1e3A	plumber|point_of_interest|establishment	43.7151356	7.2626386			plumber
11	MRCB	ChIJjTTqmqrPzRIRd9tvkjT8Cys	painter|plumber|general_contractor|point_of_interest|establishment	43.72131939999999	7.256680299999998	True		plumber
12	Nissart Plomberie	ChIJrap2r0TFzRIRjVZZcVgzLiQ	plumber|point_of_interest|establishment	43.7260814	7.276687399999999			plumber
13	SARL ENTREPRISE GAILLEURD	ChIJvzPuKcbPzRIRxPtTV24OWQE	plumber|general_contractor|point_of_interest|establishment	43.7136864	7.2649276	True		plumber
14	Gailleurd Michel	ChIJZ8wi8f_PzRIRMfh3EhLuKxY	plumber|point_of_interest|establishment	43.7136864	7.2649276	True		plumber
15	Pro Azur	ChIJNbxAivnPzRIRWW2JDPLkMi0	plumber|general_contractor|point_of_interest|establishment	43.71515600000001	7.260270599999998	True		plumber
16	Dragota Ion-Daniel	ChIJU62aQvzPzRIRCPi6fFlltRI	plumber|point_of_interest|establishment	43.7168649	7.257994900000001			plumber
17	System'Gaz	ChIJIzBhLPzPzRIRpJ0RhfEN6Rk	plumber|general_contractor|point_of_interest|establishment	43.7157256	7.2592868	True		plumber
18	HERCEG J.D.O.O	ChIJcyElp6zFzRIRkmHV08szCo4	electrician|plumber|general_contractor|point_of_interest|establishment	43.7129075	7.266339500000001	True		plumber
19	SARL TGR + Entreprise de Travaux de Rénovation Tous corps d'état, pour Rénover votre Appartement, Maison, Studio, Local Commercial - Peinture - Menuiserie Aluminium - Cuisine sur-mesure - Salle de bain - Aménagement PMR à Nice et Côte d'Azur.	ChIJl36EQf7PzRIREB5VumfShks	painter|electrician|plumber|furniture_store|home_goods_store|general_contractor|point_of_interest|store|establishment	43.7141521	7.261034000000001	True		plumber
