	name	place_id	types	geometry.location.lat	geometry.location.lng	opening_hours.open_now	price_level	formatted_address	main_type
0	Huband House B&B	ChIJZ3FmTLQwXUgRPjgNhpTAGXc	lodging|point_of_interest|establishment	53.3370968	-6.241853499999999				lodging
1	The Plantation	ChIJN56FkIYPZ0gRVEAG3wIjGZs	lodging|point_of_interest|establishment	53.3358231	-6.2456867				lodging
2	The Draper Rooms	ChIJwazCTJQOZ0gRv1tIN7kfk_4	lodging|point_of_interest|establishment	53.33838049999999	-6.243148				lodging
3	Apartments by Germe	ChIJtUJrgJYOZ0gRdiJEL-1FNiY	lodging|point_of_interest|establishment	53.33819519999999	-6.2457009				lodging
4	Upcell Technologies Ltd.	ChIJ1TYwHpYOZ0gRKdcpuejHyB0	lodging|point_of_interest|establishment	53.3354284	-6.2464455	False			lodging
5	Mercer Accommodation Group	ChIJNWou8b0OZ0gRBBC_Q6Bo_dM	lodging|point_of_interest|establishment	53.3350387	-6.2460022				lodging
6	18-21 Mount Street Lower	ChIJVZmea0UPZ0gRkkOdxNC0-rg	lodging|point_of_interest|establishment	53.3388476	-6.2444058				lodging
7	Apartment 3, Ashford House	ChIJZyVK0NsPZ0gRCJlybCFfYhU	lodging|point_of_interest|establishment	53.33876619999999	-6.2421169				lodging
8	1 Grattan Street	ChIJK1oKDwkPZ0gRIB_XR5w7h8I	real_estate_agency|lodging|point_of_interest|establishment	53.33902759999999	-6.2441802				lodging
9	The Murphy Gallery & Hotel.	ChIJh99L870OZ0gRpYYG0RHmU28	lodging|point_of_interest|establishment	53.3349674	-6.246575999999999				lodging
10	Baggot Court Townhouse	ChIJaQ06iL0OZ0gRFfI3Nl5gJP8	lodging|point_of_interest|establishment	53.335379	-6.247208000000001	True			lodging
11	Schoolhouse Hotel	ChIJh2PvPZUOZ0gRDvuWhYXEceU	lodging|bar|restaurant|food|point_of_interest|establishment	53.3374182	-6.2394994				lodging
12	Horwath HTL	ChIJQaM4IJUOZ0gR6pF7h_XDrSA	lodging|travel_agency|point_of_interest|establishment	53.3383069	-6.2402387				lodging
13	Latchfords Townhouse of Baggot Street	ChIJB49CL5YOZ0gRAaVCTtrFBbI	lodging|point_of_interest|establishment	53.3356753	-6.247722800000001	False			lodging
14	Darkhorse	ChIJVdG4WJUOZ0gRedA_xikDMUs	lodging|point_of_interest|establishment	53.33583410000001	-6.239257100000001				lodging
15	Bagod Rath	ChIJeT7ChX8PZ0gR34ffvSs-lbY	lodging|point_of_interest|establishment	53.33509040000001	-6.247735				lodging
16	Click Offices - Serviced Office Space Dublin & London	ChIJvdXJepYOZ0gRz4Yoim30UWE	finance|real_estate_agency|lodging|point_of_interest|establishment	53.3394412	-6.2454105	True			lodging
17	Dylan	ChIJk8UEW74OZ0gRLhYvFRJbu88	lodging|bar|restaurant|food|point_of_interest|establishment	53.3338092	-6.242007900000001	True	3.0		lodging
18	Georgian Townhouse Group	ChIJH10SypcOZ0gRLjETa9B0b2g	lodging|point_of_interest|establishment	53.3363641	-6.2486651	False			lodging
19	Baggot Bridge Court Apartments	ChIJK1TpoS8PZ0gRvRaZqb4gyds	lodging|point_of_interest|establishment	53.3348573	-6.2478037				lodging
20	Fitzwilliam Townhouse	ChIJkxLWtZcOZ0gRWPs0d7-P7pY	lodging|point_of_interest|establishment	53.3365369	-6.2489916	True		41 Fitzwilliam Street Upper, Dublin 2, D02 PW71	lodging
21	Mespil Hotel	ChIJOfLeur0OZ0gRIJva0UTWaAQ	lodging|bar|restaurant|food|point_of_interest|establishment	53.3333095	-6.246362599999999	True		50-60 Mespil Rd, Dublin 4, D04 E7N2	lodging
22	Roxford Lodge Hotel	ChIJISEwBMAOZ0gRzPPOJSpmONY	lodging|point_of_interest|establishment	53.3354071	-6.237136			46 Northumberland Rd, Dublin 4, D04 V303	lodging
23	Lansdowne Hotel	ChIJo5x0_L4OZ0gR-tfVX55S0mA	lodging|point_of_interest|establishment	53.3321909	-6.2412848			27 -29 Pembroke Rd, Dublin 4, D04 X5W9	lodging
24	Pembroke Hall	ChIJn2B_cr8OZ0gRDq89DJbUUxY	lodging|point_of_interest|establishment	53.3326076	-6.2386288	True		76 Pembroke Rd, Ballsbridge, Dublin 4, D04 PY89	lodging
25	Waterloo House	ChIJYZliH7wOZ0gRmf0wCX9JdEk	lodging|point_of_interest|establishment	53.33156460000001	-6.243579800000001			10 Waterloo Rd, Dublin 4, D04 T651	lodging
26	Pembroke Townhouse Dublin	ChIJXx-vL5mEREgRI01b8tvih0E	lodging|restaurant|food|point_of_interest|establishment	53.332506	-6.2379734			88 Pembroke Rd, Dublin, D04 TF72	lodging
27	The Alex Hotel Dublin	ChIJk3HWIpEOZ0gRWo1hVs9HRG4	lodging|bar|restaurant|food|point_of_interest|establishment	53.3418512	-6.249085399999999	True		41-47 Fenian St, Dublin, D02 H678	lodging
28	Number 31	ChIJhWt866IOZ0gR-K1JFrfaRuM	lodging|point_of_interest|establishment	53.33337849999999	-6.2536144	True		31 Leeson Cl, Dublin 2, D02 CP70	lodging
29	House Hotel Dublin	ChIJ3Xh_YqIOZ0gRPhmqdhV5G3g	lodging|point_of_interest|establishment	53.334061	-6.255139			26/27 Leeson Street Lower, St Kevins, Dublin, D02 V306	lodging
30	Leeson Inn Downtown	ChIJhVJ1iKIOZ0gREy8wvNO2X6A	lodging|point_of_interest|establishment	53.3341966	-6.2552815			24 Leeson Street Lower, Saint Kevin's, Dublin, D02 FX08	lodging
31	The Marker Hotel Dublin	ChIJsbnbJO0OZ0gRbVR0sIEnLCE	lodging|point_of_interest|establishment	53.3444341	-6.2390208	True		Grand Canal Quay, Dublin Docklands, Dublin, D02 CK38	lodging
32	Buswells Hotel	ChIJzdlHJJoOZ0gRSAHBJlhQo28	lodging|bar|restaurant|food|point_of_interest|establishment	53.3407802	-6.2557572	True		23-27 Molesworth St, Dublin 2, D02 CT80	lodging
33	Clayton Hotel Cardiff Lane	ChIJW3w3rZIOZ0gR4D9euQY_yrw	lodging|point_of_interest|establishment	53.345205	-6.240769299999999	True		Sir John Rogerson's Quay, Dublin Docklands, Dublin, D02 YT21	lodging
34	Trinity Townhouse Hotel	ChIJvxVtTJoOZ0gRaoNDiTrL4A8	lodging|point_of_interest|establishment	53.34196240000001	-6.256447199999999	True		29 Frederick St S, Dublin, D02 XD71	lodging
35	The Wilder Townhouse	ChIJy5hdPXAPZ0gRVyQtj5ecTW8	lodging|point_of_interest|establishment	53.3324546	-6.2576379	True		22 Adelaide Rd, Saint Kevin's, Dublin 2, D02 ET61	lodging
36	Stauntons on the Green	ChIJY_84Mp8OZ0gReySfJlhEp8k	lodging|point_of_interest|establishment	53.336606	-6.259615000000001			83 St Stephen's Green, ,, Dublin 2, D02 HD86	lodging
37	Oaklodge Bed and Breakfast	ChIJD4fev8AOZ0gRLwU4qditGSs	lodging|point_of_interest|establishment	53.3271784	-6.2402828			4 Pembroke Park, Dublin, D04 P867	lodging
38	Hampton Hotel	ChIJjUJ_QuRpW0gR-txFBA5w_yU	night_club|lodging|point_of_interest|establishment	53.3259732	-6.2428854			19-29 Morehampton Rd, Ranelagh, Donnybrook, Co. Dublin, D04 Y6K4	lodging
39	Hilton Dublin	ChIJu0ezbqEOZ0gRTpk1R49Zkls	lodging|point_of_interest|establishment	53.33102530000001	-6.2592019			Charlemont Pl, Saint Kevin's, Dublin, D02 A893	lodging
40	The Mont Hotel	ChIJJ65VLDoPZ0gRsiY_paOiFXM	lodging|bar|restaurant|food|gym|health|point_of_interest|establishment	53.3415078	-6.2507059	True		1-4 Merrion Street Lower, Dublin, D02 H525	lodging
41	Maldron Hotel Pearse Street	ChIJT8-5qJMOZ0gR8iaUXa9uwUE	lodging|bar|restaurant|food|point_of_interest|establishment	53.3431924	-6.2433998	True		98-107 Pearse St, Grand Canal Dock, Dublin, D02 RK37	lodging
42	Clayton Hotel Burlington Road	ChIJSSljmLwOZ0gRaC2ayOrrGp0	lodging|point_of_interest|establishment	53.33067	-6.2487565	True		Leeson Street Upper, Dublin, D04 A318	lodging
43	Ballsbridge Hotel	ChIJjW_gw8AOZ0gRfF6L8WrY290	lodging|bar|restaurant|food|point_of_interest|establishment	53.33223109999999	-6.2343714	True		Pembroke Rd, Ballsbridge, Dublin 4, D04 D687	lodging
44	Butlers Townhouse	ChIJJ4SHmMEOZ0gRuhRy8plkOzU	lodging|point_of_interest|establishment	53.3340482	-6.2322744			44 Lansdowne Rd, Dublin 4, D04 RY96	lodging
