	name	place_id	types	geometry.location.lat	geometry.location.lng	opening_hours.open_now	price_level	formatted_address	main_type
0	The Sugar Club	ChIJWQQVlJgOZ0gRmQ6XgMFugVA	night_club|point_of_interest|establishment	53.33550069999999	-6.256643199999999	True			night_club
1	Lemuel's	ChIJvaVwppgOZ0gRNW3SVPjd6Lo	night_club|bar|point_of_interest|establishment	53.3349508	-6.257609699999998	True			night_club
2	Xico	ChIJJaxy1ZkOZ0gRtHrmH0jiAsE	night_club|bar|restaurant|food|point_of_interest|establishment	53.3378354	-6.2527011	False	2.0		night_club
3	The Lord Mayor's Lounge	ChIJwamzCpkOZ0gRFp2gON9n4Ns	night_club|bar|point_of_interest|establishment	53.33907439999999	-6.25629	True			night_club
4	No. 27 The Shelbourne Bar	ChIJwamzCpkOZ0gRpMSA6KpPiuc	night_club|bar|restaurant|food|point_of_interest|establishment	53.3390947	-6.256275200000001	True			night_club
5	NOSTROMO: Private Party & Corporate Event Entertainment Venue in Dublin.	ChIJS9maYqIOZ0gRqBhR5_PBNfY	night_club|bar|food|point_of_interest|establishment	53.3340678	-6.2551656	True			night_club
9	Twenty Two Night Club	ChIJ7Zch75sOZ0gRLm6iEv_WAXs	night_club|bar|point_of_interest|establishment	53.34096650000001	-6.2590541		2.0		night_club
12	D Two	ChIJvbuxKKAOZ0gRNFN3k1Wi0Gw	night_club|bar|point_of_interest|establishment	53.3343886	-6.262885	True	2.0		night_club
13	Copper Face Jacks	ChIJk5B5mp8OZ0gR47yxFK37Ybg	bar|night_club|point_of_interest|establishment	53.3353453	-6.2635988	False	2.0		night_club
14	Everleigh	ChIJ3V2nj58OZ0gRV4qMtS38jeM	night_club|point_of_interest|establishment	53.33518099999999	-6.263559899999999	False	2.0		night_club
16	Hang Dai Chinese	ChIJ8wGW758OZ0gRqy4FE_MrUvw	night_club|meal_takeaway|bar|restaurant|food|point_of_interest|establishment	53.3351982	-6.264931399999999	True	2.0		night_club
17	Opium	ChIJo-AK0Z8OZ0gRPRsrzYcwgiU	night_club|restaurant|food|point_of_interest|establishment	53.3366763	-6.2657137	True	2.0		night_club
18	Whelan's	ChIJeVe40Z8OZ0gRWQrpG0YiJXA	night_club|bar|point_of_interest|establishment	53.33658	-6.265715000000002	True			night_club
21	Ukiyo Lounge	ChIJS9izx6oPZ0gRRz4CPGcAGHM	night_club|point_of_interest|establishment	53.3433687	-6.2636122	True		Dame Ct, Dublin	night_club
23	Rí-Rá	ChIJDSef55wOZ0gRckNt5To_AjI	night_club|point_of_interest|establishment	53.3438763	-6.2637711			2 Dame Ct, Dublin	night_club
25	The George	ChIJ_8isAPULZ0gRfC-Ciqzqcxc	night_club|bar|point_of_interest|establishment	53.343743	-6.2646836	True	2.0	89 South Great George's Street, Dublin 2, D02 R220	night_club
26	Havana Nightclub	ChIJJQalxJwOZ0gRTC9aLwtwGVk	night_club|point_of_interest|establishment	53.34433019999999	-6.263612999999999			46 - 49 Dame St, Temple Bar, Dublin, D02 X466	night_club
27	Club M	ChIJPVjtrJwOZ0gRBEI_lVEUBwI	night_club|point_of_interest|establishment	53.3448285	-6.2622021	False	2.0	Cope St, Temple Bar, Dublin 2	night_club
31	Temple Bar Emporium Casino and Lapdancing club	ChIJYSDSRZ0OZ0gRQHcY4NVvvXo	night_club|point_of_interest|establishment	53.3442733	-6.2667913	False		20 Crane Ln, Temple Bar, Dublin, D02 CH24	night_club
33	Bad Bobs Temple Bar	ChIJnUe-NZ0OZ0gRcURhnZCniJE	night_club|bar|restaurant|food|point_of_interest|establishment	53.3450924	-6.265879399999999	True	2.0	35-37 Essex St E, Temple Bar, Dublin 2, D02 Y891	night_club
36	Boardwalk Nightclub @ The Arlington Hotel Dublin	ChIJez8FkYQOZ0gRrHenNXSCbU8	night_club|point_of_interest|establishment	53.3473416	-6.2606478			23-25 Bachelors Walk, North City, Dublin, D01 E8P4	night_club
37	The Grand Social	ChIJgzxUFYMOZ0gRahqesNCyL9M	night_club|bar|point_of_interest|establishment	53.3469012	-6.2634767	True	2.0	35 Liffey St. Lower, North City, Dublin 1, D01 C3N0	night_club
39	Yamamori Tengu	ChIJJQpBEYMOZ0gRd00Gmjf4lN8	night_club|bar|point_of_interest|establishment	53.3470713	-6.2638427	True	2.0	37 Strand Street Great, North City, Dublin 1, D01 TR20	night_club
41	The Button Factory	ChIJp_CB1pwOZ0gRxcFX0Egkqd8	night_club|cafe|food|point_of_interest|establishment	53.3449334	-6.2645228			Curved St, Temple Bar, Dublin	night_club
42	O'Reilly's	ChIJ3wjf8I8OZ0gR5tvtJlkau4c	night_club|bar|restaurant|food|point_of_interest|establishment	53.3469956	-6.2541858	True	1.0	Tara Street Station, Poolbeg St, Dublin 2	night_club
44	The Liquor Rooms	ChIJY-HBs4IOZ0gR8Tzb0TWJx90	night_club|bar|point_of_interest|establishment	53.3453683	-6.2668329	True	2.0	6-8 Wellington Quay, Temple Bar, Dublin, D02 HT44	night_club
45	QG supermavs	ChIJg8I7Tj8PZ0gRwbiJn-294-o	night_club|point_of_interest|establishment	53.3482127	-6.2599514			1 Middle Abbey St, North City, Dublin	night_club
