	name	place_id	types	geometry.location.lat	geometry.location.lng	price_level	opening_hours.open_now	formatted_address	main_type
0	BrainBoost Ltd.	ChIJCwJJOW0PZ0gRVudWgyR6Qxo	pharmacy|supermarket|grocery_or_supermarket|church|place_of_worship|food|health|point_of_interest|store|establishment	53.3349151	-6.254239399999999				supermarket
1	Tesco Express	ChIJhS13gpcOZ0gRhpCkDrzCYos	supermarket|convenience_store|grocery_or_supermarket|food|point_of_interest|store|establishment	53.3379528	-6.2517327	1.0	False		supermarket
2	Londis Grafton Street	ChIJHZotApwOZ0gRzJ-qN_8FmrI	supermarket|grocery_or_supermarket|food|point_of_interest|store|establishment	53.34021869999999	-6.260590799999999	2.0	True		supermarket
3	justgrocerys	ChIJh3OF_uhzZ0gRx-FOtxfGljY	supermarket|grocery_or_supermarket|food|point_of_interest|store|establishment	53.332598	-6.2596234		True		supermarket
4	Dunnes Stores	ChIJ6zHtjzoMZ0gRa02otqbUo6Q	department_store|supermarket|grocery_or_supermarket|cafe|food|point_of_interest|clothing_store|store|establishment	53.3400719	-6.263209799999998		False		supermarket
5	Marks and Spencer	ChIJERvGmpsOZ0gR2DQz5W_YgYw	supermarket|department_store|convenience_store|grocery_or_supermarket|food|point_of_interest|clothing_store|store|establishment	53.3422196	-6.2594935	2.0	False		supermarket
6	Tesco Express	ChIJn-cMA6AOZ0gRP8VfkPTsn2k	supermarket|convenience_store|grocery_or_supermarket|food|point_of_interest|store|establishment	53.334115	-6.265002700000001	1.0	False		supermarket
7	Tesco Express	ChIJq3OvJp4OZ0gR-cS9scQctHE	supermarket|convenience_store|grocery_or_supermarket|food|point_of_interest|store|establishment	53.3380502	-6.266198200000001	1.0	False		supermarket
8	Spar	ChIJ3w4AcaAOZ0gRhsVJChFr2bE	supermarket|grocery_or_supermarket|food|point_of_interest|store|establishment	53.33247069999999	-6.2646142	1.0	True		supermarket
9	Spar	ChIJxb8sTqMOZ0gRB75m9HULbto	supermarket|grocery_or_supermarket|food|point_of_interest|store|establishment	53.3304053	-6.2514809	1.0	True		supermarket
10	Lidl	ChIJ3RhgIBEPZ0gRNqLkqj3twmg	grocery_or_supermarket|supermarket|food|point_of_interest|store|establishment	53.340797	-6.2659115		True		supermarket
11	Dunnes Stores	ChIJOUo5_pwOZ0gRibZN5AxpImw	grocery_or_supermarket|supermarket|food|point_of_interest|store|establishment	53.3429748	-6.263694500000001		True		supermarket
12	Tesco Metro	ChIJLbFrZb4OZ0gRNape4aCAlJw	supermarket|convenience_store|grocery_or_supermarket|food|point_of_interest|store|establishment	53.3335004	-6.243544099999999	1.0	True		supermarket
13	Tesco Express	ChIJJ5CUopwOZ0gRc8XUJDFf8jQ	supermarket|convenience_store|grocery_or_supermarket|food|point_of_interest|store|establishment	53.3441575	-6.261749600000001	1.0	False		supermarket
14	Tesco Express	ChIJscMm1ZMOZ0gRyqs3vqYkDu0	supermarket|convenience_store|grocery_or_supermarket|food|point_of_interest|store|establishment	53.3434395	-6.246670000000001	1.0	False		supermarket
15	Venemarket Ireland	ChIJ1fOze8sNZ0gRayYSuFx76oA	supermarket|grocery_or_supermarket|food|point_of_interest|store|establishment	53.344566	-6.263692		False		supermarket
16	Tesco Express	ChIJqyBus4QOZ0gRLuu_eTQNEaU	supermarket|convenience_store|grocery_or_supermarket|food|point_of_interest|store|establishment	53.3456365	-6.2602235	1.0	True		supermarket
17	Spar Patrick Street	ChIJr-MRSyEMZ0gRb7CzZLpMk-M	supermarket|grocery_or_supermarket|food|point_of_interest|store|establishment	53.3390395	-6.272267399999999	1.0	True		supermarket
18	SuperValu Aston Quay	ChIJWe1KDYUPZ0gRg6WT84RQNxE	supermarket|bakery|grocery_or_supermarket|liquor_store|food|point_of_interest|store|establishment	53.346482	-6.260373700000001		True		supermarket
19	EUROSPAR	ChIJT55pcpIOZ0gR4nGUftk1-IM	supermarket|grocery_or_supermarket|food|point_of_interest|store|establishment	53.345266	-6.246364199999999		True		supermarket
20	SuperValu Ranelagh	ChIJDw6wwKUOZ0gRChQ-AdNptk4	supermarket|bakery|grocery_or_supermarket|liquor_store|food|point_of_interest|store|establishment	53.325805	-6.2551404	2.0	True	Main Street, Ranelagh, Dublin 6, D06 X6W0	supermarket
21	Tesco Express	ChIJE5_DJxgMZ0gRVw5HY8TgH_o	supermarket|convenience_store|grocery_or_supermarket|food|point_of_interest|store|establishment	53.3324426	-6.274309199999999	1.0	True	Leonards Corner, Portobello, Dublin	supermarket
22	EuroSpar Barrow Street	ChIJZcVvcusOZ0gRZfJBnSWzXBo	grocery_or_supermarket|supermarket|food|point_of_interest|store|establishment	53.3401936	-6.2363224		True	Google Building Gordon House, Barrow St, Dublin 4	supermarket
23	Fresh The Good Food Market Grand Canal	ChIJQ4PIIO0OZ0gR6iMqOzXSzvk	supermarket|grocery_or_supermarket|food|point_of_interest|store|establishment	53.343427	-6.2388024		True	Unit 4, Block 1, Grand Canal Square, Dublin Docklands, Dublin 2	supermarket
24	Tesco Metro	ChIJ-3WJVIIOZ0gRedlmJyJX5rU	supermarket|convenience_store|grocery_or_supermarket|food|point_of_interest|store|establishment	53.3480284	-6.2654079	1.0	False	Jervis Street Shopping Centre, North City, Dublin	supermarket
25	Tesco Express	ChIJszzJ8q8OZ0gRapW7OZ1tuOg	supermarket|convenience_store|grocery_or_supermarket|food|point_of_interest|store|establishment	53.3236298	-6.2510214	1.0	True	113 - 115 Sandford Rd, Ranelagh, Dublin	supermarket
26	Dunnes Stores	ChIJrZM7OoQOZ0gRao7QUfE4EPU	grocery_or_supermarket|supermarket|food|point_of_interest|clothing_store|store|establishment	53.3500792	-6.2591357		False	23/24 N Earl St, North City, Dublin 1, D01 RD73	supermarket
27	Tesco Express	ChIJaead-oUOZ0gRRvJjt3a74BA	supermarket|convenience_store|grocery_or_supermarket|food|point_of_interest|store|establishment	53.3505988	-6.2561161	1.0	False	Moland House, Talbot St, North City, Dublin	supermarket
28	Kane/McCartney's SuperValu Talbot Street	ChIJgcas1Y4OZ0gRqdVoyUeYksQ	supermarket|bakery|grocery_or_supermarket|liquor_store|food|point_of_interest|store|establishment	53.3511749	-6.2526364	2.0	True	27-32 Talbot St, Mountjoy, Dublin 1, D01 A6F4	supermarket
29	Tesco Express	ChIJTYvnDiUMZ0gRQ8MiBm6cdSQ	supermarket|convenience_store|grocery_or_supermarket|food|point_of_interest|store|establishment	53.3426372	-6.278583299999999	1.0	True	51 - 52 Thomas St, The Liberties, Dublin	supermarket
30	Fresh The Good Food Market IFSC	ChIJF76vII0OZ0gRtS-k3zS1J_c	supermarket|grocery_or_supermarket|food|point_of_interest|store|establishment	53.3490987	-6.2423459		True	Mayor Street Lower, North Wall, Dublin 1	supermarket
31	Tesco Metro	ChIJWwrxRYEOZ0gRHwxXUoLZ7TI	supermarket|convenience_store|grocery_or_supermarket|food|point_of_interest|store|establishment	53.3516588	-6.2639109	1.0	False	Unit 2, Ivy Exchange, Dublin	supermarket
32	Tesco Express	ChIJ4-BZqbcOZ0gRjHFYIYrgyh4	supermarket|convenience_store|grocery_or_supermarket|food|point_of_interest|store|establishment	53.32257269999999	-6.2381224	1.0	True	Unit 5, 7 Donnybrook Mall, Ranelagh, Dublin, D04 F6K3	supermarket
33	Tesco Express	ChIJV_m2sOgOZ0gRbMDAqVMwcq4	supermarket|convenience_store|grocery_or_supermarket|food|point_of_interest|store|establishment	53.3411905	-6.2262923	1.0	True	The Bottle Works, Fitzwilliam St, Dublin	supermarket
34	Tesco Express	ChIJ9XSk4D8MZ0gRtw4vWIJFt0w	supermarket|convenience_store|grocery_or_supermarket|food|point_of_interest|store|establishment	53.333306	-6.2919822	1.0	True	Unit 7, 8 Dolphin's Barn, Saint James' (part of Phoenix Park), Dublin, D08 X7YA	supermarket
35	Tesco Express	ChIJK1qj83wOZ0gRFQng048i4Lc	supermarket|convenience_store|grocery_or_supermarket|food|point_of_interest|store|establishment	53.3602583	-6.2604776	1.0	True	Dorset Street Lower, Dublin	supermarket
36	Tesco Metro	ChIJh7f5nd4OZ0gR6CjBMCkfhyE	supermarket|convenience_store|grocery_or_supermarket|food|point_of_interest|store|establishment	53.3332208	-6.2161129	1.0	True	80 Sandymount Rd, CO, Dublin, D04 X273	supermarket
37	SuperValu Kilmainham	ChIJbbbb4ZQNZ0gRyjDBZaxkWCg	supermarket|bakery|grocery_or_supermarket|liquor_store|food|point_of_interest|store|establishment	53.3446556	-6.2968948		True	Military Rd, Kilmainham, Dublin 8, D08 AE2C	supermarket
38	SuperValu Rathgar	ChIJ4zoSBPgLZ0gRVrOKg5qgfUc	supermarket|bakery|grocery_or_supermarket|liquor_store|food|point_of_interest|store|establishment	53.3114071	-6.274001699999999	2.0	True	13 Orwell Rd, Rathfarnham, Dublin 6, D06 F6P9	supermarket
