	name	place_id	types	geometry.location.lat	geometry.location.lng	opening_hours.open_now	formatted_address	price_level	main_type
0	The Music Box	ChIJXbBgAKIOZ0gR6wAESeq48uk	electronics_store|home_goods_store|point_of_interest|store|establishment	53.3346656	-6.258707999999999	True			electronics_store
1	Sky Electrical | Gate Automation Dublin Ireland	ChIJ05ytgDUPZ0gR7gbwldY11pY	electrician|electronics_store|point_of_interest|store|establishment	53.3360196	-6.263609	False			electronics_store
2	Gas Electric	ChIJWcwqAqAOZ0gR2EwjowoTgc8	electronics_store|point_of_interest|store|establishment	53.3356813	-6.265010299999999	False			electronics_store
3	John Gunn Camera Shop	ChIJM3IGzp8OZ0gRX-TjeVFErWE	electronics_store|home_goods_store|point_of_interest|store|establishment	53.3367368	-6.265405599999999	False			electronics_store
4	FAT Electronics LTD	ChIJS9cDfKIOZ0gRuIq-vEuBtLA	electronics_store|point_of_interest|store|establishment	53.3345452	-6.255698499999998				electronics_store
5	Techbits Ireland	ChIJo24cDG4NZ0gRs3hNoW_uQC8	electronics_store|point_of_interest|store|establishment	53.33537239999999	-6.265443299999999	True			electronics_store
6	Golden Discs	ChIJsWmnoJ4OZ0gRODWZjd24610	movie_rental|electronics_store|home_goods_store|point_of_interest|store|establishment	53.3400464	-6.261432900000001	False			electronics_store
7	Ar phones	ChIJ-eVloh4PZ0gRS8KwyH9aeHU	electronics_store|point_of_interest|store|establishment	53.3353754	-6.265457	False			electronics_store
8	The Laptop Shop	ChIJWV16nZ4OZ0gRAdg6--FEqtg	electronics_store|point_of_interest|store|establishment	53.33996609999999	-6.262006599999999	False			electronics_store
9	Little Gem Records	ChIJwbASnZkOZ0gR_94YJRLKGZQ	electronics_store|home_goods_store|point_of_interest|store|establishment	53.3394804	-6.2563053				electronics_store
10	Camera Centre	ChIJ02h0A5wOZ0gRFHbHn5umquw	electronics_store|home_goods_store|point_of_interest|store|establishment	53.3402205	-6.260908799999999	False			electronics_store
11	3電信	ChIJy9XM_voPZ0gRnwl1Uba2KdQ	electronics_store|point_of_interest|store|establishment	53.3402751	-6.2608562				electronics_store
12	Vodafone	ChIJX4XeA5wOZ0gRAEApInv-Fkg	electronics_store|home_goods_store|point_of_interest|store|establishment	53.340297	-6.260581999999999	False			electronics_store
13	Dyson	ChIJdXk5J5wOZ0gRgclyoS_SbBo	electronics_store|point_of_interest|store|establishment	53.34007949999999	-6.262301300000001	False			electronics_store
14	Right-Click	ChIJ99Wf-58OZ0gRByjr68PkKgY	electronics_store|point_of_interest|store|establishment	53.3349645	-6.2654915	False			electronics_store
15	Photo-Me	ChIJg7YBnp4OZ0gRVeBoGNqkQH0	electronics_store|home_goods_store|point_of_interest|store|establishment	53.3400115	-6.262700199999998	False			electronics_store
16	Blackhorse Recordings	ChIJEYtPdSAMZ0gR6sjdp2M8D74	electronics_store|home_goods_store|point_of_interest|store|establishment	53.335742	-6.266165000000001				electronics_store
17	Image Supply Systems (ISS)	ChIJqUhM1Z8OZ0gR6LgJvCCF2FI	electronics_store|home_goods_store|point_of_interest|store|establishment	53.33711829999999	-6.266374799999999				electronics_store
18	Waveform Studios	ChIJS5Dsx5kOZ0gRPtpARlJWPxs	electronics_store|home_goods_store|point_of_interest|store|establishment	53.338471	-6.254306799999999	False			electronics_store
19	Silk HiFi	ChIJl1Xb3u0OZ0gRF3Y3MFP7q84	electronics_store|point_of_interest|store|establishment	53.3349149	-6.2542392	False			electronics_store
20	Argos St Stephens Green (Dublin)	ChIJsyB-8ZkOZ0gRpS-7x0QDZY8	department_store|jewelry_store|electronics_store|furniture_store|home_goods_store|point_of_interest|clothing_store|store|establishment	53.3401991	-6.262872499999999	False	Unit 114, Stephen's Green Shopping Centre, St Stephen's Green, Dublin, D02 CA36	2.0	electronics_store
