	name	place_id	price_level	types	geometry.location.lat	geometry.location.lng	opening_hours.open_now	formatted_address	main_type
0	Starbucks Bishop's Square	ChIJ-4bbhCAMZ0gRW9LHgsZdYVc	2.0	cafe|food|point_of_interest|store|establishment	53.33771609999999	-6.2671319	False		cafe
1	Hanger Management Dublin	ChIJw3mBf2QNZ0gRBgF10vDShkQ	1.0	cafe|food|point_of_interest|establishment	53.3375204	-6.2667173	False		cafe
2	Goose on the Loose	ChIJTVQtKZ4OZ0gRu7Pi8eaKYqQ	1.0	cafe|restaurant|food|point_of_interest|store|establishment	53.33750200000001	-6.266068399999999	False		cafe
3	Coffee shop	ChIJg1a3yS0PZ0gRQ0FDb6eQDB0		cafe|food|point_of_interest|establishment	53.3375314	-6.266097100000001	False		cafe
4	Meet Me in the Morning	ChIJR4BTCiAMZ0gRGPAjJpGjQEU	2.0	cafe|food|point_of_interest|establishment	53.33550829999999	-6.266269400000001	False		cafe
5	Little Cafe	ChIJLf-A3SAMZ0gRnKcJKP9B5wY		cafe|food|point_of_interest|store|establishment	53.33809820000001	-6.2696425	False		cafe
6	Reference Coffee	ChIJr0VDYTIMZ0gRvVuVNnZ2fqM		cafe|food|point_of_interest|store|establishment	53.3355049	-6.266180100000001	False		cafe
7	Assassination Custard	ChIJ2YhA5yAMZ0gREszwsdGqOCo	1.0	cafe|food|point_of_interest|establishment	53.338131	-6.2696506	False		cafe
8	Insomnia Coffee Company	ChIJi4Tik8YOZ0gRGwHGTocrNME	2.0	cafe|food|point_of_interest|store|establishment	53.33717780000001	-6.2654741	False		cafe
9	Cafe Sofia	ChIJt2ltLZ4OZ0gR8FzJgWCmGB4	1.0	cafe|food|point_of_interest|establishment	53.3372876	-6.265461699999999	False		cafe
11	Frame Coffee Shop	ChIJS_D1Q5wOZ0gRv0Bdo7Wdzr0		cafe|food|point_of_interest|store|establishment	53.33648959999999	-6.265066999999999	False		cafe
12	FRAME	ChIJS_D1Q5wOZ0gRd3nxK6h_c7M		cafe|food|point_of_interest|store|establishment	53.33648959999999	-6.265066999999999	False		cafe
13	Flannery's Bar	ChIJLw6exJ8OZ0gRZPe_OqqaKW4	2.0	bar|cafe|restaurant|food|point_of_interest|establishment	53.3360729	-6.2651044	True		cafe
15	Dime Camden Street	ChIJmey1zsEPZ0gRRhbsdSiCInY		cafe|food|point_of_interest|store|establishment	53.3355722	-6.265423300000001	False		cafe
16	Jerusalem Restaurant	ChIJE-8H5p8OZ0gRUt1YC9BXhNc	2.0	meal_delivery|cafe|restaurant|food|point_of_interest|establishment	53.3354047	-6.265446899999999	True		cafe
17	Caffè Nero	ChIJt68p-p8OZ0gRc4AeXM_dY1U	2.0	cafe|food|point_of_interest|store|establishment	53.33553819999999	-6.264979899999999	False		cafe
18	Cracked Nut	ChIJUcqn_J8OZ0gRuxG9iWUTf0g	1.0	cafe|restaurant|food|point_of_interest|store|establishment	53.33507760000001	-6.265538599999999	False		cafe
19	Network	ChIJ8aqGF54OZ0gRcxLsAFkMocM	2.0	cafe|food|point_of_interest|store|establishment	53.33864959999999	-6.265830800000001	False		cafe
