	name	place_id	types	geometry.location.lat	geometry.location.lng	opening_hours.open_now	price_level	formatted_address	main_type
0	Dunnes Stores	ChIJ6zHtjzoMZ0gRa02otqbUo6Q	department_store|supermarket|grocery_or_supermarket|cafe|food|point_of_interest|clothing_store|store|establishment	53.3400719	-6.263209799999998	False			department_store
1	Argos St Stephens Green (Dublin)	ChIJsyB-8ZkOZ0gRpS-7x0QDZY8	department_store|jewelry_store|electronics_store|furniture_store|home_goods_store|point_of_interest|clothing_store|store|establishment	53.3401991	-6.262872499999999	False	2.0		department_store
2	TK Maxx	ChIJcwSBJ5wOZ0gRR4V2TmRLun0	department_store|point_of_interest|store|establishment	53.3397379	-6.261773499999999	False	1.0		department_store
3	Brown Thomas Dublin	ChIJo8CUnJsOZ0gRsRsxHKkaTKU	department_store|point_of_interest|store|establishment	53.3424295	-6.259930999999999	False			department_store
4	Marks and Spencer	ChIJERvGmpsOZ0gR2DQz5W_YgYw	supermarket|department_store|convenience_store|grocery_or_supermarket|food|point_of_interest|clothing_store|store|establishment	53.3422196	-6.2594935	False	2.0		department_store
5	Kilkenny Shop	ChIJ1eKCQpoOZ0gRC95WPSY_n-A	department_store|cafe|food|point_of_interest|store|establishment	53.3421558	-6.2553189	False			department_store
6	Argos Dublin Jervis Street	ChIJp5v9-YIOZ0gRmnQDxNDR7nc	department_store|jewelry_store|electronics_store|furniture_store|home_goods_store|point_of_interest|clothing_store|store|establishment	53.34823779999999	-6.2661793	False	2.0		department_store
7	Carraig Donn Jervis	ChIJnShz_4IOZ0gRjUklgFnsl3A	department_store|point_of_interest|store|establishment	53.3487209	-6.265780700000001	False			department_store
8	The Fashion Stage	ChIJ40O1eIMOZ0gRZImg64Vm4ac	department_store|point_of_interest|store|establishment	53.3479405	-6.2623365	False			department_store
9	Marks and Spencer	ChIJ19axsIMOZ0gRsz4tFcp1RAs	supermarket|department_store|convenience_store|grocery_or_supermarket|food|point_of_interest|clothing_store|store|establishment	53.3488949	-6.264739799999999	False	2.0		department_store
10	Arnotts	ChIJ9wcNE4QOZ0gRfvZo4ZTxlOU	department_store|shoe_store|furniture_store|home_goods_store|point_of_interest|clothing_store|store|establishment	53.3491377	-6.2631308	False			department_store
11	Dunnes Stores - Swan Centre	ChIJX1Y1zwIMZ0gRXIQqaefB0GE	supermarket|department_store|grocery_or_supermarket|food|point_of_interest|clothing_store|store|establishment	53.3235596	-6.264514499999999	False			department_store
12	Dunnes Stores - Henry Street	ChIJs-s79YMOZ0gRuedHUMYPupE	department_store|supermarket|grocery_or_supermarket|cafe|food|point_of_interest|clothing_store|store|establishment	53.3497637	-6.2633135	False			department_store
13	Argos Ilac Centre (Dublin)	ChIJrxbk3IMOZ0gRr_atohQddkU	department_store|jewelry_store|electronics_store|furniture_store|home_goods_store|point_of_interest|clothing_store|store|establishment	53.35044440000001	-6.264601100000001	False	2.0		department_store
14	Carraig Donn Swan Shopping Centre	ChIJLc8bazwPZ0gRldv3yMe9YK0	department_store|point_of_interest|store|establishment	53.3226879	-6.2644508	False			department_store
15	TK Maxx	ChIJ-7IJ44MOZ0gR9KyXJ4KrMZM	department_store|point_of_interest|store|establishment	53.35049230000001	-6.2635367	False	1.0		department_store
16	Guineys	ChIJXbJ9zIUOZ0gRu6E4Itvf-Zg	department_store|furniture_store|home_goods_store|point_of_interest|clothing_store|store|establishment	53.3500019	-6.258614800000002	False			department_store
17	Guineys	ChIJsYbzV48OZ0gRq3mGVBAGHeE	home_goods_store|department_store|point_of_interest|store|establishment	53.3500118	-6.2585462	False			department_store
18	manor	ChIJfR6Fji0MZ0gRaTCzW3zz4rA	department_store|point_of_interest|store|establishment	53.3513988	-6.2831713				department_store
19	Marks and Spencer	ChIJ-3Zy_zYMZ0gRYsVNNGtOzr0	supermarket|department_store|convenience_store|grocery_or_supermarket|food|point_of_interest|clothing_store|store|establishment	53.34642720000001	-6.294218600000001	False	2.0		department_store
20	Guineys	ChIJsYbzV48OZ0gRTapqqrqAazI	department_store|furniture_store|home_goods_store|point_of_interest|clothing_store|store|establishment	53.3504154	-6.255380300000001	False		83 Talbot St, North City, Dublin 1, D01 T282	department_store
21	Dunnes Stores - Ashleaf Shopping Centre	ChIJ5w1DrYAMZ0gRiGx1nxoXR-k	department_store|supermarket|grocery_or_supermarket|food|point_of_interest|clothing_store|store|establishment	53.31568	-6.318242	True		Ashleaf Shopping Centre, Cromwellsfort Rd, Crumlin, Dublin 12	department_store
22	Harvey Norman Rathfarnham	ChIJsZrqnucLZ0gRw1crpsEn7Gk	department_store|electronics_store|furniture_store|home_goods_store|point_of_interest|store|establishment	53.2923115	-6.2661063	False		Units 7A,7B,7C Nutgrove Retail Park, Rathfarnham, Co. Dublin, D14 DD88	department_store
23	Argos Nutgrove	ChIJ_dy35-cLZ0gRtJCRiOJ1U0o	department_store|jewelry_store|electronics_store|furniture_store|home_goods_store|point_of_interest|clothing_store|store|establishment	53.2901738	-6.2682376	False	2.0	Nutgrove Shopping Centre, Store 2C, Nutgrove Way, Dublin	department_store
24	Menarys	ChIJLU-Ykz4OZ0gR8PZN2RBJ-lw	department_store|point_of_interest|store|establishment	53.3831139	-6.2440839			Omni Park Shopping Centre, Old Swords Road, Santry, Dublin	department_store
25	Harvey Nichols	ChIJyU2YZ2YJZ0gRgW-TKCFXSKQ	department_store|point_of_interest|store|establishment	53.2881176	-6.2439513	False		Dundrum Town Centre, Sandyford Rd, Dundrum, Dublin 16, D16 W0C0	department_store
26	BT2 Dundrum	ChIJq3ssMjQJZ0gREIN-ANBKkDQ	department_store|point_of_interest|store|establishment	53.2865702	-6.240742500000001	False		16 Sandyford Road Unit 33 Level 1 Dundrum Town Centre, Dundrum, Co. Dublin, D16 E0E8	department_store
27	Argos Dundrum	ChIJwTRVsHMJZ0gRaMCVBR3IeMg	department_store|jewelry_store|electronics_store|furniture_store|home_goods_store|point_of_interest|clothing_store|store|establishment	53.2862689	-6.2407463	False	2.0	Unit 25 Level 1, Dundrum Town Centre, Sandyford Rd, Dublin, D16 FN36	department_store
28	TK Maxx	ChIJC1WYRm8JZ0gRBXSwND6clxc	department_store|point_of_interest|store|establishment	53.2860763	-6.239586999999999	False	1.0	Unit 3.4 - 3.5, Dundrum Town Centre, Dundrum, Dublin	department_store
29	Carraig Donn Omni Park Shopping Centre	ChIJn2zZUSIOZ0gRxMrqJ33WIUo	department_store|point_of_interest|store|establishment	53.3919258	-6.2484426	False		Unit 213 Omni Park Shopping Centre, Whitehall, Dublin 9, D09 XE03	department_store
