	name	place_id	types	geometry.location.lat	geometry.location.lng	opening_hours.open_now	price_level	main_type
0	Cabbage Garden	ChIJueLjBCEMZ0gRR6DmAvJVg9Y	park|point_of_interest|establishment	53.3370895	-6.270844400000001	False		park
1	Elma Fenton Landscape Architecture and Garden Design	ChIJQTylsgEMZ0gR6Jdit_17BX4	park|general_contractor|point_of_interest|establishment	53.33697709999999	-6.2747409	False		park
2	St Kevin's Park	ChIJmXbMeiAMZ0gRb0DDU6OEHfw	park|tourist_attraction|point_of_interest|establishment	53.3366006	-6.267056699999999	False		park
3	Hedgehog Garden Care	ChIJDT1XgiAMZ0gRuzqYZ6TD1Tc	park|point_of_interest|establishment	53.33751879999999	-6.266684199999998			park
4	St. Patrick’s Park	ChIJPxLz2SYMZ0gRLn9DSWYFzJQ	park|tourist_attraction|point_of_interest|establishment	53.3402425	-6.271165	False		park
5	Oscar Square	ChIJF-C7BOYNZ0gRSM0zJcd4yjg	park|point_of_interest|establishment	53.3369404	-6.2797725			park
6	Weaver Park	ChIJvRdQsTwMZ0gR__jh8sx2k4k	park|tourist_attraction|point_of_interest|establishment	53.33799459999999	-6.2811672	True		park
7	Peace Park	ChIJWY1zCRINZ0gRMWcEFYSGaNQ	park|point_of_interest|establishment	53.3427504	-6.2712542	False		park
8	Baggo Topsoil	ChIJzUvUujwMZ0gRUX4_RDn601s	park|point_of_interest|establishment	53.3382871	-6.282504599999999			park
9	MVP	ChIJ-eKzBxkMZ0gRNzTCSdb_tvE	park|bar|point_of_interest|establishment	53.3304133	-6.2756192	True	1.0	park
10	Armenian Genocide Memorial	ChIJGfGLSyYMZ0gRITtCZLVXw-I	park|point_of_interest|establishment	53.3432178	-6.271638	True		park
11	Dubh Linn Garden	ChIJq-FUnZ0OZ0gR9_TAnOCOC7o	park|tourist_attraction|point_of_interest|establishment	53.3423616	-6.2666319	False		park
12	Braithwaite Street Allotments	ChIJyRI7etENZ0gRV0wgO3uQO9g	park|point_of_interest|establishment	53.33975659999999	-6.2821897			park
13	St Teresa's Park, Dublin	ChIJY_e0dT0MZ0gRwMufIH1_UCc	park|point_of_interest|establishment	53.334563	-6.283196			park
14	Iveagh Gardens	ChIJIZpbZp8OZ0gR5pvUpWaYfzQ	tourist_attraction|park|point_of_interest|establishment	53.3351376	-6.2610343	False		park
15	Garda Síochána Memorial Garden	ChIJXWrcdp0OZ0gRV3USD-MfXDU	park|tourist_attraction|point_of_interest|establishment	53.34275359999999	-6.2665769	False		park
16	Memorial to Human Rights Defenders	ChIJ8dAdisoPZ0gRYPBRKWp56Hg	park|point_of_interest|establishment	53.3356375	-6.2602068			park
17	St. Audoen's Park	ChIJ7xiH4iUMZ0gRomZlPCGXZLY	park|tourist_attraction|point_of_interest|establishment	53.34387479999999	-6.275032299999999	False		park
18	St. Stephen's Green Bandstand	ChIJOeH71J4OZ0gRRzs0p-2vgfA	park|tourist_attraction|point_of_interest|establishment	53.3375774	-6.2596894	True		park
19	St. Stephen’s Green	ChIJzc-KPoQOZ0gRTW9ZocSD8hI	park|point_of_interest|establishment	53.33956360000001	-6.2604216			park
