	name	place_id	types	geometry.location.lat	geometry.location.lng	opening_hours.open_now	price_level	formatted_address	main_type
0	Elma Fenton Landscape Architecture and Garden Design	ChIJQTylsgEMZ0gR6Jdit_17BX4	park|general_contractor|point_of_interest|establishment	53.33697709999999	-6.2747409	False			park
1	Oscar Square	ChIJF-C7BOYNZ0gRSM0zJcd4yjg	park|point_of_interest|establishment	53.3369404	-6.2797725				park
2	Weaver Park	ChIJvRdQsTwMZ0gR__jh8sx2k4k	park|tourist_attraction|point_of_interest|establishment	53.33799459999999	-6.2811672	True			park
3	Cabbage Garden	ChIJueLjBCEMZ0gRR6DmAvJVg9Y	park|point_of_interest|establishment	53.3370895	-6.270844400000001	False			park
4	Baggo Topsoil	ChIJzUvUujwMZ0gRUX4_RDn601s	park|point_of_interest|establishment	53.3382871	-6.282504599999999				park
5	St Teresa's Park, Dublin	ChIJY_e0dT0MZ0gRwMufIH1_UCc	park|point_of_interest|establishment	53.334563	-6.283196				park
6	Braithwaite Street Allotments	ChIJyRI7etENZ0gRV0wgO3uQO9g	park|point_of_interest|establishment	53.33975659999999	-6.2821897				park
7	St. Patrick’s Park	ChIJPxLz2SYMZ0gRLn9DSWYFzJQ	park|tourist_attraction|point_of_interest|establishment	53.3402425	-6.271165	False			park
8	St Kevin's Park	ChIJmXbMeiAMZ0gRb0DDU6OEHfw	park|tourist_attraction|point_of_interest|establishment	53.3366006	-6.267056699999999	False			park
9	Hedgehog Garden Care	ChIJDT1XgiAMZ0gRuzqYZ6TD1Tc	park|point_of_interest|establishment	53.33751879999999	-6.266684199999998				park
10	MVP	ChIJ-eKzBxkMZ0gRNzTCSdb_tvE	park|bar|point_of_interest|establishment	53.3304133	-6.2756192	True	1.0		park
11	St Catherines Park	ChIJf8OhEa0NZ0gR5DNMjoizBvs	park|point_of_interest|establishment	53.3424134	-6.281367400000001	False			park
13	Peace Park	ChIJWY1zCRINZ0gRMWcEFYSGaNQ	park|point_of_interest|establishment	53.3427504	-6.2712542	False			park
14	Armenian Genocide Memorial	ChIJGfGLSyYMZ0gRITtCZLVXw-I	park|point_of_interest|establishment	53.3432178	-6.271638	True			park
15	St. Audoen's Park	ChIJ7xiH4iUMZ0gRomZlPCGXZLY	park|tourist_attraction|point_of_interest|establishment	53.34387479999999	-6.275032299999999	False			park
16	Keith Earls Park	ChIJ82KRN-MNZ0gRg7oO3HJ90RI	park|point_of_interest|establishment	53.3291249	-6.276686300000001				park
17	Campsited	ChIJOem-Z28NZ0gRYlaZ8V7IhdA	campground|lodging|park|point_of_interest|establishment	53.34318949999999	-6.2832873	False			park
18	Dubh Linn Garden	ChIJq-FUnZ0OZ0gR9_TAnOCOC7o	park|tourist_attraction|point_of_interest|establishment	53.3423616	-6.2666319	False			park
19	Garda Síochána Memorial Garden	ChIJXWrcdp0OZ0gRV3USD-MfXDU	park|tourist_attraction|point_of_interest|establishment	53.34275359999999	-6.2665769	False			park
20	St. Stephen's Green Bandstand	ChIJOeH71J4OZ0gRRzs0p-2vgfA	park|tourist_attraction|point_of_interest|establishment	53.3375774	-6.2596894	True		Superintendent’s Office, St Stephen’s Green Park, Dublin	park
21	Chancery Park	ChIJl8wN9igMZ0gRRSiD9ZgTIzY	park|tourist_attraction|point_of_interest|establishment	53.3465867	-6.2721919	False		16 Charles St W, Dublin 8, D07 KX20	park
22	Oisin Kelly Park	ChIJd1TTc4MNZ0gRj64_AUaEyuU	park|point_of_interest|establishment	53.3419932	-6.2914014	True		Basin Street Lower, Saint James' (part of Phoenix Park), Dublin	park
23	St Stephen's Green	ChIJo5EyLpkOZ0gRfIOtBfARzQU	park|tourist_attraction|point_of_interest|establishment	53.3381736	-6.259119			St Stephen's Green, Dublin 2	park
24	Harold's Cross Park	ChIJxaUCaxAMZ0gRSnHLMSLvSqU	park|point_of_interest|establishment	53.3242623	-6.2790664	False		Harold's Cross Rd, Harold's Cross, Dublin	park
