	name	place_id	types	geometry.location.lat	geometry.location.lng	opening_hours.open_now	price_level	formatted_address	main_type
0	Pilates with Lena	ChIJdyb2AsgPZ0gR9Seing-Cc-c	gym|health|point_of_interest|establishment	53.338426	-6.287628	False			gym
1	Herberton Leisure	ChIJPwGAOD8MZ0gRNf_kmkvfoXY	gym|health|point_of_interest|establishment	53.3371315	-6.2929229	False			gym
2	Donore Boxing Club	ChIJZQy3qD0MZ0gRlJu37miKkD4	gym|health|point_of_interest|establishment	53.335373	-6.283993400000001				gym
3	Capital Strength Weightlifting Club	ChIJ3V-J7z8MZ0gRHPOJBuiFOH0	gym|health|point_of_interest|establishment	53.3337499	-6.292806300000001	False			gym
4	Estelle Birdy Yoga	ChIJpc6_iB8MZ0gRVGoBo1V47m0	gym|health|point_of_interest|establishment	53.3380342	-6.281890399999999	False			gym
5	Energie Fitness Dublin8	ChIJxd4mBq8NZ0gRL05_6tYwFyM	gym|health|point_of_interest|establishment	53.33871429999999	-6.280345599999999	False			gym
6	Timber Yard	ChIJZwP2lbINZ0gRdRH4utJJcAE	gym|health|point_of_interest|establishment	53.3389563	-6.278571899999999				gym
7	Sta.Lan.Do Mugendo Kickboxing	ChIJgWa1OoUOZ0gRrtiJ3CEjUpk	gym|health|point_of_interest|establishment	53.3410478	-6.278721200000001	False			gym
8	Bruiser's HQ	ChIJ59iMRC8NZ0gRT8yrvQRCDgw	gym|health|point_of_interest|establishment	53.3392405	-6.300669099999999	False			gym
9	St James Gate Health and Fitness Club	ChIJoxIQhDoMZ0gRXZ_2mJk0s8g	gym|health|point_of_interest|establishment	53.3441122	-6.285171800000001	False			gym
10	Outside Gym	ChIJUd7JKgYNZ0gRgaf1Ul8ByYA	gym|health|point_of_interest|establishment	53.33461579999999	-6.301735599999998				gym
11	Anytime Fitness Kilmainham	ChIJEcCeCUgMZ0gRat_EB9bb05Y	gym|health|point_of_interest|establishment	53.3441688	-6.2969582	True			gym
13	Oxyfitness	ChIJc_BQ1mkMZ0gRXBOpChDs7fg	gym|health|point_of_interest|establishment	53.3322454	-6.303346	False			gym
14	Little Bird, coffee & yoga	ChIJRaT-wxgMZ0gR9EpDL7JTDSU	cafe|food|gym|health|point_of_interest|establishment	53.3323179	-6.273657200000001	False	2.0		gym
15	Satya Yoga Studio	ChIJOVY0BxoMZ0gRgLweCVExKpE	gym|health|point_of_interest|establishment	53.3279626	-6.279726699999998				gym
16	South Dublin Strength & Conditioning	ChIJ7RQNrBAMZ0gRihghBlkOBXg	gym|health|point_of_interest|establishment	53.3280077	-6.278855599999999	False			gym
17	breathing room yoga	ChIJI9BauBAMZ0gR2ZzVNoUPZTM	gym|health|point_of_interest|establishment	53.32740820000001	-6.279811599999999	False			gym
18	Anthony Kearney Yoga at Satya Yoga Studio	ChIJD-r4sxAMZ0gROzpcfdh_fOY	gym|health|point_of_interest|establishment	53.3277602	-6.2780529	False			gym
19	Yocella - Yin Yoga & Live Cello	ChIJ5accLB8MZ0gRzqPZNJY6Qd8	gym|health|point_of_interest|establishment	53.3317259	-6.2717969				gym
20	Lift Training Studios	ChIJfXKp_i4MZ0gRvTDzd9kpBE8	gym|health|point_of_interest|establishment	53.3467956	-6.2801103	False		2 Queen St, Smithfield, Dublin, D07 P896	gym
21	Viribus Crossfit, Smithfield, Dublin	ChIJZyXc_i4MZ0gRjXIIR8lIz6w	gym|health|point_of_interest|establishment	53.34685959999999	-6.2800626	False		3 Queen St, Smithfield, Ireland, Co. Dublin, D07 TE82	gym
22	Iveagh Fitness Club	ChIJZclB_SYMZ0gRvNAA3kxYxIM	gym|health|point_of_interest|establishment	53.34157829999999	-6.2708805	False		Bride Road, Christchurch Pl, Dublin 8	gym
23	Dublin Fit Club	ChIJNUh89GgMZ0gR59rv5RPWmmA	gym|health|point_of_interest|establishment	53.329648	-6.3051375	False		Sunshine Industrial Estate, Crumlin Rd, Crumlin, Dublin 12	gym
24	FUSE Smithfield	ChIJH1a3J_YNZ0gRtMIEb0zMxP0	gym|health|point_of_interest|establishment	53.3484709	-6.2817291	False		Oxmantown Green, Unit 1, Blackhall Pl, Smithfield, Dublin	gym
25	LivingWell Health Club Kilmainham	ChIJoTpdXUUMZ0gRUW_SDKzQf_Q	gym|health|point_of_interest|establishment	53.342413	-6.308112599999999	True		Hilton Dublin Kilmainham, S Circular Rd, Kilmainham, Dublin, D08 XAK3	gym
