	name	place_id	types	geometry.location.lat	geometry.location.lng	opening_hours.open_now	formatted_address	price_level	main_type
0	Cleo LTD	ChIJgyUanZkOZ0gRvGC-8N94Ylw	clothing_store|point_of_interest|store|establishment	53.339507	-6.2562371	False			clothing_store
1	Maire Forkin Designs - 30 Molesworth Street, Dublin DO2 AY19	ChIJBw-V9pcOZ0gRZCzVCncxpvI	point_of_interest|clothing_store|store|establishment	53.34087299999999	-6.2562319	False			clothing_store
2	The Orange Collection	ChIJ2atgLZoOZ0gRJJCrsgiHeeU	real_estate_agency|point_of_interest|clothing_store|store|establishment	53.3409205	-6.2566367				clothing_store
3	House of Wool	ChIJWXP3DwsPZ0gRizdnwc-wH7w	clothing_store|point_of_interest|store|establishment	53.3396492	-6.258911899999999				clothing_store
4	Remus Uomo	ChIJAQCQWpkOZ0gRSLGx7PrhBME	shoe_store|point_of_interest|clothing_store|store|establishment	53.3396839	-6.2590922	False			clothing_store
6	Jen Kelly Design	ChIJW420zZsOZ0gRZr1aC3xcn1M	clothing_store|point_of_interest|store|establishment	53.3410232	-6.2570731	False			clothing_store
7	Rochas Fashions	ChIJRYUINpgOZ0gRQ0VmDh4tk6o	clothing_store|point_of_interest|store|establishment	53.3373213	-6.254076799999999				clothing_store
8	Protocol For Men	ChIJE58NwpsOZ0gR29MyXHdiOEU	point_of_interest|clothing_store|store|establishment	53.3407896	-6.258639	False			clothing_store
9	James Herren	ChIJVRWkwpsOZ0gRnMFzrd84NFU	point_of_interest|clothing_store|store|establishment	53.3409088	-6.2585694	False			clothing_store
10	Massimo Menswear	ChIJtbD4wpsOZ0gRuLy4CH9GD8k	point_of_interest|clothing_store|store|establishment	53.3410797	-6.2585006	False			clothing_store
11	Feraud Menswear	ChIJiXv8vpsOZ0gRt-w6CUFQgrg	point_of_interest|clothing_store|store|establishment	53.3411024	-6.258496399999999	False			clothing_store
12	The gallery protocol 41 dawson Street	ChIJXUTDOoMPZ0gRl79ZR6ZDZAE	point_of_interest|clothing_store|store|establishment	53.34110249999999	-6.258496499999998	False			clothing_store
13	Maurice Abrahams Limited	ChIJ25yf6ZsOZ0gR0he0JdRUb0A	point_of_interest|clothing_store|store|establishment	53.3410853	-6.2585543	False			clothing_store
14	Classic Collection	ChIJxUAXaZcOZ0gRLSL4Z9ZqOzg	travel_agency|point_of_interest|clothing_store|store|establishment	53.33893569999999	-6.2516209				clothing_store
15	Monaghans Cashmere	ChIJCxIi4psOZ0gRW0ksC6jPXUY	clothing_store|point_of_interest|store|establishment	53.34098890000001	-6.2589511	False			clothing_store
16	Magee of South Anne Street	ChIJ4wbn7psOZ0gRp3Tbuld7W1w	home_goods_store|point_of_interest|clothing_store|store|establishment	53.3409938	-6.2590138	False			clothing_store
17	Reads Design & Print	ChIJW7ovRpoOZ0gRqNB8QR-9icw	point_of_interest|clothing_store|store|establishment	53.3417777	-6.255839600000001	False			clothing_store
18	Celtic Tweed	ChIJE_ZhZP4PZ0gRrosTFeBsIm8	clothing_store|point_of_interest|store|establishment	53.3407833	-6.2596889	False			clothing_store
19	Dorian Black	ChIJ3Whc8JsOZ0gRIEgyye2Wlhk	point_of_interest|clothing_store|store|establishment	53.3408115	-6.259786000000001	False			clothing_store
20	Reiss Dublin	ChIJo4sxUZkOZ0gR3KQcwLNp4Iw	clothing_store|point_of_interest|store|establishment	53.3400678	-6.2604592	False	1 St Stephen's Green, Dublin, D02 EP29	3.0	clothing_store
21	Pursuit Dublin Menswear	ChIJ8bU9vpsOZ0gRkYBYkDYJ0Uw	point_of_interest|clothing_store|store|establishment	53.3417521	-6.2586184	False	14 Duke St, Dublin 2, D02 N722		clothing_store
22	Jigsaw	ChIJ-acL9psOZ0gRYaf4G_Va9qM	point_of_interest|clothing_store|store|establishment	53.3410783	-6.260201599999999	False	34 Anne St S, Dublin 2, D02 K535	3.0	clothing_store
23	Levi's® Dublin	ChIJj3f6CJwOZ0gRWk5_RrjG4eo	clothing_store|point_of_interest|store|establishment	53.3408645	-6.2605059	False	38 Grafton Street, Dublin, D02 W862		clothing_store
24	Louis Copeland and Sons - Pembroke St	ChIJXx-vL5mEREgRThBlA4d2gfA	point_of_interest|clothing_store|store|establishment	53.3369027	-6.2517385	False	30 Pembroke Street Lower, Dublin 2, D02 TN30		clothing_store
25	Dunnes Stores	ChIJMelLBZwOZ0gRSjjEI3UdyMg	clothing_store|point_of_interest|store|establishment	53.3406408	-6.2610531	False	62 Grafton Street, Dublin, D02 FX05		clothing_store
26	BOSS Store	ChIJD1GwDpwOZ0gRcxsrbXOZHGY	clothing_store|shoe_store|point_of_interest|store|establishment	53.3409551	-6.2607724	False	67/68 Grafton Street, Dublin, D02 T213		clothing_store
27	& Other Stories	ChIJDeGPi5sOZ0gRRIvihe7x654	clothing_store|point_of_interest|store|establishment	53.3416518	-6.260041999999999	False	26-27 Grafton Street, Dublin, D02 HH24		clothing_store
28	Tribe	ChIJgboXKZwOZ0gRtywAMXxXUiQ	shoe_store|point_of_interest|clothing_store|store|establishment	53.339907	-6.2621598	False	Unit 109, St Stephen's Green, Dublin 2, D02 FX29		clothing_store
29	Sweater Shop	ChIJZ-oFHZ4wXUgRCSXGC2f0pQw	clothing_store|point_of_interest|store|establishment	53.3427988	-6.2576034	False	30 Nassau St, Dublin, D02 KR23		clothing_store
30	Madigan Dublin	ChIJXyOLcZwOZ0gRVznzvDDd9Q0	clothing_store|point_of_interest|store|establishment	53.34155310000001	-6.2612038	False	Unit 14 Westbury Mall, Dublin 2		clothing_store
31	ZARA	ChIJ10WdI5wOZ0gRl4mqZBNX6SE	clothing_store|point_of_interest|store|establishment	53.3404699	-6.2622955	False	40-43 King St S, Dublin 2, D02 EC93	2.0	clothing_store
