	name	place_id	price_level	types	geometry.location.lat	geometry.location.lng	opening_hours.open_now	formatted_address	main_type
0	Claire's	ChIJWZ6aIJwOZ0gRcvTHDiew4cE	2.0	jewelry_store|point_of_interest|store|establishment	53.3394379	-6.257954300000001	True		jewelry_store
1	Bespoke Diamonds - Engagement Rings Dublin	ChIJG0HJJ5oOZ0gRICuALEuxpkk		jewelry_store|finance|point_of_interest|store|establishment	53.34045740000001	-6.255675099999999	False		jewelry_store
2	Boutique Diamonds Dublin	ChIJG0HJJ5oOZ0gRjgpyhinrLaE		jewelry_store|point_of_interest|store|establishment	53.34045740000001	-6.255675099999999	False		jewelry_store
3	Dawson Jewellers	ChIJMcPeXJkOZ0gRJjje3mbOvaY		jewelry_store|point_of_interest|store|establishment	53.3398579	-6.2584818	False		jewelry_store
5	David Murray Jewellers	ChIJHddYX5kOZ0gRWVOQ_nWcm4Y		jewelry_store|point_of_interest|store|establishment	53.34011599999999	-6.2587407	False		jewelry_store
6	Deirdre O’Donnell Contemporary Jewellery	ChIJed2pR8kPZ0gRSBWl1yRJ_e8		jewelry_store|point_of_interest|store|establishment	53.34095959999999	-6.258688099999999	False		jewelry_store
7	The Jewel Casket	ChIJw76X6ZsOZ0gRzJeLvT0yzg8		jewelry_store|point_of_interest|store|establishment	53.34107259999999	-6.258696099999999	False		jewelry_store
8	Spirit Jewellery	ChIJb06wT5oOZ0gR6qkEskSpkLg		jewelry_store|point_of_interest|store|establishment	53.3418503	-6.2566935			jewelry_store
9	Carol Clarke Jewellers	ChIJVVVlwJsOZ0gRw_kLop3U1hE		jewelry_store|point_of_interest|store|establishment	53.3414734	-6.258465200000001	False		jewelry_store
10	Irish Jewel	ChIJK072wJsOZ0gRVYTQR7CICog		jewelry_store|finance|point_of_interest|store|establishment	53.3414734	-6.258465200000001	False		jewelry_store
11	R & C McCormack Limited Celtic Jewellers	ChIJPVwDApwOZ0gR9d60AOxBnIE		jewelry_store|point_of_interest|store|establishment	53.34009640000001	-6.2605375	False		jewelry_store
12	McCormack CELTIC JEWELLERS	ChIJFehjApwOZ0gRjkmczBMTbBQ		jewelry_store|point_of_interest|store|establishment	53.340134	-6.2605746	False		jewelry_store
13	Celtic Jewelera	ChIJk4T7gqcPZ0gRM-yOhO0PWmY		jewelry_store|point_of_interest|store|establishment	53.3401376	-6.260586999999999			jewelry_store
14	Celtic Jewelers	ChIJL5qKGI0PZ0gRehGOyjMdlfs		jewelry_store|point_of_interest|store|establishment	53.3401376	-6.260586999999999	False		jewelry_store
15	International Diamond Brokers Fitzpatrick's - Engagement Rings Dublin, Ireland	ChIJpdavvZUOZ0gR-ZBonhmafPk		jewelry_store|point_of_interest|store|establishment	53.3421372	-6.256355699999999	False		jewelry_store
