	name	place_id	types	geometry.location.lat	geometry.location.lng	price_level	opening_hours.open_now	formatted_address	main_type
0	Homestay Technologies Ltd	ChIJZ___VJkOZ0gRi367sqaEVDY	lodging|point_of_interest|establishment	53.33992620000001	-6.2598144				lodging
1	The Fitzwilliam Hotel Dublin	ChIJ4cbHq54OZ0gR-nvSqo6_BpM	lodging|point_of_interest|establishment	53.33945869999999	-6.261422	2.0	True		lodging
2	Shelbourne Vouchers	ChIJi528q54OZ0gRitwGSoLmrk8	lodging|point_of_interest|establishment	53.340037	-6.260384200000001				lodging
3	The Dawson Suite Apartments on St. Stephens Green	ChIJO-b0W5kOZ0gR2G5kERb7Nm4	lodging|point_of_interest|establishment	53.3397365	-6.2585101		True		lodging
4	The Dawson Hotel	ChIJ1ZI74ZsOZ0gRpGMvODebCn0	lodging|bar|point_of_interest|establishment	53.340393	-6.258837		True		lodging
5	NolaClan	ChIJf7bHZXNtZ0gRqyYIlIHgSRo	bar|lodging|restaurant|food|point_of_interest|establishment	53.34055290000001	-6.2587773		True		lodging
6	Luxury Rental Dublin	ChIJbcZM3ZsOZ0gR_XMyit7CY68	lodging|point_of_interest|establishment	53.340792	-6.258583199999999		False		lodging
7	Grafton Street Studios	ChIJbTHewMkPZ0gRiaUUcIdnxrY	lodging|point_of_interest|establishment	53.3411369	-6.260796		False		lodging
8	Molesworth Court Suites	ChIJTzu-KpoOZ0gR0WmBAen9Vys	lodging|point_of_interest|establishment	53.3405364	-6.257094700000001		True		lodging
9	The Shelbourne, Autograph Collection	ChIJwamzCpkOZ0gR5Dk8ikLiX1I	lodging|point_of_interest|establishment	53.3389725	-6.256013800000001		True		lodging
10	Westbury Mall - Extra Elegance	ChIJcUfYcpwOZ0gRTpz5YnxidV0	lodging|point_of_interest|establishment	53.34143359999999	-6.2610474				lodging
11	Clarendon Suites	ChIJcQW4PpwOZ0gRqp2bs7qQ26U	lodging|point_of_interest|establishment	53.341057	-6.262431		True		lodging
12	The Westbury	ChIJbTYQbZwOZ0gRgEfm89OUVWA	lodging|point_of_interest|establishment	53.34140069999999	-6.261442600000001		True		lodging
13	Arthaus Hotel	ChIJq9mT1J0OZ0gRJ5SEOuBKi8I	lodging|point_of_interest|establishment	53.3395362	-6.2641031		True		lodging
14	Scandik Property Services Limited	ChIJM5MxMpwOZ0gRpwOSRhEUsB0	real_estate_agency|lodging|point_of_interest|establishment	53.3406883	-6.263215199999999		False		lodging
15	Stauntons on the Green	ChIJY_84Mp8OZ0gReySfJlhEp8k	lodging|point_of_interest|establishment	53.336606	-6.259615000000001				lodging
16	Dawson School House Lane East	ChIJdw0_1ZsOZ0gRSQTE8aOwbWI	lodging|point_of_interest|establishment	53.3403385	-6.2562269				lodging
17	The Green Hotel	ChIJEbI6nZ4OZ0gRNYANgsRAF9E	lodging|bar|restaurant|food|point_of_interest|establishment	53.3373762	-6.2632766		True		lodging
18	Marlin Hotel Dublin	ChIJqSROVdAPZ0gR6fEMc6uRhNw	lodging|bar|restaurant|food|point_of_interest|establishment	53.3398775	-6.264483900000001		True		lodging
