	name	place_id	types	geometry.location.lat	geometry.location.lng	opening_hours.open_now	formatted_address	main_type
0	Capricorn Launderette and Dry Cleaners	ChIJg4iBIzwMZ0gRP1j-YPq7cWY	laundry|point_of_interest|establishment	53.33701379999999	-6.2872773			laundry
1	BT Cleaning	ChIJy1eeWT8MZ0gRdXalwGIdJHI	laundry|point_of_interest|establishment	53.33773319999999	-6.2943758	False		laundry
2	Fresh Dry Cleaners	ChIJQW-77jkMZ0gRfuM5MRqLKdg	laundry|point_of_interest|establishment	53.3431921	-6.289650900000001			laundry
3	pats shoe repairs	ChIJ1-pXgDENZ0gRSLRpJBYmgD8	laundry|point_of_interest|establishment	53.3428711	-6.291526699999999			laundry
4	Fresh Dry Cleaners	ChIJqZS0Y18OZ0gREnojK985LZw	laundry|point_of_interest|establishment	53.34321300000001	-6.2895	False		laundry
5	Scrub A Dub	ChIJbf4w0D8MZ0gRs5V3GMwyc4g	laundry|point_of_interest|establishment	53.33361739999999	-6.290857600000001	False		laundry
6	A Team Cleaning	ChIJl9_X3D8MZ0gRACjug2Nr-9g	laundry|point_of_interest|establishment	53.3336426	-6.2917475			laundry
7	Sandford Dry Cleaners	ChIJPYqUWD0MZ0gRn_P9fTwyk9Y	laundry|point_of_interest|establishment	53.3336656	-6.2809041	False		laundry
8	Heuston Launderette and Dry Cleaners	ChIJsVxxIUgMZ0gRUyzFjEdf_Kk	laundry|point_of_interest|establishment	53.345116	-6.296739	False		laundry
9	Thomas Dry Cleaners	ChIJRW6AvyUMZ0gRVgG5k8AS9yw	laundry|point_of_interest|establishment	53.3431324	-6.2766092	False		laundry
10	Francis Cleaners	ChIJ3SG43eUNZ0gR8HIjS3uGN4E	laundry|point_of_interest|establishment	53.3409473	-6.274274699999999	False		laundry
11	Mr Tubs	ChIJ730Bpi8MZ0gRToTb9pLfvm8	locksmith|laundry|point_of_interest|establishment	53.3465943	-6.2795573	False		laundry
12	KRYSTAL DRY CLEANERS ( Same Day Laundry Service - Open 7 Days ) - DRY CLEANER OF THE YEAR AWARD 2020/21	ChIJhXBe6yYMZ0gR4CeHkbj2CBg	laundry|point_of_interest|establishment	53.3411552	-6.272526699999999	False		laundry
13	Laundry Online - Leonard's Corner	ChIJsdCe7RgMZ0gRfCfoYRzlMtY	laundry|point_of_interest|establishment	53.3323555	-6.274820699999998	True		laundry
14	Laundry Online Kilmainham	ChIJ8Y2IIEUMZ0gRt2Juf8anGPo	laundry|point_of_interest|establishment	53.34033059999999	-6.3077829	True		laundry
15	ECS Cleaning Services Ltd	ChIJ41rG8lNtZ0gRelPeMp_OBxI	laundry|point_of_interest|establishment	53.3503555	-6.2828585	False		laundry
16	Chem Dry Executive	ChIJx4kaFh8MZ0gROC6bw-O2DS8	laundry|point_of_interest|establishment	53.3323708	-6.2705498			laundry
17	Hibernian SecuriClean	ChIJpT4YXSAMZ0gR8mdOwkTdH44	laundry|point_of_interest|establishment	53.3360016	-6.267686799999999			laundry
18	Wedding Dress Cleaning Specialist Dublin Ireland Nationwide Collect Delivery Launderette Dry Cleaner Bridal Gown Laundry Service Bridesmaid Dress Preservation Boxing Repairs	ChIJD0_bjB8jZ0gRjOI8ySmV6L4	laundry|point_of_interest|establishment	53.3352813	-6.267566699999999	True		laundry
19	Curzon Launderette	ChIJfyYKCx8MZ0gRLPfBCPtHW8U	laundry|point_of_interest|establishment	53.3326702	-6.2692156	True		laundry
20	Bright Wash	ChIJn-sRD54OZ0gRD41AjjGIGac	laundry|point_of_interest|establishment	53.3394746	-6.2657175	False	26 Aungier St, Dublin 2	laundry
21	All American Launderette	ChIJUUOoup0OZ0gRt9PnAScTHuo	laundry|point_of_interest|establishment	53.341783	-6.264789599999999	False	40 South Great George's Street, Dublin 2, D02 V256	laundry
22	Excel Original Dry Cleaners	ChIJWcq0lZwOZ0gR4Fcc2Xwu9mE	laundry|point_of_interest|establishment	53.3437638	-6.262516499999999	False	Moira House, Dame Ln, Dublin 2	laundry
23	Spin City	ChIJ2aHQnKAOZ0gRLT7uWtSN-6I	laundry|point_of_interest|establishment	53.3309942	-6.2647606	False	42A Richmond St S, Saint Kevin's, Dublin 2	laundry
24	Cleanwell Washeteria	ChIJf8ylL1oMZ0gRLcVgmCqk5cs	laundry|point_of_interest|establishment	53.3401465	-6.3171342	False	19 Emmet Rd, Inchicore, Dublin 8, D08 DW94	laundry
25	The Washboard	ChIJ-9lC2w8MZ0gRuDVBrchuL_w	laundry|point_of_interest|establishment	53.32225	-6.2791993	False	207 Harold's Cross Rd, Rathmines, Dublin, D6W H685	laundry
26	Temple Bar Laundry	ChIJfXy-pIQOZ0gRkRkQidQRrYE	laundry|point_of_interest|establishment	53.3464144	-6.260739	False	13 Aston Quay, Temple Bar, Dublin 2, D02 PD65	laundry
27	Harcourt Launderette & Dry Cleaners	ChIJpzVxA6EOZ0gRVnuA0YkIuGI	laundry|point_of_interest|establishment	53.3313168	-6.2611135	False	Unit 2 , Harcourt Green, 64 Charlemont St, Dublin 2, D02 RX72	laundry
28	Sundry Laundry	ChIJI4bsknIMZ0gRGAxBxyQBJrY	laundry|point_of_interest|establishment	53.3208425	-6.2933049	False	Blarney Park, Kimmage, Dublin	laundry
29	New York Cleaners	ChIJR7qJYoQOZ0gRg2CFogX1Yig	laundry|point_of_interest|establishment	53.3480398	-6.2608489	False	69 Middle Abbey St, North City, Dublin, D01 P5Y4	laundry
30	The Laundry and Dry Cleaning Shop	ChIJY3jnnR0MZ0gRRXZzDbPT8a0	laundry|point_of_interest|establishment	53.3261079	-6.2648415	True	118 Rathmines Rd Lower, Rathmines, Dublin, D06 W660	laundry
