	name	place_id	types	geometry.location.lat	geometry.location.lng	opening_hours.open_now	main_type
0	Compare Travel - Car Hire, Ferries, Hotels & Travel Insurance	ChIJ3RbQSx8OZ0gREDDARRQRUE8	car_rental|point_of_interest|establishment	53.342276	-6.239204	True	car_rental
1	Dooley Car Rental	ChIJD_WFApEOZ0gRd5bqzA7sqPM	car_rental|point_of_interest|establishment	53.3427508	-6.249969599999999	False	car_rental
2	CARHIRE.ie	ChIJWan12A4PZ0gRK1RcckcukdU	car_rental|point_of_interest|establishment	53.3475367	-6.237885900000001	False	car_rental
3	Hertz Car Hire	ChIJaZX4LYcPZ0gRD3DVDObLDAg	car_rental|point_of_interest|establishment	53.3375627	-6.234129600000001	False	car_rental
4	Thrifty Car Rental	ChIJ83XXXOoOZ0gRMlvLShs2MdA	car_rental|point_of_interest|establishment	53.3375619	-6.234086200000001	False	car_rental
5	Irish Car Rentals Dublin	ChIJjQrTYzYMZ0gRz5ERs3-ItO0	car_rental|point_of_interest|establishment	53.3475572	-6.237415400000001	False	car_rental
6	Europcar Dublin City	ChIJR9FXN5AOZ0gRlsRSOjvQjqI	car_rental|point_of_interest|establishment	53.3477364	-6.2377408	False	car_rental
7	DUBLIN CHAUFFEURS	ChIJOV25y5kOZ0gRe_HIUBCTVZE	car_rental|point_of_interest|establishment	53.33792829999999	-6.254010599999999		car_rental
8	Hertz Car Hire	ChIJbd4gDr4OZ0gRrDBNgx2NftQ	car_rental|point_of_interest|establishment	53.3342696	-6.2447098	False	car_rental
9	Sixt car hire - Dublin St. Stephens	ChIJyfXGSX8PZ0gRzaj2Oetmrv8	car_rental|point_of_interest|establishment	53.33500220000001	-6.257684600000001	False	car_rental
10	UFODRIVE: 24/7- Car Rental - Dublin City	ChIJq-OXyKIPZ0gR_LWL4U3iYr0	car_rental|point_of_interest|establishment	53.3394269	-6.2635717	True	car_rental
11	Sixt Car Hire - Dublin City Centre	ChIJcdFdZIYOZ0gRxWTefgk5CN8	car_rental|point_of_interest|establishment	53.35186299999999	-6.258666999999999	False	car_rental
