	name	place_id	types	geometry.location.lat	geometry.location.lng	opening_hours.open_now	price_level	formatted_address	main_type
0	Fowl Play	ChIJc3MQCpQOZ0gRTvlNcxGlBgY	restaurant|food|point_of_interest|establishment	53.3408354	-6.2448136	True			restaurant
1	The Square Ball	ChIJIXTsCZQOZ0gR6s1qQEruDus	meal_takeaway|bar|restaurant|food|point_of_interest|establishment	53.34085399999999	-6.2448584	True	2.0		restaurant
2	Musashi Hogan PL Noodle & Sushi bar	ChIJxcjQ95MOZ0gRqzdjufL7vwI	restaurant|food|point_of_interest|establishment	53.340926	-6.2450577	True	2.0		restaurant
3	Sukhothai grand canal	ChIJ673V0jUPZ0gRzbXi6cfet7o	restaurant|food|point_of_interest|establishment	53.3408893	-6.245149	True			restaurant
4	The Lido	ChIJa2PUtpMOZ0gRdx9PSgeM958	meal_takeaway|restaurant|food|point_of_interest|establishment	53.3429963	-6.2444715	True	1.0		restaurant
5	Grain & Grill	ChIJLQcBqZMOZ0gR8xJ978fRciE	restaurant|food|point_of_interest|establishment	53.34316829999999	-6.243443200000001	True			restaurant
6	Apache Pizza Pearse Street	ChIJIbknqJMOZ0gRHP6lTXBV9Rs	meal_delivery|meal_takeaway|restaurant|food|point_of_interest|establishment	53.34315	-6.243147899999999	True	2.0		restaurant
7	Maldron Hotel Pearse Street	ChIJT8-5qJMOZ0gR8iaUXa9uwUE	lodging|bar|restaurant|food|point_of_interest|establishment	53.3431924	-6.2433998	True			restaurant
8	Starry Night Chinese Takeaway	ChIJLfctFpMOZ0gRLZuYHI7yemU	meal_delivery|meal_takeaway|restaurant|food|point_of_interest|establishment	53.3429063	-6.241469500000001	True	1.0		restaurant
9	Padraig Pearse	ChIJPQlHtJMOZ0gRBzrEs5Jsu6k	bar|restaurant|food|point_of_interest|establishment	53.34335000000001	-6.244716299999999	True	2.0		restaurant
10	L'Enoteca di Napoli Wine bar & Restaurant	ChIJzWfYRZEOZ0gRpVS4EBuhpMw	bar|restaurant|food|point_of_interest|establishment	53.3412984	-6.2468266	False	2.0		restaurant
11	Pizza di Napoli - Fenian Street	ChIJacZL1EEPZ0gRd0YEMR6b_r4	meal_delivery|meal_takeaway|restaurant|food|point_of_interest|establishment	53.3412799	-6.246902199999999	True			restaurant
12	Staple Foods	ChIJiXrwQZQOZ0gRw5gR8Ggl6cs	cafe|restaurant|food|health|point_of_interest|store|establishment	53.3395068	-6.2436905	False	2.0		restaurant
13	Mamma Mia Deli Café Bar	ChIJ0bmlQZQOZ0gRNM68uNgIIyc	restaurant|food|point_of_interest|establishment	53.33943799999999	-6.243693199999999	True	2.0		restaurant
15	Dosa Dosa	ChIJaWwvmbVzZ0gRAtjsZsJ8IIw	meal_takeaway|restaurant|food|point_of_interest|establishment	53.3395124	-6.241727399999999	True			restaurant
16	Griolladh Grilled Cheese & Tasty Beverage Truck	ChIJ-SNXF9gPZ0gR32AtDfr36Qg	restaurant|food|point_of_interest|establishment	53.33953520000001	-6.241595900000001				restaurant
17	The Pig and Heifer Pearse	ChIJ3aKnLJIOZ0gRSYXoJ49oy7s	cafe|restaurant|food|point_of_interest|store|establishment	53.343382	-6.246218	False	2.0		restaurant
18	Sapori Di Pizza Dublin	ChIJsU6pPzsPZ0gRoTcEgYsM8b0	restaurant|food|point_of_interest|establishment	53.3436475	-6.246107099999999	True			restaurant
20	Osteria Lucio	ChIJKS3MzpQOZ0gRTEe8QvvCgfo	restaurant|food|point_of_interest|establishment	53.3400984	-6.239301600000001	True	2.0	The Malting Tower, Grand Canal Quay, Clanwilliam Terrace, Dublin 2, D02 DW90	restaurant
21	Zambrero Pearse Street	ChIJDTtAm5EOZ0gRXUNPYRM3MJ4	meal_takeaway|restaurant|food|point_of_interest|establishment	53.34355739999999	-6.247451799999999	True	1.0	Trinity Central, Pearse St, Dublin 2, D02 R590	restaurant
22	The Ginger Man	ChIJHcGRIZEOZ0gR26u5wKDjMsM	bar|restaurant|food|point_of_interest|establishment	53.341896	-6.24955	True	2.0	39-40 Fenian St, Dublin 2, D02 KD51	restaurant
23	Charlotte Quay	ChIJ_cjpjOwOZ0gRNw9mKAoUybs	restaurant|food|point_of_interest|establishment	53.34293770000001	-6.2369903	True	2.0	Charlotte Quay Dock, Millennium Tower, Ground Floor, Ringsend Rd, Dublin 4	restaurant
24	Ninja Sushi Japanese Restaurant	ChIJ7VTe3_sPZ0gRzVhs44ff7Ig	restaurant|food|point_of_interest|establishment	53.344433	-6.2488687	True		3 & 4 Lombard St E, Dublin 2, D02 VY96	restaurant
25	Kennedy's Pub & Restaurant	ChIJQ1k55pAOZ0gRvHhymPkdAr8	bar|restaurant|food|point_of_interest|establishment	53.3421354	-6.2507085	True	2.0	30-32 Westland Row, Dublin 2, D02 DP70	restaurant
26	herbstreet	ChIJzU9jGe0OZ0gRBBBj8snPCIk	restaurant|cafe|food|point_of_interest|establishment	53.3443851	-6.2376548	True	2.0	9 Hanover Quay, Dublin Docklands, Dublin 2, D02 KP20	restaurant
27	Milano	ChIJuVlrKoMOZ0gRKp-on9gvBQ4	restaurant|food|point_of_interest|establishment	53.344316	-6.237025	True	2.0	Unit L1, Longboat Quay, Grand Canal Harbour, Dublin, D02 EC52	restaurant
28	Chai-Yo	ChIJvy09L5YOZ0gRY6UO1WVPulo	meal_delivery|meal_takeaway|restaurant|food|point_of_interest|establishment	53.3357333	-6.2477667	True	2.0	100 Baggot Street Lower, Dublin, D02 X048	restaurant
29	Restaurant Patrick Guilbaud	ChIJwWaz2ZkOZ0gRimydVTwK0xA	restaurant|food|point_of_interest|establishment	53.3383937	-6.2530018	True	4.0	21 Merrion St Upper, Dublin 2, D02 KF79	restaurant
30	East Restaurant	ChIJ3XA1DI0OZ0gRbJ4xKXmmRhU	restaurant|food|point_of_interest|establishment	53.3480107	-6.243399699999999	True		Excise Walk, International Financial Services Centre, Dublin 1, D01 X4C9	restaurant
31	F.X. Buckley Steakhouse Pembroke Street	ChIJDf-bhJcOZ0gResnyBU1Andc	restaurant|food|point_of_interest|establishment	53.3372824	-6.2518492	True	3.0	1a Pembroke Street Lower, Dublin, D02 VH93	restaurant
32	Pearl Brasserie	ChIJpzqF0JkOZ0gRjLKm5bIW-Gs	restaurant|food|point_of_interest|establishment	53.3383413	-6.2531829	True	3.0	20 Merrion St Upper, Dublin 2, D02 XH98	restaurant
33	Cirillo's	ChIJMwI01ZkOZ0gRn_BNiibtux0	restaurant|food|point_of_interest|establishment	53.337785	-6.252651999999999	True	2.0	140 Baggot Street Lower, Dublin 2, D02 HT73	restaurant
34	Matt The Thresher	ChIJIUhhj5cOZ0gRlJ9fSj8HMI8	restaurant|food|point_of_interest|establishment	53.3369563	-6.2517008	True	2.0	31-32 Pembroke Street Lower, Dublin 2, D02 Y523	restaurant
35	The Garden Room	ChIJwcqd15kOZ0gRV2CT_4-Sxzo	restaurant|food|point_of_interest|establishment	53.3382026	-6.253331699999999	True		21-24 Merrion St Upper, Dublin 2	restaurant
36	The Pig's Ear	ChIJkRYZaZoOZ0gR9CvuTvkeY5M	restaurant|food|point_of_interest|establishment	53.3421312	-6.2549834	True	3.0	4 Nassau St, Dublin, D02 YX74	restaurant
37	Asador	ChIJSYkHjOoOZ0gReO83DgQ39AU	restaurant|food|point_of_interest|establishment	53.3346448	-6.2437429	True	2.0	Victoria House, 1 Haddington Rd, Dublin 4, D04 HY58	restaurant
38	Angelina's Restaurant and Deli	ChIJNwNBDr4OZ0gRDmuA_q9DuMw	meal_takeaway|cafe|restaurant|food|point_of_interest|store|establishment	53.3346226	-6.2440307	True	2.0	55 Percy Pl, Dublin, D04 X0C1	restaurant
39	Juniors Deli & Cafe	ChIJQVDrZ-oOZ0gRrTBqPbnxAgs	restaurant|food|point_of_interest|establishment	53.33729719999999	-6.2340722	True	2.0	2 Bath Ave, Dublin 4	restaurant
40	MV Cill Airne	ChIJNX4Sc_IOZ0gRKXf7YMLf-zs	bar|restaurant|food|point_of_interest|establishment	53.3470707	-6.2379601	True	2.0	Quay 16, N Wall Quay, North Dock, Dublin 1	restaurant
41	Hugo's Restaurant	ChIJi4F-uJkOZ0gRIrVxIrbllfg	restaurant|food|point_of_interest|establishment	53.3384943	-6.2544694	True	2.0	6 Merrion Row, Dublin 2, D02 T657	restaurant
42	Courtyard Restaurant	ChIJvxPSqZoOZ0gRrVpCaoX64BU	restaurant|food|point_of_interest|establishment	53.34499779999999	-6.2544027	True	2.0	Pearse St, Dublin 2	restaurant
43	The Chophouse	ChIJa9pqZOoOZ0gRoHOTop8_ano	bar|restaurant|food|point_of_interest|establishment	53.33701	-6.234100199999999	True	3.0	2 Shelbourne Rd, Dublin 4, D04 V4K0	restaurant
