	name	place_id	types	geometry.location.lat	geometry.location.lng	opening_hours.open_now	formatted_address	main_type
0	No-H2O Car Wash Dawson Carpark	ChIJy_d6gZkOZ0gRxVhHnjvSt9Y	car_wash|point_of_interest|establishment	53.340283	-6.256617000000001	False		car_wash
1	Crystal Valet - Dawson Street	ChIJ_61suPAPZ0gRDsC0Cb2S7nI	car_wash|parking|point_of_interest|establishment	53.340128	-6.256913399999999	False		car_wash
2	Car valeting Crystalvalet Stephen's green	ChIJN9xxE80PZ0gRmgR84u8FBck	car_wash|point_of_interest|establishment	53.3439	-6.262027499999999			car_wash
3	Crystal Valet - RCSI St. Stephens Green	ChIJj7qjKZwOZ0gRnq7TbSnpWwE	car_wash|parking|point_of_interest|establishment	53.3392862	-6.262435899999999	False		car_wash
4	Crystal Valet - Trinity Street Dublin 2	ChIJeRgmJ0EPZ0gRmPVT8U_srNs	car_wash|parking|point_of_interest|establishment	53.34382179999999	-6.262444699999999	False		car_wash
5	Crystal Valet - St Stephens Green	ChIJUTQv5l0PZ0gRRFPQSpoPIlA	car_wash|parking|point_of_interest|establishment	53.3398649	-6.2632316	False		car_wash
6	Express Car Wash Drury Street	ChIJnxUD95wOZ0gRr0HVphQ-wmU	car_wash|point_of_interest|establishment	53.3416684	-6.263882299999999	False		car_wash
7	Jet Crystal Car Wash St Stephen's Green Shopping Centre	ChIJ36dG82kPZ0gRZtJ8wN5_yig	car_wash|point_of_interest|establishment	53.3398747	-6.263785100000001	False		car_wash
8	C.N.S VALETING	ChIJ8RX-6tUPZ0gRKuHxTQ_E6pQ	car_wash|point_of_interest|establishment	53.3498053	-6.260309700000001			car_wash
9	No-H2o--Red Long Term Car Park, Dublin Airport	ChIJ_adyR3YPZ0gRU4LX7WpfyIk	car_wash|parking|point_of_interest|establishment	53.3498053	-6.260309700000001	True		car_wash
10	Express Car Wash Arnotts Car Park	ChIJcY7dq78PZ0gRCsn95_HTk2I	car_wash|point_of_interest|establishment	53.3487891	-6.262352400000001	False		car_wash
11	AutoSpa	ChIJfwiNwqwPZ0gR-LhqbjQ3MvQ	car_wash|parking|car_repair|point_of_interest|establishment	53.35345959999999	-6.247492799999999	False		car_wash
12	No-H2o--Ilac Shopping Centre	ChIJz74I27IPZ0gRN392Moet0P4	car_wash|point_of_interest|establishment	53.34981149999999	-6.262724700000001	False		car_wash
13	Car Park Jervis Street | APCOA	ChIJtRUY8IIOZ0gRsMvOXLA6FHo	car_wash|parking|point_of_interest|establishment	53.3472386	-6.2661928	True		car_wash
14	Crystal Valet - Jervis Street	ChIJNTgcEOYPZ0gRGIlESmxinC4	car_wash|parking|point_of_interest|establishment	53.3473033	-6.266194200000001	False		car_wash
15	Provalet Dublin	ChIJI4Zb4MUPZ0gRO7eBTtofco0	car_wash|point_of_interest|establishment	53.3473878	-6.2661279			car_wash
16	Crystal Valet - The Spire Car Park	ChIJQ2Z8Z4YOZ0gRgV-dYNuSeSI	car_wash|parking|point_of_interest|establishment	53.3523111	-6.258429100000001	False		car_wash
17	Crystal Clean	ChIJ5SF_U4IOZ0gREDm_okGiqXU	car_wash|point_of_interest|establishment	53.3472142	-6.2664431	False		car_wash
18	Car Wash Jervis Shopping Centre Car Park level 2	ChIJ1enAVIwPZ0gRuWNz4jklbjY	car_wash|point_of_interest|establishment	53.34800609999999	-6.266233199999999	False		car_wash
19	No-H2O car wash	ChIJDflq4IMOZ0gRjGbypcUn0jw	car_wash|point_of_interest|establishment	53.350608	-6.26414	False		car_wash
20	Eco Car Wash	ChIJW_mMAoIOZ0gREDv76fvu_3o	car_wash|point_of_interest|establishment	53.3503823	-6.2687639	False	Parnell Car Park, Loftus Lane, Dublin 1	car_wash
21	Shine Xpress	ChIJfeucooEOZ0gREHQDSEBSUr0	car_wash|point_of_interest|establishment	53.3519205	-6.267019599999999	False	Dominick Ln, Rotunda, Dublin	car_wash
22	Posh wash	ChIJX-2hixMNZ0gRnMbjpo6_CHI	car_wash|point_of_interest|establishment	53.3254087	-6.2656471	False	Rathmines, Dublin, D06 W5Y2	car_wash
