	name	place_id	types	geometry.location.lat	geometry.location.lng	opening_hours.open_now	formatted_address	main_type
0	Electrician Dublin	ChIJocSemZEOZ0gRIzABsLAcwTc	electrician|point_of_interest|establishment	53.34393359999999	-6.248305799999999			electrician
1	Excise Electrical Limited	ChIJL40GTpYOZ0gR9cZtO9VHb3Y	electrician|point_of_interest|establishment	53.33728000000001	-6.2484235			electrician
2	ibc design	ChIJV95ZEJgOZ0gRym73werbciw	electrician|general_contractor|point_of_interest|establishment	53.3358471	-6.2533085	False		electrician
3	Atom Alarms and Security Ltd Dublin	ChIJdYvYGZgOZ0gRN3lZa2VaE-Y	electrician|point_of_interest|establishment	53.33532769999999	-6.253203099999999	True		electrician
4	MMK Electricians	ChIJjbLNoaIOZ0gRBaS7XmGJjO0	electrician|point_of_interest|establishment	53.3348277	-6.2535288	False		electrician
5	Secure Facility Services	ChIJRYlqIztzZ0gRtCPgmuIL2Pk	electrician|plumber|electronics_store|general_contractor|point_of_interest|store|establishment	53.33980020000001	-6.2395825	False		electrician
6	AutoGate Ireland	ChIJPavfJpUOZ0gR7W2cbi0nXZ8	electrician|park|general_contractor|point_of_interest|establishment	53.3391129	-6.2394884	False		electrician
7	Sky Electrical | Gate Automation Dublin Ireland	ChIJ05ytgDUPZ0gR7gbwldY11pY	electrician|electronics_store|point_of_interest|store|establishment	53.3360196	-6.263609	False		electrician
8	Capital Electrical	ChIJ-WsW1M4PZ0gRIYRwfL4P6eA	electrician|point_of_interest|establishment	53.33259549999999	-6.252702099999999			electrician
9	Bowhill Developments Ltd	ChIJT6AbH4MOZ0gRG8WcGetj9iI	electrician|plumber|general_contractor|point_of_interest|establishment	53.3467462	-6.2648218	False		electrician
10	Mark O'Toole Electrical	ChIJ8WAUDJIPZ0gRZ9ADxTD0T9M	electrician|point_of_interest|establishment	53.3498093	-6.260273900000001			electrician
11	Handyman For A Day, Dublin	ChIJuzfhMqMOZ0gRmJ_26i6mVUg	electrician|general_contractor|point_of_interest|establishment	53.33160059999999	-6.251184599999998			electrician
12	FCS Services Ltd (Dublin)	ChIJM10oWAIPZ0gRM5jBw3QQ5Bo	electrician|point_of_interest|establishment	53.3353754	-6.265457	False		electrician
13	Property Repair Guys 365 Ltd	ChIJ57ct7K8OZ0gRtQcKb6MZ0g4	painter|electrician|plumber|roofing_contractor|general_contractor|point_of_interest|establishment	53.33091969999999	-6.244775499999999	True		electrician
14	McIvor Electrical	ChIJ1atmtGYPZ0gRi52hlYYDQHI	electrician|point_of_interest|establishment	53.33401240000001	-6.2370384	True		electrician
15	Hamilton's Auto Electrics Ltd	ChIJ80Qk4R8MZ0gR1-0WSKZN4A4	electrician|car_repair|point_of_interest|establishment	53.3331289	-6.265586	False		electrician
16	Albert Electrical and Building Services	ChIJO3HibO4OZ0gRF23R8edw77U	electrician|general_contractor|point_of_interest|establishment	53.3454985	-6.2321008	False		electrician
17	Handyman Dublin - DMS | Danny Maintenence Service	ChIJXxXl_r4PZ0gRa8o3d9cfFNo	electrician|plumber|general_contractor|point_of_interest|establishment	53.3544724	-6.248161	False		electrician
18	Redmond Electrical	ChIJgQlyivQOZ0gRpQp0aqw0TXM	electrician|point_of_interest|establishment	53.35316580000001	-6.2385131	False		electrician
19	HEW Services	ChIJAeqa0AEPZ0gR5etCk-aJHco	electrician|point_of_interest|establishment	53.3419582	-6.226864599999999			electrician
20	H.E. Electrical LTD.	ChIJS8YhtOoOZ0gRk9EPWBff2h4	electrician|point_of_interest|establishment	53.330402	-6.228853	True	Alexandra House, The Sweepstakes, Ballsbridge, Dublin 4., Co. Dublin	electrician
21	Dublin Electrical Services | Emergency Electrician Dublin	ChIJW6JZSLF_XUgRE1X8yVJjkeo	electrician|point_of_interest|establishment	53.34885269999999	-6.279043499999999	True	4C Smithfield Market Block C, Smithfield, Dublin 7	electrician
22	My Electrician Dublin | Registered Electricians 24/7	ChIJUU_KlLEOZ0gRuYq01jBvOgk	electrician|point_of_interest|establishment	53.3202296	-6.2467286	True	11 Hollybank Avenue Lower Saint Peter's, Dublin, D06 E6W7	electrician
23	Coller Electrical Services	ChIJ8xe9j1sNZ0gRBu6EFEJg7yI	electrician|point_of_interest|establishment	53.3370947	-6.2880381	True	4 St Margaret's Terrace, Ushers, Dublin 8, D08 N5Y8	electrician
24	Emergency Electricians Dublin	ChIJN5v8VKcPZ0gRCXUL2gC0a2s	electrician|point_of_interest|establishment	53.3656054	-6.2586467	True	221 Chapelgate, Drumcondra, Dublin	electrician
25	Electricians Dublin	ChIJnVBOcRQMZ0gR3mm93JvyOxg	electrician|point_of_interest|establishment	53.3281666	-6.2877351	True	103 Aughavanagh Road, Crumlin, Dublin, D12 X279	electrician
26	Storage Heater Repairs Dublin	ChIJ6xAU928PZ0gR93kK0z-f-XI	electrician|point_of_interest|establishment	53.31663950000001	-6.243834400000001	True	37 Rowan Hall, Millbrook Village, Milltown, Co. Dublin	electrician
27	Stainthorpe Electrical	ChIJXz7b6dgNZ0gR1jd-35vC_iY	electrician|point_of_interest|establishment	53.3344325	-6.3057155	True	Slievenamon Rd, Drimnagh, Dublin	electrician
28	AP Haslam Ltd.	ChIJkauzi2gMZ0gR1Rd5sgtzyeo	electrician|point_of_interest|establishment	53.3293903	-6.3053491	False	14 Sunshine Industrial Estate, Crumlin, Dublin 12	electrician
29	Eamon O'Leary Electrical Services	ChIJ8xN5VacPZ0gRN4u1ddvF4dM	electrician|point_of_interest|establishment	53.3597618	-6.1945014		14 Clontarf Park, Clontarf, Dublin, D03 Y090	electrician
30	Ian Christie Electrical	ChIJ9z3fqqAPZ0gRyxIAYCdppHM	electrician|point_of_interest|establishment	53.3599982	-6.1942262	False	20 Clontarf Park, Clontarf East, Dublin, D03 X659	electrician
31	DunneElec Electrical Contractors	ChIJld1Mh08NZ0gRkSGCfKevyL4	electrician|point_of_interest|establishment	53.37240079999999	-6.2937995	False	Unit 44A Moyle Rd, Dublin Industrial Estate, Dublin, D11 CA34	electrician
32	Fuse Electrical	ChIJw5mI0lwJZ0gRR7iwaMNmfkY	electrician|home_goods_store|general_contractor|point_of_interest|store|establishment	53.2955836	-6.2430729	False	41a Rosemount Estate, Dundrum, Dublin, D14 D1P6	electrician
