	name	place_id	types	geometry.location.lat	geometry.location.lng	opening_hours.open_now	formatted_address	price_level	main_type
0	L. Mulligan	ChIJOfnkb5wOZ0gR_plWWd3kxBg	liquor_store|point_of_interest|store|establishment	53.34200989999999	-6.261487899999998	False			liquor_store
1	The Corkscrew Wine Merchants	ChIJcUbZEJwOZ0gRL9d-eDr5JRw	liquor_store|point_of_interest|store|establishment	53.3408937	-6.261424000000001	False			liquor_store
2	Centra Wicklow Street	ChIJ21Kwf5sOZ0gRRityU_tCpcM	convenience_store|atm|finance|liquor_store|food|point_of_interest|store|establishment	53.3429078	-6.260538599999999	True			liquor_store
3	Bottle House	ChIJn8h5HQIPZ0gRetGuatb3L_A	liquor_store|point_of_interest|store|establishment	53.3430202	-6.259026	True			liquor_store
4	Celtic Whiskey Shop & Wines on the Green	ChIJ79A3WZkOZ0gRcrBh7ESKkmk	liquor_store|point_of_interest|store|establishment	53.3398838	-6.2588113	False			liquor_store
5	Craft Central	ChIJdboUNZwOZ0gRFeO_92xW4T0	convenience_store|cafe|liquor_store|food|point_of_interest|store|establishment	53.34115660000001	-6.2636191	True			liquor_store
6	Loose Canon Cheese and Wine	ChIJ8TQ2JX4PZ0gRLlZ59OLlTCM	bar|liquor_store|food|point_of_interest|store|establishment	53.34252489999999	-6.263322899999999	True			liquor_store
7	James J. Fox, Dublin	ChIJwbXZQZsOZ0gRy2AMflaUoME	liquor_store|point_of_interest|store|establishment	53.3442039	-6.259570099999999	True			liquor_store
8	Centra Dame Street	ChIJr4Cn2JwOZ0gRfoQ6AmFgCEo	convenience_store|atm|meal_takeaway|finance|liquor_store|restaurant|food|point_of_interest|store|establishment	53.3442673	-6.2645161	True			liquor_store
9	Boutique Wines	ChIJy2yflJwOZ0gRKHHnh0pDYNg	grocery_or_supermarket|liquor_store|food|point_of_interest|clothing_store|store|establishment	53.3440585	-6.2650636	False			liquor_store
10	The Temple Bar Distillery Store	ChIJWyftLYMOZ0gRSEoes9oUS5k	liquor_store|point_of_interest|store|establishment	53.3454907	-6.2640239	True			liquor_store
11	Centra Wellington Quay	ChIJxW__SYMOZ0gRtIWFihfFqWc	convenience_store|atm|finance|liquor_store|food|point_of_interest|store|establishment	53.34583620000001	-6.263094199999999	True			liquor_store
12	SuperValu Aston Quay	ChIJWe1KDYUPZ0gRg6WT84RQNxE	supermarket|bakery|grocery_or_supermarket|liquor_store|food|point_of_interest|store|establishment	53.346482	-6.260373700000001	True			liquor_store
13	Petite Winery - Wine Shop Dublin	ChIJ254SzZ8OZ0gRWouAbkJw464	liquor_store|food|point_of_interest|store|establishment	53.3369696	-6.265387899999999	True			liquor_store
14	Chapter & Verse	ChIJ100blZgOZ0gRQf4twQ_9mK8	cafe|laundry|convenience_store|book_store|meal_takeaway|liquor_store|restaurant|food|point_of_interest|store|establishment	53.3359147	-6.257089799999999	True			liquor_store
15	Centra Westland Row	ChIJgcaZA5EOZ0gR2cmTaBYI8Ow	convenience_store|atm|meal_takeaway|finance|liquor_store|restaurant|food|point_of_interest|store|establishment	53.34283180000001	-6.249769399999999	True			liquor_store
16	Wines Direct	ChIJb-XYnIMOZ0gRZ-sUQiGdCeY	liquor_store|food|point_of_interest|store|establishment	53.348237	-6.262888999999999	False			liquor_store
17	Frank's Natural Wine Shop	ChIJia8YAqAOZ0gR3MzxNibsl0c	cafe|liquor_store|food|point_of_interest|store|establishment	53.3350808	-6.2649259	True			liquor_store
18	Listons Food Store	ChIJBSkL8J8OZ0gR49U_YJe8iJg	grocery_or_supermarket|meal_takeaway|liquor_store|restaurant|food|point_of_interest|store|establishment	53.3349079	-6.2649503	False			liquor_store
19	Centra Camden St	ChIJEe-NAqAOZ0gRaSVuDSzq1s0	convenience_store|atm|finance|liquor_store|food|point_of_interest|store|establishment	53.33439809999999	-6.265063199999998	True			liquor_store
20	Molloys Liquor Store Liberties	ChIJp-OHMiQMZ0gR2_5wCxPRN1o	liquor_store|point_of_interest|store|establishment	53.3417882	-6.2753313	True	125 Francis St, The Liberties, Dublin 8, D08 V820		liquor_store
21	Mitchell & Son Wine Merchants	ChIJ9YAL1Y0OZ0gRXmpAe7b8nZg	liquor_store|food|point_of_interest|store|establishment	53.3482031	-6.2481635	False	The Chq Building, International Financial Services Centre, Dublin 1, D01 FC89		liquor_store
22	Craft Whisky Club	ChIJayfAiiMMZ0gRKwqj_vA0_Pg	liquor_store|point_of_interest|store|establishment	53.3391648	-6.275782899999999		13-17 Newmarket, The Liberties, Dublin, D08 TH6C		liquor_store
23	Kane/McCartney's SuperValu Talbot Street	ChIJgcas1Y4OZ0gRqdVoyUeYksQ	supermarket|bakery|grocery_or_supermarket|liquor_store|food|point_of_interest|store|establishment	53.3511749	-6.2526364	True	27-32 Talbot St, Mountjoy, Dublin 1, D01 A6F4	2.0	liquor_store
24	Talbot Off Licence	ChIJL_1lK48OZ0gRx3cQyjMVD24	liquor_store|point_of_interest|store|establishment	53.35121170000001	-6.2524554	True	33 Talbot St, Mountjoy, Dublin, D01 P782		liquor_store
25	Redmonds Off Licence	ChIJXf0VOaEOZ0gR3Ri-ZsIijk8	liquor_store|point_of_interest|store|establishment	53.3301907	-6.259862999999999		25 Ranelagh Rd, Ranelagh, Dublin		liquor_store
26	Parnell Street Off Licence	ChIJV359JpsPZ0gR4QSnI4QNcA4	liquor_store|point_of_interest|store|establishment	53.35364999999999	-6.2593998	True	144 Parnell St, Rotunda, Dublin, D01 DC98		liquor_store
27	Baggot Street Wines and Whiskey	ChIJi5Pv2L0OZ0gRrywlfckIMwg	liquor_store|food|point_of_interest|store|establishment	53.3334938	-6.244682699999999	True	17 Baggot Street Upper, Ballsbridge, Dublin 4, D04 V4P5		liquor_store
28	Guinness's Porter Stout Ale Porter Liquor Tea Coffee & Wine	ChIJQS34KIAOZ0gRc0zLPR9ls0s	liquor_store|cafe|food|point_of_interest|store|establishment	53.3536072	-6.2696999		Dominick Street Upper, Phibsborough, Dublin 7, D07 E138		liquor_store
29	O'Neills Off Licence	ChIJh1r5hhcMZ0gRCgtyBxAh90g	liquor_store|point_of_interest|store|establishment	53.3315714	-6.2794734	True	184 S Circular Rd, Saint Catherine's, Dublin, D08 PX53		liquor_store
30	Next Door Off License South Circular Road	ChIJubDPsroNZ0gRicKNeDjLxIs	liquor_store|point_of_interest|store|establishment	53.3315728	-6.2795239	True	184 S Circular Rd, Merchants Quay, Dublin, D08 PX53		liquor_store
31	Wasabi Market	ChIJ-0wmlZEPZ0gRLcpWe8d5Vc0	liquor_store|point_of_interest|store|establishment	53.3576342	-6.2633832	True	2 Dorset Street Lower, Rotunda, Dublin 1		liquor_store
32	Redmonds of Ranelagh	ChIJgSCUwaUOZ0gR-CtoS3QAU_s	liquor_store|food|point_of_interest|store|establishment	53.3255116	-6.2554304	True	25 Ranelagh, Dublin		liquor_store
33	IQ Option Dublin	ChIJd_WsA28NZ0gR2yafOb6jry4	liquor_store|point_of_interest|store|establishment	53.3255113	-6.265299		137 Bóthar Ráth Maonais Íochtarach, Rathmines, Dublin 6, D06 V3Y8		liquor_store
34	Summerhill off licence	ChIJKxLpNOsPZ0gRPI0SJHjidYc	liquor_store|point_of_interest|store|establishment	53.3570249	-6.249408499999999	True	1 Summerhill Parade, Ballybough, Dublin 1, D01 PN32		liquor_store
35	DrinkStore	ChIJ7xniji0MZ0gRee5pbSVKJXc	liquor_store|food|point_of_interest|store|establishment	53.3515161	-6.283288499999999	True	87 Manor St, Stoneybatter, Dublin 7, D07 NH48		liquor_store
36	Carolan's Corner Off-Licence & Night Cap	ChIJ310D4HwOZ0gRJo1epiyznCY	liquor_store|food|point_of_interest|store|establishment	53.3591097	-6.259200799999999	True	Ardilaun House, N Circular Rd, Northside, Dublin		liquor_store
