	name	place_id	types	geometry.location.lat	geometry.location.lng	opening_hours.open_now	price_level	formatted_address	main_type
0	Bite of Life	ChIJG3mMwSYMZ0gR1yG0KjH01_8	bakery|restaurant|food|point_of_interest|store|establishment	53.3407121	-6.2721148	True			bakery
1	Rosie's Cafe	ChIJ6xTypCcMZ0gRTOlfnfdUzxU	bakery|cafe|food|point_of_interest|store|establishment	53.3429475	-6.2700041	False	1.0		bakery
2	Queen of Tarts Cow's Lane	ChIJl109WZ0OZ0gRdOnlfZCaVqE	bakery|cafe|restaurant|food|point_of_interest|store|establishment	53.3443324	-6.268948799999999	False	2.0		bakery
3	The Bakery Temple Bar	ChIJmSAV-ScMZ0gRA2gwQfsP_jo	bakery|food|point_of_interest|store|establishment	53.34461599999999	-6.268542099999999	False	1.0		bakery
4	Bakeology Treats (Argentinian Bakery)	ChIJA1IjePsNZ0gRLeIwWKybL_k	bakery|food|point_of_interest|store|establishment	53.3401428	-6.2782332	False			bakery
6	Nanda's Cakes	ChIJzX3vzlIPZ0gR4oODWKmRzBA	bakery|food|point_of_interest|store|establishment	53.3413824	-6.264910999999999				bakery
7	Scéal Bakery	ChIJYZX3i-UNZ0gR93UNVajYGw0	bakery|food|point_of_interest|store|establishment	53.3370118	-6.273514599999999	False			bakery
8	Mannings Bakery	ChIJxSY3FCUMZ0gRwwris--3o-0	bakery|meal_takeaway|cafe|restaurant|food|point_of_interest|store|establishment	53.3428011	-6.279738699999999	False	2.0		bakery
9	Manger	ChIJV6k7dygPZ0gRpBc2lYEB4Eo	bakery|food|point_of_interest|store|establishment	53.342186	-6.264631699999999				bakery
10	Pepper Pot Bakery	ChIJz2mjg6kPZ0gRNi9kxJGwUbo	bakery|food|point_of_interest|store|establishment	53.34257949999999	-6.2639156	False			bakery
12	Soup Dragon	ChIJC1v0o4IOZ0gR1Qb75AnCTZg	bakery|food|point_of_interest|store|establishment	53.34628510000001	-6.268098200000001	False	1.0		bakery
13	Camerino Bakery	ChIJQdY3nIIOZ0gR8bJLJCwsKwU	bakery|cafe|food|point_of_interest|store|establishment	53.34683920000001	-6.2683841	False	1.0		bakery
14	Ladurée	ChIJY_OXi5wOZ0gRJdAMoGix4Ac	bakery|grocery_or_supermarket|home_goods_store|food|point_of_interest|store|establishment	53.3429897	-6.262198700000001	True	2.0		bakery
15	La Croissanterie	ChIJr6uaIJwOZ0gRtVYwhBy2gTs	bakery|food|point_of_interest|store|establishment	53.3400242	-6.2620696	False			bakery
16	Traditional Asian Cake	ChIJpeYPzmgPZ0gRh3lr3Rk-A9w	bakery|food|point_of_interest|store|establishment	53.33998620000001	-6.261820500000001	True			bakery
17	Haoliland Cakes	ChIJ--P6MIMOZ0gR243x1yCU8dQ	bakery|food|point_of_interest|store|establishment	53.34579429999999	-6.2637459	False			bakery
18	The Pieman Cafe	ChIJB_GQtZwOZ0gR0dVDFZ9AX94	cafe|bakery|restaurant|food|point_of_interest|store|establishment	53.3451313	-6.262912199999999	True	1.0		bakery
19	Milk & Cookies	ChIJwUSSnJsOZ0gRwr-hHIZtoD4	bakery|food|point_of_interest|store|establishment	53.3418807	-6.261127399999999				bakery
20	Green & Baker	ChIJmehwnZ4OZ0gR8-srcsOqM8I	bakery|food|point_of_interest|store|establishment	53.3397261	-6.261326200000001	False		Unit 101E, St Stephen's Green, Dublin 2	bakery
21	VeV Bakery	ChIJL36R0TsNZ0gRYlcCjt2W61M	bakery|food|point_of_interest|store|establishment	53.34669299999999	-6.2800603	True		42 Arran Quay, Smithfield, Dublin 7, D07 F751	bakery
