	name	place_id	types	geometry.location.lat	geometry.location.lng	opening_hours.open_now	formatted_address	main_type
0	Saint James's Hospital - Mortuary	ChIJ-eXBUzgMZ0gRnqURUsu5DYE	hospital|health|point_of_interest|establishment	53.3415073	-6.2923485			hospital
1	Central Pathology Laboratory	ChIJby4cVjgMZ0gRT9k1cW8uUpI	hospital|health|point_of_interest|establishment	53.34092440000001	-6.292337799999999			hospital
2	St. Smaes Hospital Laboratory	ChIJJ7cdEO0NZ0gRP321arV2Scg	hospital|health|point_of_interest|establishment	53.3411262	-6.2926951			hospital
3	National Blood Centre	ChIJ_ZNt3zgMZ0gRzu8Rh6WViNY	hospital|health|point_of_interest|establishment	53.33953119999999	-6.2911952	False		hospital
4	Saint James's Hospital - Boiler Room	ChIJSxpiWjgMZ0gRSGSH-njBoYk	hospital|health|point_of_interest|establishment	53.3415632	-6.293001900000001			hospital
5	St James's Private Radiology	ChIJI1ey7kYMZ0gRlfrYlzvk04Q	hospital|doctor|health|point_of_interest|establishment	53.3406755	-6.293234500000001	False		hospital
6	Gynaecology clinic	ChIJTWT18zgMZ0gR_kj5S4R1114	hospital|health|point_of_interest|establishment	53.340702	-6.293264999999999	False		hospital
7	Saint Luke,s Oncology Centre@ St. @James h	ChIJAQa7OrQNZ0gRt8Rkg4jwuYI	hospital|health|point_of_interest|establishment	53.3406485	-6.2934957	True		hospital
8	St James Hospital 2	ChIJ--89fUcMZ0gRKpHgPHN294A	hospital|health|point_of_interest|establishment	53.34063399999999	-6.293517	True		hospital
9	Willow Grove Mental Health Adolescent Unit	ChIJ4zgABtENZ0gRQkO0Veo0u0U	hospital|health|point_of_interest|establishment	53.34382189999999	-6.2922961	True		hospital
10	St Lukes at St James	ChIJU-5VtB4NZ0gRw6yTixyZcRY	hospital|health|point_of_interest|establishment	53.3404979	-6.29368			hospital
11	Hospital 5 Unit 2	ChIJcWHCEogNZ0gRPZsKm6UHq6E	hospital|health|point_of_interest|establishment	53.3391469	-6.2922384			hospital
12	St James's Hospital - Department of Psychiatry	ChIJkYa_vzgMZ0gR0a3RonvdweQ	hospital|health|point_of_interest|establishment	53.3396238	-6.293280999999999			hospital
13	Misa Building St James Hospital	ChIJVa37xzgMZ0gRSoZMkjeAnac	hospital|health|point_of_interest|establishment	53.3390472	-6.2931849			hospital
14	St Patrick's University Hospital, Dublin	ChIJ6zHtjzoMZ0gRjz4UVe12XEY	hospital|health|point_of_interest|establishment	53.3441292	-6.293131099999999			hospital
15	St. James Medical Centre	ChIJdTFTDTgMZ0gRNmFp6sdM2rg	hospital|health|point_of_interest|establishment	53.3423269	-6.2948783	False		hospital
16	Saint James's Hospital - EHB Office	ChIJeeEAhjgMZ0gRDtBJ334E6x0	hospital|health|point_of_interest|establishment	53.34074739999999	-6.294943999999999			hospital
17	National Centre for Pharmacoeconomics	ChIJDRKlcDgMZ0gRsXD0il_dKcw	hospital|local_government_office|health|point_of_interest|establishment	53.3416	-6.295098	False		hospital
18	Saint James Hospital	ChIJ4fAyA4MNZ0gRthTn743LT8o	hospital|health|point_of_interest|establishment	53.33981219999999	-6.295020399999999			hospital
19	Foundling Hospital	ChIJx4hCikcMZ0gRf66HznXMEn4	hospital|health|point_of_interest|establishment	53.3420424	-6.295784299999999			hospital
20	Children's Hospital Group	ChIJBwFJbrYNZ0gRlQmewFb84O0	hospital|health|point_of_interest|establishment	53.3381874	-6.293195499999999		St Anthony's Rd, Saint James' (part of Phoenix Park), Dublin 8	hospital
21	New Children's Hospital (Main Office)	ChIJNceMSj8MZ0gRgDJEp70l1c0	hospital|health|point_of_interest|establishment	53.3381678	-6.293446100000001	False	31 James's Walk, Rialto, Dublin 8, D08 E191	hospital
22	St James's Hospital	ChIJe9ijRjgMZ0gRxm3aoBkMbTY	hospital|health|point_of_interest|establishment	53.339302	-6.296513099999999	True	James St, Saint James' (part of Phoenix Park), Dublin 8, D08 NHY1	hospital
