	name	place_id	types	geometry.location.lat	geometry.location.lng	opening_hours.open_now	formatted_address	main_type
0	The Square Barbers	ChIJE-vb55AOZ0gRAU3kAjNOd5U	hair_care|health|point_of_interest|establishment	53.3419019	-6.250753599999999	False		hair_care
1	Sensius Laser Hair Removal Leinster St	ChIJf-uh0OQPZ0gRsQ6pJ4EwEZE	beauty_salon|hair_care|health|point_of_interest|establishment	53.34191389999999	-6.253869300000001	False		hair_care
2	Beauty With Marie	ChIJG_iNu5AOZ0gR6cmP-qp6Pm0	hair_care|point_of_interest|establishment	53.3414709	-6.2521763			hair_care
3	Ailesbury Hair Loss Clinic	ChIJG_iNu5AOZ0gR4UTWH8hrxME	beauty_salon|hair_care|hospital|doctor|health|point_of_interest|establishment	53.3414709	-6.2521763	False		hair_care
4	Great Barbers	ChIJmZfIYIUOZ0gRjI9RYyFbj7M	hair_care|health|point_of_interest|establishment	53.3457174	-6.255255099999999	False		hair_care
5	Good Place Beauty Studio	ChIJX_r0RaYPZ0gRphBtqEtt2eA	beauty_salon|hair_care|point_of_interest|establishment	53.34566980000001	-6.255329400000001	False		hair_care
6	Aline Belo Concept	ChIJXRK3zDMPZ0gRKZeX8K2BUW4	hair_care|point_of_interest|establishment	53.3458209	-6.2553573	False		hair_care
7	The Kings Head Barber Shop	ChIJY-6_05MOZ0gRyyp4EMIT4A4	hair_care|health|point_of_interest|establishment	53.3432689	-6.246190200000001	False		hair_care
8	Barbers	ChIJjSEBefAPZ0gRPEXZ6JytFNU	hair_care|health|point_of_interest|establishment	53.3430547	-6.246170799999999			hair_care
9	The Barber's Room	ChIJZyS5KoUOZ0gRmU2tcLikc78	hair_care|health|point_of_interest|establishment	53.34571	-6.257691599999998	False		hair_care
10	Ruth's Hair Salon	ChIJb0KytZMOZ0gRU8uN5qhJauM	beauty_salon|hair_care|point_of_interest|establishment	53.34340459999999	-6.2451021			hair_care
11	Thérapie Clinic - Laser Hair Removal | Botox® | Lip Fillers | CoolSculpting®	ChIJg1ZSM5oOZ0gRj5htKHSXAEw	beauty_salon|hair_care|health|point_of_interest|establishment	53.3413689	-6.2571023	False		hair_care
12	House of Colour Academy	ChIJ8Zsu1oQOZ0gRb26_QzmLoYw	hair_care|point_of_interest|establishment	53.346095	-6.2579686	False		hair_care
13	Kazumi Hair Salon	ChIJISjK0PEMZ0gRS-xdVlp6HDg	beauty_salon|hair_care|point_of_interest|establishment	53.341026	-6.256978000000001	False		hair_care
14	The Laser Clinic Dublin	ChIJVXeLu5sOZ0gRHGP1kN3Rzsc	beauty_salon|hair_care|health|point_of_interest|establishment	53.34193419999999	-6.2583278	True		hair_care
15	Paul Hair Studio	ChIJhTkb0psOZ0gRqUsXM-oKjuc	hair_care|point_of_interest|establishment	53.3408685	-6.2571391	False		hair_care
