	name	place_id	types	geometry.location.lat	geometry.location.lng	opening_hours.open_now	formatted_address	main_type
0	Bargaintown	ChIJSWG3sy8MZ0gRX7yQV0c1kqs	furniture_store|home_goods_store|point_of_interest|store|establishment	53.3475113	-6.281193699999998	False		furniture_store
1	Michael Connell Antiques	ChIJT0N1pyYMZ0gRHG709SlmzaM	furniture_store|home_goods_store|point_of_interest|store|establishment	53.34037	-6.2806916	True		furniture_store
2	Tadhg O'Sullivan Furniture	ChIJwbnU9i0MZ0gR2v1HKluKHE0	furniture_store|home_goods_store|point_of_interest|store|establishment	53.35056599999999	-6.283130999999999			furniture_store
3	Finestyle Furniture	ChIJFcdDfToMZ0gR60E32FJsR3g	furniture_store|home_goods_store|point_of_interest|store|establishment	53.34283120000001	-6.2765219	False		furniture_store
4	zoompod	ChIJF6hPFcoNZ0gRQscWXKC3t_4	furniture_store|home_goods_store|point_of_interest|store|establishment	53.3447225	-6.275897599999999	False		furniture_store
5	Optimum Interiors	ChIJLU-Ykz4OZ0gRWMLQdaQYFZA	furniture_store|home_goods_store|point_of_interest|store|establishment	53.33631719999999	-6.287804199999999	False		furniture_store
6	O'Sullivan Antiques	ChIJ0Qf9JiQMZ0gRd8GWkyjKUoA	furniture_store|home_goods_store|point_of_interest|store|establishment	53.3410682	-6.274521699999999	False		furniture_store
7	Michael Mortell	ChIJ-w59oCYMZ0gRyc1_wADadsQ	art_gallery|furniture_store|home_goods_store|point_of_interest|store|establishment	53.3405485	-6.274102200000001	False		furniture_store
8	SmartPods.ie	ChIJTdqnfhcNZ0gRK199YvfXzWY	furniture_store|home_goods_store|point_of_interest|store|establishment	53.344819	-6.272987	False		furniture_store
9	O'Reilly & Son	ChIJmbi4ph8MZ0gRZ-89-Sf9NuM	furniture_store|home_goods_store|point_of_interest|store|establishment	53.33661499999999	-6.2781322			furniture_store
10	Yeats Country Antiques	ChIJAxXoqyYMZ0gR4ruPhjOiEi0	furniture_store|home_goods_store|point_of_interest|store|establishment	53.3396674	-6.273666100000001	False		furniture_store
11	Johnston Antiques	ChIJ6zHtjzoMZ0gR39mVzt4hbRs	furniture_store|home_goods_store|point_of_interest|store|establishment	53.3395503	-6.273523999999999	False		furniture_store
12	Table Lighting Chair	ChIJVzJRez0MZ0gRoj5ml3oKQas	furniture_store|home_goods_store|point_of_interest|store|establishment	53.3340669	-6.282371700000001	True		furniture_store
13	Mia's Upholstery	ChIJ3TU7ZT0MZ0gRSECg5eZh2wg	furniture_store|home_goods_store|point_of_interest|store|establishment	53.334045	-6.282330499999999	False		furniture_store
14	Bene Office Furniture Ireland Limited	ChIJD4oWmk4MZ0gRCfBcQh6wNIQ	furniture_store|home_goods_store|general_contractor|point_of_interest|store|establishment	53.3478751	-6.306263499999999	False		furniture_store
15	Hugh Jordan Catering Supplies Shop	ChIJgcYxDycMZ0gR_jQwno4i8ds	furniture_store|home_goods_store|point_of_interest|store|establishment	53.34170400000001	-6.269906899999999	False		furniture_store
16	Radius Office	ChIJK20hLSIMZ0gR06MOyP2QTjE	furniture_store|home_goods_store|point_of_interest|store|establishment	53.3365802	-6.2740811	True		furniture_store
17	Moitif	ChIJ2fiKpGMNZ0gRFON51BXtxcA	furniture_store|home_goods_store|point_of_interest|store|establishment	53.3365714	-6.2740005	True		furniture_store
18	Radius Office	ChIJPwF6zTIMZ0gRzmVT-8mMjkk	furniture_store|home_goods_store|point_of_interest|store|establishment	53.35584349999999	-6.287521400000001	False		furniture_store
19	Find	ChIJXfqK-icMZ0gRH6jl6mq3wag	furniture_store|home_goods_store|point_of_interest|store|establishment	53.344473	-6.268725599999999	False		furniture_store
20	Pieces.ie	ChIJQbipTiQPZ0gRy2Vk-iAwd2g	furniture_store|home_goods_store|point_of_interest|store|establishment	53.343224	-6.2641833	True	14 South Great George's Street, Dublin, D02 NP63	furniture_store
21	Decor	ChIJSabE0Z8OZ0gRDIfec9tW478	furniture_store|art_gallery|home_goods_store|point_of_interest|store|establishment	53.3368681	-6.2653589	True	14 Wexford St, Dublin, D02 E048	furniture_store
22	Jacobsen Back Chairs	ChIJzQ8BTUgPZ0gRzgNmlyBy14o	furniture_store|home_goods_store|point_of_interest|store|establishment	53.3353729	-6.2657573	False	77 Camden Street Lower, Saint Kevin's, Dublin, D02 XE80	furniture_store
23	BoConcept Arnotts	ChIJ1fH3ZREPZ0gR4i61euH59Mo	furniture_store|home_goods_store|general_contractor|point_of_interest|store|establishment	53.3496573	-6.261058999999999	True	10-15 Henry St, North City, Dublin 1, D01 C3Y9	furniture_store
24	Elegant Furniture And Kitchens	ChIJNUh89GgMZ0gRjmWMZZZpKBA	furniture_store|home_goods_store|point_of_interest|store|establishment	53.32929	-6.3048008	False	Sunshine Industrial Estate, 3 Crumlin Rd, Crumlin, Dublin 12, D12 E863	furniture_store
25	Home Street Home	ChIJp-izsA8MZ0gRnV6G09e4BZc	furniture_store|home_goods_store|general_contractor|point_of_interest|store|establishment	53.319622	-6.279033999999999	False	294 Harold's Cross Rd, Harold's Cross, Terenure, Dublin, D6W KH74	furniture_store
26	Fuse Finds - Vintage & Retro Furniture Design Shop	ChIJ67glfb0OZ0gRSOy4GDp6NrI	furniture_store|home_goods_store|general_contractor|point_of_interest|store|establishment	53.335095	-6.249203	False	Lad Ln, Dublin 2	furniture_store
27	Wow Interiors	ChIJicu5zXcMZ0gR9mqShQ6UK5I	furniture_store|home_goods_store|point_of_interest|store|establishment	53.31808059999999	-6.3003168	True	388 Clonard Road, Kimmage, Dublin, D12 K2K8	furniture_store
28	Bargaintown	ChIJG46bKMMNZ0gRFg6ppjanVFQ	furniture_store|home_goods_store|point_of_interest|store|establishment	53.373352	-6.289988	False	Unit 8 Slaney Rd, Dublin Industrial Estate, Dublin, D11 E285	furniture_store
29	Neptune by Global VIllage	ChIJd31d5XYMZ0gRmw-3e4lW8f4	furniture_store|home_goods_store|point_of_interest|store|establishment	53.3151514	-6.298807500000001	False	Neptune by Global Village Unit 10 KCR Industrial Estate, Ravensdale Dr, Kimmage, Dublin, D12 VH93	furniture_store
30	CA Design	ChIJlaEu2-sOZ0gR-OTyXFzFHiE	furniture_store|home_goods_store|point_of_interest|store|establishment	53.3210111	-6.2564569	False	23 Dunville Ave, Ranelagh, Dublin 6, D06 C902	furniture_store
31	Design KNB - Designer Furniture Store	ChIJX2lVm20PZ0gRMlsAF2mfBvU	furniture_store|home_goods_store|point_of_interest|store|establishment	53.36713469999999	-6.255872699999999	True	Glenarm Ave, Botanic, Dublin 9, D09 F977	furniture_store
32	Des Higginbotham Interiors	ChIJB_Zxcl4OZ0gRolQbUfJazdM	furniture_store|home_goods_store|point_of_interest|store|establishment	53.3620625	-6.2419502	False	92 Fairview Strand, Ballybough, Dublin, D03 K7X8	furniture_store
33	Bargaintown	ChIJRa39ZJMMZ0gRhelf84s_Ks0	furniture_store|home_goods_store|point_of_interest|store|establishment	53.328547	-6.340930999999999	False	Royal Liver Retail Park, Naas Rd, Dublin, D12 DX0K	furniture_store
34	Dolphin Furniture Sales	ChIJ1XSNXugMZ0gRILx99ozv9-4	furniture_store|home_goods_store|point_of_interest|store|establishment	53.3354396	-6.3471506	False	Kylemore Rd, Kylemore, Ballyfermot, Co. Dublin, D10 AE67	furniture_store
35	Karls Furniture	ChIJZ3s3NeoMZ0gRQWF9KRWZun0	furniture_store|home_goods_store|point_of_interest|store|establishment	53.334244	-6.346681	False	Kylemore Rd, Kylemore, Dublin 10	furniture_store
36	Kian Furniture	ChIJ17ZLJpnnXEgRvz9Ygn0Xzvs	furniture_store|home_goods_store|general_contractor|point_of_interest|store|establishment	53.3347002	-6.3470342	False	Unit B, Kylemore factory est, Kylemore Rd, Ballyfermot, Co. Dublin	furniture_store
37	Diamond Furniture	ChIJw9GKPoQOZ0gRoPqICBrwvdU	furniture_store|home_goods_store|point_of_interest|store|establishment	53.3234534	-6.338472299999999	True	3-4 E.P Mooney Retail Park, Longmile Road, Walkinstown, Dublin 12, Dublin	furniture_store
38	Beds4Less	ChIJJVtUYpQMZ0gRAvIdWdBoWSA	furniture_store|home_goods_store|point_of_interest|store|establishment	53.3337666	-6.3490341	False	Unit 4 Kylemore Park S, Kylemore, Dublin, D10 EF44	furniture_store
39	Rightstyle Furniture Ballyfermot	ChIJoZ0wYt0MZ0gRQxKBA_-RaAU	furniture_store|home_goods_store|point_of_interest|store|establishment	53.3424196	-6.3524052	False	294 Ballyfermot Rd, Drumfinn, Dublin 10, D10 X578	furniture_store
40	The Back Shop	ChIJhYxPi5wOZ0gRMBuxRp-ujrY	furniture_store|home_goods_store|point_of_interest|store|establishment	53.3378124	-6.2660835	False	12 Redmond's Hill Saint Peter's, Dublin	furniture_store
41	The Curio Shop	ChIJB_onBxkMZ0gRpluHpq7k3aY	furniture_store|home_goods_store|point_of_interest|store|establishment	53.3305133	-6.2749451	False	42a Clanbrassil Street Upper, Harold's Cross, Dublin	furniture_store
42	The Be d Gallery	ChIJa7ysOsYNZ0gRRc2rDzGqNJk	furniture_store|home_goods_store|point_of_interest|store|establishment	53.3589633	-6.27335	True	38-39 Phibsborough Rd, Phibsborough, Dublin 7, D07 KVX8	furniture_store
44	Inreda Design Shop	ChIJ2eXbT5gOZ0gRElpofR44XdU	furniture_store|home_goods_store|point_of_interest|store|establishment	53.33715369999999	-6.254550699999999	False	15 Ely Pl, Dublin 2, D02 Y192	furniture_store
45	Home Stores	ChIJI4CFNo8OZ0gRZkXbyv7tDHM	furniture_store|home_goods_store|point_of_interest|store|establishment	53.3509581	-6.2535452	False	22 Talbot St, Mountjoy, Dublin 1, D01 DW02	furniture_store
46	Minima	ChIJISjK0PEMZ0gRVp4R6_YEi_Y	furniture_store|home_goods_store|general_contractor|point_of_interest|store|establishment	53.3440151	-6.234528099999999	False	The Waterfront, Hanover Quay, Dublin Docklands, Dublin	furniture_store
47	DiningTables.ie - Dining Tables & Dining Sets Shop	ChIJoYPn7OkMZ0gRzToNFjP8H4k	furniture_store|home_goods_store|point_of_interest|store|establishment	53.3357154	-6.352695199999999	True	5 Kylemore Park N, Kylemore, Dublin, D10 TX39	furniture_store
48	S.Alternative Furniture	ChIJ16eB6G8OZ0gRwTN8jNMnc2g	furniture_store|home_goods_store|point_of_interest|store|establishment	53.32755539999999	-6.3555967	False	26a John F Kennedy Rd, Bluebell, Dublin	furniture_store
49	Complete Furniture	ChIJTf7MoOGZXUgRVOtGmTameIg	furniture_store|home_goods_store|point_of_interest|store|establishment	53.3877853	-6.2979609	False	11 Main St, Finglas East, Dublin 11, D11 H21V	furniture_store
