	name	place_id	types	geometry.location.lat	geometry.location.lng	opening_hours.open_now	main_type
0	ER Building Group LTD	ChIJ6cZBcU4MZ0gRkOonHC60Kuw	painter|electrician|plumber|roofing_contractor|general_contractor|point_of_interest|establishment	53.3420819	-6.296338200000001	False	plumber
1	DublinPlumber.ie	ChIJofu370AMZ0gRnzPGge5pdAk	plumber|general_contractor|point_of_interest|establishment	53.336203	-6.296794999999999	True	plumber
2	Marc Company	ChIJxzXMnTgNZ0gRagN0reAd_qk	plumber|point_of_interest|establishment	53.3354306	-6.2788051		plumber
3	Boiler Repairs Dublin	ChIJL_wF7SIMZ0gRmIrNWvQzG5U	plumber|point_of_interest|establishment	53.33521399999999	-6.277569299999999	False	plumber
4	Blocked Drains Cleared From €50 1 Hour Response 24/7 365 Days a Year	ChIJfzAf0SMMZ0gRGQ5cLAfnBM0	plumber|point_of_interest|establishment	53.337131	-6.274007999999999	True	plumber
5	Aokplumbingandheating	ChIJUZPyhWwNZ0gR6xM3btWp02M	plumber|point_of_interest|establishment	53.3510094	-6.272245700000001	False	plumber
6	D8-plumbing	ChIJoSiH0JwNZ0gRjZ9P3Jy4H4s	plumber|point_of_interest|establishment	53.33367779999999	-6.2777841	True	plumber
7	Emergency Plumber Dublin - 24 Hour Plumber	ChIJs8k1O50OZ0gRkDs0VDKk0eg	plumber|car_repair|home_goods_store|general_contractor|point_of_interest|store|establishment	53.3442943	-6.265448699999999	True	plumber
8	Bowhill Developments Ltd	ChIJT6AbH4MOZ0gRG8WcGetj9iI	electrician|plumber|general_contractor|point_of_interest|establishment	53.3467462	-6.2648218	False	plumber
9	Alpha Drain	ChIJaZ8Uax8MZ0gRQ39NuIGRHxU	plumber|point_of_interest|establishment	53.3328753	-6.2703747	True	plumber
10	Water Networks	ChIJaZ8Uax8MZ0gRiYjiEeWsIfs	plumber|natural_feature|point_of_interest|establishment	53.3328753	-6.2703747	True	plumber
11	Find and Fix Leak Detection.ie	ChIJgRyKL2MMZ0gRQCfRmecaxuE	plumber|point_of_interest|establishment	53.3296405	-6.2998735	True	plumber
12	Dublin pumps	ChIJeRDNBpYOZ0gRnGtgTdZR040	plumber|point_of_interest|establishment	53.3438106	-6.261885299999999	True	plumber
13	Dublin Area Plumbers	ChIJnfKVmpwOZ0gRRlboOHEcEDw	plumber|general_contractor|point_of_interest|establishment	53.3434739	-6.261631599999999	True	plumber
14	Total Insurance Work Limited	ChIJ8ciqaVoLZ0gRKJd-IlMTDq8	plumber|home_goods_store|general_contractor|point_of_interest|store|establishment	53.3293668	-6.2747609	True	plumber
15	Total Emergency Plumbing	ChIJfXp4LUYNZ0gR590_SX-BBd0	plumber|point_of_interest|establishment	53.3293664	-6.274760799999999	True	plumber
16	Compass Engineering & Facility Management	ChIJU_8RUQwNZ0gR7jn4UUAq87E	plumber|point_of_interest|establishment	53.3293664	-6.274760799999999	True	plumber
17	Taskmaster.ie	ChIJ357kjd0iZ0gR8xmkS9WfVJs	plumber|general_contractor|point_of_interest|establishment	53.3360196	-6.263609399999999	True	plumber
18	K.Fitzpatrick Plumbing & Heating	ChIJEbxiA2cNZ0gR38NgO_YjCKY	plumber|point_of_interest|establishment	53.3375791	-6.315318499999999	False	plumber
