	name	place_id	types	geometry.location.lat	geometry.location.lng	opening_hours.open_now	price_level	formatted_address	main_type
0	Safari Childcare Hanover Street	ChIJJ6eNWJIOZ0gRiUY8Ak01skQ	school|point_of_interest|establishment	53.3445583	-6.2427897	False			school
1	Giraffe Childcare National College Ireland	ChIJkUCxlI4OZ0gRzmBOtGD0Jq4	school|point_of_interest|establishment	53.348579	-6.242185399999999	False	2.0		school
2	National College of Ireland Car Park Entrance	ChIJi1Y0JI0OZ0gRLKKE0WEgx_E	school|point_of_interest|establishment	53.348754	-6.242324699999999				school
3	Town Park	ChIJdW_59pEOZ0gRRtz6dPZlFa4	school|point_of_interest|establishment	53.34534480000001	-6.247423200000001				school
4	Charles Dublin	ChIJmz-F24wOZ0gR-_0mIardUY0	school|point_of_interest|establishment	53.3490985	-6.2425587				school
5	Giraffe Childcare IFSC	ChIJkUCxlI4OZ0gROdeVW48vPsQ	school|point_of_interest|establishment	53.3491289	-6.2445766	False	2.0		school
6	Atlantic Language Dublin	ChIJDTr3k5EOZ0gRXmTtPibZnBU	school|point_of_interest|establishment	53.3445597	-6.2480972	False			school
7	school	ChIJv1ROkpEOZ0gRZ5MFsPRskMo	school|point_of_interest|establishment	53.34455269999999	-6.248094600000001				school
8	Turner Swim Dublin - One to One Adult Swimming Lessons Dublin	ChIJ_-2hJO0OZ0gRba09XsBnECQ	school|health|point_of_interest|establishment	53.344508	-6.238707				school
9	St Laurence O'Tooles National School	ChIJi9tGaYsOZ0gRec8PPgez5rg	school|point_of_interest|establishment	53.3501184	-6.242270700000001	False			school
10	Salta	ChIJdUXZU-UPZ0gR30Q8QP_jjYE	secondary_school|school|point_of_interest|establishment	53.3444797	-6.238303200000001	True			school
11	L o Tooles	ChIJsWZiUoIPZ0gRL3m78dfTPSQ	school|point_of_interest|establishment	53.3502777	-6.242113499999999				school
12	Trinity Centre for Creative Technologies	ChIJ5axCZ44OZ0gRodh-trftM24	school|point_of_interest|establishment	53.34833030000001	-6.2495992				school
13	المدرسة السعودية دبلن	ChIJYVaeiYwOZ0gR5WZOSW9T5Es	school|point_of_interest|establishment	53.3507779	-6.2447478	False			school
14	City Quay National School	ChIJvQF60o8OZ0gRVRKU1YqfemA	school|point_of_interest|establishment	53.3466957	-6.250986300000001				school
15	The Not Said Clinic	ChIJSQcMxewOZ0gRxlDG5T309b4	school|health|point_of_interest|establishment	53.342941	-6.238908000000001	True			school
16	St Laurence O'Toole Girls & Boys national School	ChIJi9tGaYsOZ0gRA8TfkQXmKks	primary_school|school|point_of_interest|establishment	53.3509344	-6.241923999999999				school
17	St Marys Creche & Preschool	ChIJzYEEy48OZ0gR5UawxPiWEHA	school|point_of_interest|establishment	53.34712249999999	-6.251316399999999				school
18	CBS Westland Row	ChIJ6fclDJEOZ0gRzisvsLddjNo	school|point_of_interest|establishment	53.342825	-6.248949000000001	False			school
20	Christian Brothers Secondary School	ChIJoXbPAJEOZ0gREy8rdKVXKiY	secondary_school|school|point_of_interest|establishment	53.3435229	-6.2506346			Westland Row, Dublin	school
21	Special Primary School	ChIJQxYtp4wOZ0gR5TnuZWkyJnA	primary_school|school|point_of_interest|establishment	53.3515849	-6.2428633			46 Seville Pl, North Dock, Dublin 1, D01 K227	school
22	St Laurence O'Toole's CBS, Senior Boys' Primary School	ChIJCdFaaYsOZ0gRQ0sOkLfvQvc	school|point_of_interest|establishment	53.3528815	-6.2444631	False		1 Seville Pl, North Dock, Dublin	school
23	Frances King School of English	ChIJ1_nAuZYOZ0gRv4gq6cgiqns	school|point_of_interest|establishment	53.340175	-6.247353899999999	False		26 Merrion Square N, Dublin 2	school
24	Hedley Park Montessori School	ChIJZ8JlHJcOZ0gRIiZCJ44GAVI	primary_school|school|point_of_interest|establishment	53.3387782	-6.2496275	False		67 Merrion Square S, Dublin 2, D02 CK11	school
25	St. Laurance O'Toole Special School	ChIJCW90-YoOZ0gRSmRKPrdeQnA	school|point_of_interest|establishment	53.3548757	-6.2457455			Aldborough Parade, North Dock, Dublin 1, D01 K3V8	school
26	Central Model Senior School	ChIJk9HI1oUOZ0gR_bdtt5XD5KU	school|point_of_interest|establishment	53.3513517	-6.255823599999999			Marlborough St, North City, Dublin	school
27	New Quay School	ChIJwy66x4UOZ0gRBcblgD_Sjqs	school|point_of_interest|establishment	53.34987150000001	-6.2572852			Marlborough Pl, North City, Dublin	school
28	Lourdes Parish Schools	ChIJ3SkujIgOZ0gRLALMG4Zv510	school|point_of_interest|establishment	53.3534277	-6.254723299999999			2-4 Gloucester Place Lower, Mountjoy, Dublin 1, D01 P7R9	school
29	Holy Child Pre-School	ChIJJy6krIkOZ0gR5JPUPBTSL4o	school|point_of_interest|establishment	53.3543861	-6.2527744			Lourdes Parish Schools, Sean Macdermott Street Lower, Mountjoy, Dublin, D01 F228	school
30	Rutland National School	ChIJuc2vjYgOZ0gRR0wQUD6YutU	school|point_of_interest|establishment	53.353384	-6.2548585			Sean Macdermott Street Lower, Mountjoy, Dublin	school
31	School	ChIJebkD88oPZ0gRQHi91pH735w	school|point_of_interest|establishment	53.34796619999999	-6.2602113			Bachelors Way, North City, Dublin	school
32	Scoil Chaitríona Baggot Street	ChIJodC9I5YOZ0gRrqpJaeuSMR4	school|primary_school|point_of_interest|establishment	53.3362052	-6.246258399999999			59 Baggot Street Lower, Dublin 2, D02 H365	school
33	The School of Jewellery Ireland	ChIJ04wGLssNZ0gR4LGLlJXAKng	school|point_of_interest|establishment	53.3409544	-6.2586932	False		19 Anne St S, Dublin 2, D02 YY83	school
34	Catherine McAuley National School	ChIJryKkD5YOZ0gRDoJRmavAXQk	school|point_of_interest|establishment	53.3359389	-6.2458258			Baggot Street Lower, Dublin 2	school
35	St. Vincent's Infant Boys' School	ChIJU63MeIoOZ0gRKVrOesg_YR4	school|point_of_interest|establishment	53.3570709	-6.246926699999999			William St N, Dublin, D01 VW63	school
