	name	place_id	types	geometry.location.lat	geometry.location.lng	price_level	opening_hours.open_now	formatted_address	main_type
0	karag	ChIJAdtd4XAPZ0gRkvdGbrmnY5M	bakery|food|point_of_interest|store|establishment	53.3487027	-6.2460722				bakery
1	Offbeat Donut Co.	ChIJFXcqpJEOZ0gRYu0Hh_zT4AQ	bakery|cafe|restaurant|food|point_of_interest|store|establishment	53.3436981	-6.249242	2.0	True		bakery
2	Bread 41	ChIJ166U_osPZ0gR_ApafUK35JQ	bakery|meal_takeaway|cafe|restaurant|food|point_of_interest|store|establishment	53.3447509	-6.251778600000001	2.0	False		bakery
3	Seven Wonders	ChIJbwMYgI4OZ0gRj2gxkYP-ZQU	cafe|bakery|food|point_of_interest|store|establishment	53.3485373	-6.243753300000001	2.0	False		bakery
4	The Natural Bakery	ChIJDzFW44wOZ0gRXO-qiI7azrU	bakery|food|point_of_interest|store|establishment	53.3494009	-6.2437142	2.0	False		bakery
5	Offbeat Donut Co.	ChIJbXckZoUOZ0gRjq7RB0ioX-k	bakery|cafe|food|point_of_interest|store|establishment	53.34732210000001	-6.255548099999999	1.0	True		bakery
6	URBAN KITCHEN Foods	ChIJ6YO2wSkQZ0gRQ3PF0R5aSXY	bakery|food|point_of_interest|store|establishment	53.3426958	-6.242537499999999		False		bakery
7	Kane/McCartney's SuperValu Talbot Street	ChIJgcas1Y4OZ0gRqdVoyUeYksQ	supermarket|bakery|grocery_or_supermarket|liquor_store|food|point_of_interest|store|establishment	53.3511749	-6.252636399999999	2.0	True		bakery
8	Hong Kong Taste Bakery & Bubble Tea 港式麵包珍珠奶茶專門店	ChIJBUf2g38PZ0gR6oMqHvVxJGg	bakery|cafe|food|point_of_interest|store|establishment	53.3481889	-6.256608600000001		True		bakery
9	Hansel and Gretel Bakery & Patisserie	ChIJR6JruJAOZ0gR0sSVbhbH_38	bakery|food|point_of_interest|store|establishment	53.3412988	-6.251653599999999	2.0	False		bakery
10	Tea Time Express	ChIJTbU8SY8OZ0gR05aixGJJGBo	store|bakery|food|point_of_interest|establishment	53.3507652	-6.2540798		False		bakery
11	Il Valentino Bakery & Cafe	ChIJL1QDtuwOZ0gRfJVnkJJTu9k	bakery|cafe|food|point_of_interest|store|establishment	53.3426175	-6.239008900000001	2.0	True		bakery
12	Loops & Coffee Dublin	ChIJ9ZHmq2oPZ0gRmIm4C4_sPOo	bakery|food|point_of_interest|store|establishment	53.3502346	-6.256609800000001		True		bakery
13	Dublin City Bakery	ChIJpWQdrYUOZ0gR8eUPtihVE0c	bakery|food|point_of_interest|store|establishment	53.3488067	-6.258402200000001		False		bakery
14	The Rolling Donut Kiosk	ChIJWR-N-IQOZ0gR_tW9bWighfE	bakery|food|point_of_interest|store|establishment	53.3481833	-6.2590269		True		bakery
15	Offbeat Donut Co.	ChIJnVapD2wPZ0gRhFhRJczgTIY	bakery|food|point_of_interest|store|establishment	53.34561129999999	-6.259466300000001		True		bakery
16	The Rolling Donut	ChIJTdGgEJ4OZ0gRdeoQUzBVfd0	bakery|food|point_of_interest|store|establishment	53.3475569	-6.259839299999999		True		bakery
17	SuperValu Aston Quay	ChIJWe1KDYUPZ0gRg6WT84RQNxE	supermarket|bakery|grocery_or_supermarket|liquor_store|food|point_of_interest|store|establishment	53.346482	-6.260373700000001		True		bakery
18	Ann's Bakery	ChIJNQdSMIQOZ0gR_DnDHYvTQFY	bakery|food|point_of_interest|store|establishment	53.3500554	-6.259288199999999	1.0	False		bakery
19	Bretzel	ChIJx6hDOIoPZ0gRnUBW6kewIg4	bakery|food|point_of_interest|store|establishment	53.3418413	-6.2589769		True		bakery
20	Haoliland Cakes	ChIJ--P6MIMOZ0gR243x1yCU8dQ	bakery|food|point_of_interest|store|establishment	53.34579429999999	-6.2637459		False	37 Wellington Quay, Temple Bar, Dublin, D02 PY79	bakery
21	Conchita Bakery	ChIJo8jE1zAPZ0gRh-wo_MOl9wc	bakery|food|point_of_interest|store|establishment	53.3536504	-6.2592744			143 R803, Rotunda, Dublin	bakery
23	Pepper Pot Bakery	ChIJz2mjg6kPZ0gRNi9kxJGwUbo	bakery|food|point_of_interest|store|establishment	53.3425795	-6.2639156		False	George's Street Arcade, Dublin	bakery
24	Green & Baker	ChIJmehwnZ4OZ0gR8-srcsOqM8I	bakery|food|point_of_interest|store|establishment	53.3397261	-6.261326200000001		True	Unit 101E, St Stephen's Green, Dublin 2	bakery
25	La Croissanterie	ChIJr6uaIJwOZ0gRtVYwhBy2gTs	bakery|food|point_of_interest|store|establishment	53.34002419999999	-6.262069599999999		False	St Stephen's Green, Dublin 2, D02 K597	bakery
