	name	place_id	types	geometry.location.lat	geometry.location.lng	opening_hours.open_now	price_level	formatted_address	main_type
0	Taboo Graphix	ChIJW_RhUgkPZ0gR-QOwXtoGOwc	point_of_interest|clothing_store|store|establishment	53.3460525	-6.254439299999999	False			clothing_store
1	Irish Wedding Packages	ChIJ97JCApEOZ0gRj1jCZ7EU-9Q	florist|point_of_interest|clothing_store|store|establishment	53.3427433	-6.2499964	False			clothing_store
2	Guineys	ChIJsYbzV48OZ0gRTapqqrqAazI	department_store|furniture_store|home_goods_store|point_of_interest|clothing_store|store|establishment	53.3504154	-6.2553803	False			clothing_store
3	Everywoman Prosthesis and Bra Fitting Suite | Mastectomy Clinic Dublin	ChIJPaoySo8OZ0gR2oakpupHEO0	point_of_interest|clothing_store|store|establishment	53.3509386	-6.2539844	False			clothing_store
4	GuillermoGarcia La Maison	ChIJL3jy-mUPZ0gRzS5sF1gsg6o	clothing_store|point_of_interest|store|establishment	53.3478957	-6.2596546	True			clothing_store
5	Trinity Woollen Mills	ChIJj5neVJoOZ0gR_sGlgAMJwDI	clothing_store|point_of_interest|store|establishment	53.34268839999999	-6.257117499999999	True			clothing_store
6	Kevin & Howlin	ChIJKTOsq5sOZ0gR0cMgJ_-jax0	clothing_store|point_of_interest|store|establishment	53.3427988	-6.2576034	False			clothing_store
7	Sweater Shop	ChIJZ-oFHZ4wXUgRCSXGC2f0pQw	clothing_store|point_of_interest|store|establishment	53.3427988	-6.2576034	False			clothing_store
8	Foot Locker	ChIJkbZ0A5wOZ0gRM4H7k1x4EVY	shoe_store|point_of_interest|clothing_store|store|establishment	53.34798509999999	-6.259896999999999	True	2.0		clothing_store
9	Aaa Fashions Limited	ChIJDTdKxIUOZ0gROd8REdkuxaE	clothing_store|point_of_interest|store|establishment	53.3501162	-6.257733099999999				clothing_store
10	Ma Vie	ChIJDTdKxIUOZ0gR-uuyCAZyYEc	point_of_interest|clothing_store|store|establishment	53.3501162	-6.257733099999999	True			clothing_store
11	Moi & Toi	ChIJ1cANw4UOZ0gR_Djiwdf8ICA	point_of_interest|clothing_store|store|establishment	53.350144	-6.2578165	True			clothing_store
12	LUSH Grafton Street	ChIJ_2kEa5sOZ0gR6yHl8h4dLLs	point_of_interest|clothing_store|store|establishment	53.3440003	-6.259411399999999	False			clothing_store
13	Aran Sweater Market	ChIJRZ0Na5sOZ0gRg80zSFOYBsw	clothing_store|point_of_interest|store|establishment	53.34393919999999	-6.259364199999999	True			clothing_store
14	Oxfam Talbot Street	ChIJPegw9KgPZ0gRsxTNQtILNRE	clothing_store|point_of_interest|store|establishment	53.3504415	-6.2573275	True			clothing_store
15	Wallis	ChIJq_bqRoQOZ0gRQjQW5V9pvOY	point_of_interest|clothing_store|store|establishment	53.34880560000001	-6.2596873				clothing_store
16	Reads Design & Print	ChIJW7ovRpoOZ0gRqNB8QR-9icw	point_of_interest|clothing_store|store|establishment	53.3417777	-6.255839600000001	False			clothing_store
17	Aston Formal Wear	ChIJnR3bpIQOZ0gRfDtbrD5q8k8	point_of_interest|clothing_store|store|establishment	53.3464622	-6.2606673	True			clothing_store
18	Dubarry of Ireland	ChIJQXhxQpsOZ0gRDN7VrkQKPes	shoe_store|point_of_interest|clothing_store|store|establishment	53.34418909999999	-6.259832599999999	True			clothing_store
19	Guineys	ChIJXbJ9zIUOZ0gRu6E4Itvf-Zg	department_store|furniture_store|home_goods_store|point_of_interest|clothing_store|store|establishment	53.3500019	-6.258614800000002	True			clothing_store
20	Superdry	ChIJk74eZZsOZ0gRHX1ZK6eXPIU	clothing_store|point_of_interest|store|establishment	53.3436804	-6.2600718	True	3.0	6-10 Suffolk St, Dublin, D02 X854	clothing_store
21	Dunnes Stores	ChIJrZM7OoQOZ0gRao7QUfE4EPU	grocery_or_supermarket|supermarket|food|point_of_interest|clothing_store|store|establishment	53.3500792	-6.2591357	True		23/24 N Earl St, North City, Dublin 1, D01 RD73	clothing_store
22	River Island	ChIJSSnEdpsOZ0gR0wHM8D4JgpA	clothing_store|point_of_interest|store|establishment	53.34305639999999	-6.2597176	True	2.0	102-103 Grafton Street, Dublin 2, D02 KV79	clothing_store
