	name	place_id	price_level	types	geometry.location.lat	geometry.location.lng	opening_hours.open_now	formatted_address	main_type
0	Bel Cibo Aston Quay	ChIJLdznvoQOZ0gR2EXicqHD5D0	2.0	restaurant|food|point_of_interest|establishment	53.34660659999999	-6.260070000000001	True		restaurant
1	Fitzgeralds	ChIJNVQTwIQOZ0gRikXC6r6VR_w	2.0	bar|restaurant|food|point_of_interest|establishment	53.3466745	-6.259630599999999	True		restaurant
2	Happy Endings Street Food	ChIJnxYzRUsPZ0gRzpkGt_oDf78		restaurant|food|point_of_interest|establishment	53.3465031	-6.260541300000001	True		restaurant
3	KFC Dublin	ChIJLfhfxoQOZ0gRHawcQS3Vz7g		meal_takeaway|restaurant|food|point_of_interest|establishment	53.3463734	-6.2594504	True		restaurant
4	Supermac's & Papa John's Westmoreland Street	ChIJO4UVxoQOZ0gR-Y6m_j1rQDI	1.0	meal_takeaway|restaurant|food|point_of_interest|establishment	53.3462835	-6.259400099999999	True		restaurant
5	The Melt	ChIJgdgrzYQOZ0gRd-YmJic94nk		restaurant|food|point_of_interest|establishment	53.3460879	-6.2593757			restaurant
6	TGI Friday's - Temple Bar	ChIJRXMQUoMOZ0gRCybfupY0Yog	2.0	bar|restaurant|food|point_of_interest|establishment	53.34606949999999	-6.259363599999999	True		restaurant
7	Café 1920	ChIJVyv42ygPZ0gRC1hXam4VHMo		restaurant|food|point_of_interest|establishment	53.3460244	-6.259367399999999	True		restaurant
8	The Fleet Hotel Temple Bar	ChIJ3Qr7tYQOZ0gRDTsMx2tzylE		cafe|lodging|bar|restaurant|food|point_of_interest|establishment	53.345875	-6.259792900000001	True		restaurant
9	Flat Iron Grilled Sandwich Co	ChIJ45q6qKMPZ0gRTZ109Z14vMY		restaurant|food|point_of_interest|establishment	53.34683279999999	-6.259222399999999	False		restaurant
10	The Palace Bar	ChIJY8EByoQOZ0gRSMYJds1CQHU	2.0	bar|restaurant|food|point_of_interest|establishment	53.3458948	-6.2596063	True		restaurant
11	Subway	ChIJM0fDw4QOZ0gRdVvIA6AxUd8	1.0	meal_takeaway|restaurant|food|point_of_interest|establishment	53.345893	-6.2594863	True		restaurant
12	Toast Restaurant	ChIJKwqLsYQOZ0gRBsjwofVxUzQ		restaurant|food|point_of_interest|establishment	53.34583589999999	-6.260386100000001	True		restaurant
13	Good World Hong Kong Cafe	ChIJ7Q3wd4wPZ0gRO5yfIydD59g		restaurant|food|point_of_interest|establishment	53.34640590000001	-6.2588702	True		restaurant
14	Charlies 3	ChIJ3f1_z4QOZ0gRHYSUg52nrGM	2.0	restaurant|food|point_of_interest|establishment	53.3462405	-6.258860299999998	True		restaurant
15	Hard Rock Cafe	ChIJvyGeroQOZ0gRsNyM6BMy1T0	3.0	restaurant|food|point_of_interest|establishment	53.34587810000001	-6.2608664	True		restaurant
