	name	place_id	types	geometry.location.lat	geometry.location.lng	opening_hours.open_now	formatted_address	main_type
0	Elite Thai Massage	ChIJFYnXvlcPZ0gRMogEV1hf2rc	spa|health|point_of_interest|establishment	53.3450328	-6.264704799999999	True		spa
1	Melt Natural healing ctr Temple bar	ChIJ68cTjowPZ0gR_Wcok3BDUSA	spa|health|point_of_interest|establishment	53.34497320000001	-6.2634243	False		spa
2	Thai Healing Massage	ChIJGQ8ieYMOZ0gRji1rtOfzg1w	spa|health|point_of_interest|establishment	53.34789099999999	-6.262404999999999	True		spa
4	Late Night Beauty Salon (Temple Bar Branch)	ChIJD3Jpz5wOZ0gRxgXsZhQ0mig	beauty_salon|spa|point_of_interest|establishment	53.3447039	-6.2634516	False		spa
5	Wantha Thai Massage	ChIJIxiPKJ0OZ0gRTqYmGLMfWAw	spa|health|point_of_interest|establishment	53.34468279999999	-6.264926499999998	True		spa
6	The Dawson Spa	ChIJw9-2jioPZ0gRB9C3b8otWAo	spa|point_of_interest|establishment	53.3482143	-6.2656231			spa
7	Liz Brazilian massage	ChIJfeF87AIPZ0gRqnU8XE9ZaDQ	spa|point_of_interest|establishment	53.347807	-6.2611915	True		spa
9	The Boilerhouse	ChIJISLdTp0OZ0gRUcUX-NShILQ	spa|point_of_interest|establishment	53.3446861	-6.266939000000001	True		spa
10	Waldorf-Barbers	ChIJIaqsxYQOZ0gRlpXtLFjMoto	hair_care|spa|health|point_of_interest|establishment	53.34616189999999	-6.2593026	True		spa
12	Solar Spa Express Tanning & Beauty	ChIJozSvkJwOZ0gRrtAzXjkQKSA	beauty_salon|spa|point_of_interest|establishment	53.3436862	-6.2617599	True		spa
13	Elmes Skincare Clinic | Electrolysis Clinic	ChIJ69s6d4IOZ0gRWFOBpeECzc0	beauty_salon|hair_care|spa|health|point_of_interest|establishment	53.3485544	-6.268665899999998	False		spa
14	Essences Day Spa	ChIJlfsHRgYPZ0gR5xjtt70Rjj0	spa|point_of_interest|establishment	53.3432842	-6.2617854	False		spa
15	Estética Solange Rocha	ChIJbxzv5_sPZ0gRD_Jvi-v3DcE	spa|point_of_interest|establishment	53.3432244	-6.2618197	False		spa
16	5th Avenue Boutique Dublin	ChIJhwbSiJwOZ0gRum4S3Gq51nA	beauty_salon|hair_care|spa|health|point_of_interest|establishment	53.34296610000001	-6.261812900000001	True		spa
17	The Wicklow Street Clinic	ChIJn5jAgZwOZ0gRGmcZ_kCuOvo	beauty_salon|hair_care|spa|health|point_of_interest|establishment	53.34313529999999	-6.260683899999999	True		spa
18	The Galligan Beauty and Skin Clinic	ChIJURZCe9sPZ0gR-n6rhA7gEuc	beauty_salon|hair_care|spa|health|point_of_interest|establishment	53.3435174	-6.2595144	False		spa
20	Temple Thai Massage	ChIJk3T9vmQPZ0gRuPd_uuiKSnQ	spa|point_of_interest|establishment	53.3424472	-6.2647263	True	64 South Great George's Street, Dublin	spa
21	Oriental Massage AKMO	ChIJD4tn8q4PZ0gRzssCgn80NVA	spa|point_of_interest|establishment	53.3498092	-6.2602739		North City, Dublin	spa
24	The kingdom spa	ChIJ5fdlpasPZ0gR3wKuX2I-O7o	spa|point_of_interest|establishment	53.350085	-6.257957999999999	True	107 Talbot St, North City, Dublin, D01 F9V4	spa
25	Perola Padilha Clinic & Spa	ChIJlTB8SrAPZ0gRy_6Jhh5Vs6w	spa|health|point_of_interest|establishment	53.3456791	-6.2554222	True	International House, Tara St, Dublin 2, D02 AE33	spa
26	Essence Day Spa	ChIJkVfAI5APZ0gRngZdTtgBOY4	spa|point_of_interest|establishment	53.3458209	-6.2553573		179 Townsend St, Dublin	spa
27	VELVAERE SPA	ChIJEWEcorMNZ0gRWyT6J4_Pwpc	spa|point_of_interest|establishment	53.3413665	-6.268762300000001		Le Pole Square, Chancery Ln, Dublin 8, D08 E0A8	spa
28	Velvaere Spa - Radisson Blu Royal Hotel - Codage Paris	ChIJ6yHNJx8NZ0gROYjcqt5D8Dc	spa|point_of_interest|establishment	53.34120890000001	-6.268667799999999	True	Le Pole Square, Chancery Ln, Dublin 8	spa
30	Rainbow Beauty Spa	ChIJx4j-3SoPZ0gR56b58v57060	beauty_salon|hair_care|spa|point_of_interest|establishment	53.341041	-6.2597926	True	29 Anne St S, Dublin 2, D02 HX88	spa
31	Chiffon Beauty Spa	ChIJkVVG8ZsOZ0gRb7gq-iQ5YJg	beauty_salon|spa|point_of_interest|establishment	53.341041	-6.2597926	True	29 Anne St S, Dublin, D02 HX88	spa
32	The Buff Day Spa	ChIJzc9-HpwOZ0gRXLbOuaeiYC4	spa|point_of_interest|establishment	53.3402111	-6.2612972	True	52 King St S, Dublin 2, D02 HP68	spa
33	Mandala Spa	ChIJC5sP4ZsOZ0gRbpzscBQYGJk	spa|point_of_interest|establishment	53.3404339	-6.2586882		35 Dawson St, Dublin	spa
34	Cloud Nine At The Dawson	ChIJq6pu4ZsOZ0gRDk_VynXOktE	spa|point_of_interest|establishment	53.3403856	-6.258738999999999		35 Dawson St, Dublin	spa
35	Deep Relief Spa	ChIJGypFrqIPZ0gRsCyeYVNsAHM	spa|point_of_interest|establishment	53.3507636	-6.2549337	True	Room 2, Talbot Street Business Centre, 19, Dublin, D01 X9P9	spa
36	Bali Wellness	ChIJ5a40cLoPZ0gRSoQaOgduXB8	spa|point_of_interest|establishment	53.3397386	-6.2591287	True	Himalayan Beauty Salon, 11 St Stephen's Green, Street, Dublin 2, D02 FY84	spa
37	Golden Thai Antique Massage	ChIJITlUtvMPZ0gRlkYZeyQt5Ts	spa|point_of_interest|establishment	53.3539125	-6.266334899999999	True	12a Granby Row, Rotunda, Dublin, DO1X6K6	spa
38	The Spa & Salon at The Shelbourne	ChIJh8YPo5kOZ0gRebxnevUoRBs	spa|beauty_salon|gym|health|point_of_interest|establishment	53.338787	-6.2554378	True	27 St Stephen's Green, Dublin 2, D02 K224	spa
40	The Viva Luxy Clinic	ChIJ6YJ1DVQNZ0gRyW0NZM6TI0M	spa|health|point_of_interest|establishment	53.3499326	-6.2695453	True	102 Capel St, Rotunda, Dublin 1, D01 H2X5	spa
41	Shaba Thai Massage Dublin 8	ChIJCxKsNiYMZ0gRww0ZgXwdl00	spa|health|point_of_interest|establishment	53.3438898	-6.2719431	True	Inns Court, 19, Winetavern St, Dublin	spa
43	eden	ChIJY6ynISoMZ0gRYyis8DNs8WE	spa|point_of_interest|establishment	53.3506253	-6.271207299999999		Dublin	spa
44	Cleopatra Massage	ChIJu-Q8-oAOZ0gRTuZbro49RsA	spa|point_of_interest|establishment	53.353881	-6.266241399999999	True	Granby Row, Rotunda, Dublin, D01 CA48	spa
45	Royal Thai Massage	ChIJTd1dWYkOZ0gRXPiK6R0b4Fw	physiotherapist|spa|health|point_of_interest|establishment	53.3508498	-6.2506564	True	5 Amiens St, Mountjoy, Dublin	spa
46	Oasis Beauty	ChIJK45rhi4MZ0gR8XY1bWd5btc	beauty_salon|spa|health|point_of_interest|establishment	53.3493095	-6.279367799999999	True	2, Thundercut Alley, Queen St, Smithfield, Dublin 7	spa
47	Merrion Day Spa (Cloud Nine)	ChIJOYSSrIMOZ0gRM2ZqG856ywQ	spa|health|point_of_interest|establishment	53.3391931	-6.25103	True	79 Merrion Square S, Dublin 2, D02 TN27	spa
48	Merrion Day Spa	ChIJKZzcSlYPZ0gREROBv3_yR0k	beauty_salon|spa|health|point_of_interest|establishment	53.3391931	-6.25103	True	79 Merrion Square S Saint Peter's, Dublin, D02 TN27	spa
49	Orchid Day Spa	ChIJzc5LzJkOZ0gR8SMxyAZ1uAE	spa|point_of_interest|establishment	53.3375682	-6.254112999999999		Ely Pl, Dublin	spa
50	Viola Day Spa	ChIJCUK8EY0OZ0gRLaMoaKuGoTs	beauty_salon|hair_care|spa|point_of_interest|establishment	53.348171	-6.243326	False	The Spencer Hotel, Excise Walk, International Financial Services Centre, Dublin	spa
51	FLORAISON	ChIJxd3A0bwPZ0gRuTz2K401E9E	beauty_salon|spa|point_of_interest|establishment	53.3358642	-6.250362099999999	False	16 Fitzwilliam St. Upper Basement Floor, Dublin 2, D02 Y221	spa
53	S.P.Y. Hair & Beauty Salon	ChIJe9GSQHwOZ0gRA3PLwsmU-B4	beauty_salon|hair_care|spa|point_of_interest|establishment	53.3600988	-6.2627514	True	467 N Circular Rd, Dublin	spa
54	Cardiff Lane Beauty & Spa- LPG Beauty Therapy	ChIJU7xhd-wPZ0gROBrOaTOsxuw	spa|beauty_salon|point_of_interest|establishment	53.3453634	-6.2409113		Clayton Hotel, 10-12 Cardiff Ln, Dublin 2, D02 YT21	spa
55	The Oriental Day Spa	ChIJ3w4aoI8MZ0gRj7E10tgUEv4	spa|point_of_interest|establishment	53.3318756	-6.2749776	True	64 Upper Clanbrassil Street Upper, Portobello, Dublin, D08 A394	spa
56	TANTRAHOME MASSAGES DUBLIN	ChIJmV8UvuwOZ0gRT1KZgI6ghgg	spa|point_of_interest|establishment	53.3423335	-6.2378434	True	Grand Canal Bridge, Grand Canal Dock, Dublin	spa
58	Massage Therapy at Home	ChIJC7ZE-B0MZ0gRnFV9ytTfavo	spa|point_of_interest|establishment	53.328463	-6.264577999999999	True	Lower Rathmines Road, Rathmines, Dublin	spa
59	Good Day Spa & Massage	ChIJx7mn6T8MZ0gRaLIPsoYyxYI	spa|point_of_interest|establishment	53.3338944	-6.292199099999999	True	339 S Circular Rd, Saint James' (part of Phoenix Park), Dublin 8, D08 W6T4	spa
