	name	place_id	types	geometry.location.lat	geometry.location.lng	opening_hours.open_now	formatted_address	main_type
0	Loja De Tecidos	ChIJj7wdZcQNZ0gRusOTpL12tt8	shopping_mall|point_of_interest|establishment	53.3499194	-6.280987800000001			shopping_mall
1	Stoneybatter Farmers Market at Pender's Yard	ChIJzz7p7i0MZ0gRtzNrQVvK0GM	shopping_mall|point_of_interest|establishment	53.35069430000001	-6.282315599999999	False		shopping_mall
2	blooms hotel	ChIJpaa2SToMZ0gRbNc3ajz51Tc	shopping_mall|point_of_interest|establishment	53.341874	-6.2867093	False		shopping_mall
3	Dee's Laundrette	ChIJH0prProNZ0gRBc0LdjTyQow	shopping_mall|point_of_interest|establishment	53.3428735	-6.2915109			shopping_mall
4	The Bull Ring Market	ChIJ9Ygn-CQMZ0gRETns9_MSEmI	shopping_mall|point_of_interest|establishment	53.3411515	-6.2780159	False		shopping_mall
5	library market	ChIJSYISJ_oNZ0gR2y2LGnmgKsw	shopping_mall|point_of_interest|establishment	53.34089959999999	-6.278302099999999			shopping_mall
6	Park Shopping Centre	ChIJcRKXHs0NZ0gRcodFeUUsmZQ	shopping_mall|point_of_interest|establishment	53.3562124	-6.2871766	False		shopping_mall
7	Malll	ChIJDbuZkz0PZ0gRTbQ7ipAnfB0	shopping_mall|point_of_interest|establishment	53.3482667	-6.2656792			shopping_mall
8	Dublin Beer Factory	ChIJS88xb3sPZ0gRE245f6a5Fm0	shopping_mall|point_of_interest|establishment	53.3508332	-6.266870699999999	False		shopping_mall
9	Jervis Shopping Centre	ChIJrT6yAYMOZ0gRvxniWEYO5q4	shopping_mall|parking|point_of_interest|establishment	53.3482143	-6.2656231	False		shopping_mall
10	Irish design shop	ChIJm9P0FxwNZ0gRhuxTCIR6nEY	shopping_mall|point_of_interest|establishment	53.3373762	-6.271845900000002	False		shopping_mall
11	Ilac Shopping Centre	ChIJQzGI6oMOZ0gRK0qi8vAboI8	shopping_mall|point_of_interest|establishment	53.3499889	-6.264737899999999	False		shopping_mall
12	Tienda merceria	ChIJb8YfvoMOZ0gRpLGZigh7Kdg	shopping_mall|point_of_interest|establishment	53.3490994	-6.2638981	False		shopping_mall
13	Catch	ChIJ68uMhYIPZ0gRYo2eWBSIo2A	shopping_mall|point_of_interest|establishment	53.34949400000001	-6.263602400000002	False		shopping_mall
14	NEXT Henry Street	ChIJ41K4HnUPZ0gR1rsFGoC-ky8	shopping_mall|point_of_interest|establishment	53.3491994	-6.2634673	False		shopping_mall
15	George's Street Arcade	ChIJ6SwLAJ0OZ0gRSUwrR8fiVJg	shopping_mall|point_of_interest|establishment	53.3425	-6.2638889	False		shopping_mall
16	Local De Productos Argentinos	ChIJeSl0SYMOZ0gRvN1wjOAi0Yc	shopping_mall|point_of_interest|establishment	53.345755	-6.2628376	False		shopping_mall
17	Arnott's Bargain Basement	ChIJ9fA4nYMOZ0gR6NYbmjFf0fY	shopping_mall|point_of_interest|establishment	53.3481822	-6.2624795	False		shopping_mall
18	市区亚洲行	ChIJQVmzMREPZ0gR_PA8RPN66WU	shopping_mall|point_of_interest|establishment	53.3420032	-6.2634818			shopping_mall
19	Negozio regalini	ChIJt-sdyfwPZ0gRKDrAovd_82I	shopping_mall|point_of_interest|establishment	53.34953939999999	-6.262399999999999			shopping_mall
20	Moore Street Shopping Mall	ChIJGUtzUoEOZ0gRi9AFwJtBQFE	shopping_mall|point_of_interest|establishment	53.3513831	-6.2633375	False	58 Parnell St, North City, Dublin	shopping_mall
21	Kilkinney shop	ChIJp4m2QHsPZ0gReiLkWuF6xE4	shopping_mall|point_of_interest|establishment	53.342166	-6.262954		Nassau St, Dublin	shopping_mall
22	Max	ChIJfRIm44MOZ0gRjeviWHXBNxQ	shopping_mall|point_of_interest|establishment	53.3505968	-6.2627125	False	19 Moore St, North City, Dublin 1	shopping_mall
23	General Post Office Arcade	ChIJ88UTU0oPZ0gRMRHRcKuZKeY	shopping_mall|point_of_interest|establishment	53.3489724	-6.2614514		General Post Office, North City, Dublin	shopping_mall
24	Powerscourt Centre	ChIJ23x-ZpwOZ0gR8zZd7f0jpGc	shopping_mall|point_of_interest|establishment	53.3422365	-6.2618173	False	59 William St S, Dublin 2, D02 HF95	shopping_mall
25	Paul	ChIJER_VNlcPZ0gRaeR3a56poTU	shopping_mall|point_of_interest|establishment	53.3463459	-6.260714600000001	False	Bachelors Walk Apartments, Bachelors Walk, North City, Dublin 1	shopping_mall
26	Johnson Court Antiques Service Centre	ChIJL_QiTwAPZ0gR-tTrC6JfOKI	shopping_mall|point_of_interest|establishment	53.3419586	-6.2612458		12 Johnson's Ct, Dublin, D02 YK12	shopping_mall
27	Stephen's Green Shopping Centre	ChIJsyP0p54OZ0gRfKESW82zxqE	shopping_mall|point_of_interest|establishment	53.340004	-6.2622729	False	St Stephen's Green, Dublin, D02 HX65	shopping_mall
28	The Westbury Mall	ChIJx9hTbZwOZ0gRkG1ZVH3IxNY	shopping_mall|point_of_interest|establishment	53.3416445	-6.2610999	False	The Westbury, Balfe St, Dublin	shopping_mall
30	Buds	ChIJHQp3jrgPZ0gRt-6R1lY2QQQ	shopping_mall|point_of_interest|establishment	53.3498092	-6.2602739		North City, Dublin	shopping_mall
31	Willie world	ChIJy3AlGEQPZ0gR_qDaSa47QGc	shopping_mall|point_of_interest|establishment	53.3498093	-6.2602739		North City, Dublin	shopping_mall
32	Brown Thomas	ChIJHxomo7IPZ0gRmaCW3BPpl9A	shopping_mall|point_of_interest|establishment	53.3498093	-6.2602739		North City, Dublin	shopping_mall
33	Monker Town	ChIJ6Ze2mIYOZ0gRgMmkG0O2WUE	shopping_mall|point_of_interest|establishment	53.35124159999999	-6.2607789	False	O'Connell Street Upper, North City, Dublin	shopping_mall
34	Maribar	ChIJTwUksoUOZ0gR8-N9fgEvykU	shopping_mall|point_of_interest|establishment	53.3489119	-6.259140899999999	False	1 Sackville Pl, North City, Dublin	shopping_mall
35	Royal Hibernian Way Shopping Centre	ChIJORf7wpsOZ0gRM8FfNYjJo30	shopping_mall|point_of_interest|establishment	53.3415843	-6.2583484	False	Dawson St, Dublin	shopping_mall
36	Talbot Mall	ChIJlSrIioUOZ0gRdUvA1dvtxrk	shopping_mall|point_of_interest|establishment	53.35001219999999	-6.256174	False	1 Talbot St, North City, Dublin, D01 XW65	shopping_mall
37	Dublin Beauty Centre	ChIJ_VQhTYUOZ0gRORMq3VmgioM	shopping_mall|point_of_interest|establishment	53.3458074	-6.2554238	False	179A Townsend St, Dublin 2, D02 CV40	shopping_mall
38	Lucan Shopping Centre	ChIJ2atgLZoOZ0gReukqGG2odW4	shopping_mall|point_of_interest|establishment	53.3409205	-6.2566367		33 Molesworth St, Dublin, D02 CP04	shopping_mall
39	Mayavil textals	ChIJVx5By_ANZ0gRZzbPd7HVAZA	shopping_mall|point_of_interest|establishment	53.3279615	-6.2748621		Emmet St, Harold's Cross, Dublin	shopping_mall
40	Antique Gallery	ChIJBwBAZJwOZ0gRYCHY6JQZNEg	shopping_mall|point_of_interest|establishment	53.3422518	-6.2622556	False	Powerscourt Townhouse Centre, 59 William St S, Dublin 2, Co. Dublin	shopping_mall
42	St. Stephen Green entrance	ChIJb4IeTTYPZ0gRgn_HfiOb1Ps	shopping_mall|point_of_interest|establishment	53.34027589999999	-6.262595999999999		2 Clarendon Row, Dublin	shopping_mall
43	Antique Jonhsons	ChIJJT2lepwOZ0gRmNaAnPJ3HqE	shopping_mall|point_of_interest|establishment	53.34209019999999	-6.2613598	False	36-10 Wicklow St, Dublin, D02 CX23	shopping_mall
44	Stephen's Green Delivery Yard	ChIJI8uHhJ4OZ0gRsVk4DUPYWu0	shopping_mall|point_of_interest|establishment	53.3395636	-6.262792399999999	False	18 York St, Dublin	shopping_mall
45	Grafton Street Market	ChIJefi_UBUPZ0gRahEu-GFbarY	shopping_mall|point_of_interest|establishment	53.3424838	-6.259729200000001	False	85-95 Grafton Street, Dublin	shopping_mall
46	Grafton Street	ChIJbeECprcPZ0gR40REd9qAgF8	shopping_mall|point_of_interest|establishment	53.3413794	-6.2601607	True	31 Grafton Street, Dublin 2, D02 YY42	shopping_mall
47	The Happy Shop	ChIJ97efH4UOZ0gR837mJUyMU34	shopping_mall|point_of_interest|establishment	53.3470423	-6.2579367	False	3A Burgh Quay, Dublin 2, D02 F243	shopping_mall
48	The Big Pit	ChIJqX4fB04PZ0gRAgTxDYBz04A	shopping_mall|point_of_interest|establishment	53.3427693	-6.258235699999999	False	38 Nassau St, Dublin 2, D02 NN53	shopping_mall
49	Tuthills Limited	ChIJzTWOgGkMZ0gRSyz7z4NyE8c	shopping_mall|point_of_interest|establishment	53.33005929999999	-6.300005	False	Crumlin Shopping Centre, 31/32 Crumlin Rd, Drimnagh, Dublin	shopping_mall
50	Irish Life	ChIJG5ipPnAPZ0gRy-GOSfuhUDc	shopping_mall|point_of_interest|establishment	53.3511765	-6.2530728	False	7-89 Mabbot Ln, Mountjoy, Dublin 1, D01 EY11	shopping_mall
51	Adelphi Plaza	ChIJXyS-g6IOZ0gRrZdW0F7EIGs	shopping_mall|point_of_interest|establishment	53.3348401	-6.253962		Pembroke Street Upper, Dublin	shopping_mall
52	Johnstown Shopping Centre	ChIJO6SkhZcOZ0gRCbj3rqapFUk	shopping_mall|point_of_interest|establishment	53.336341	-6.2522629		19/26 Pembroke Street Lower, Dublin	shopping_mall
53	CHQ Dublin	ChIJ0zvFKowOZ0gR5C2GLV36FLM	shopping_mall|food|point_of_interest|establishment	53.3490142	-6.2480492	False	Custom House Quay, North Dock, Dublin 1, D01 KF84	shopping_mall
54	Swan Shopping Centre	ChIJx-_1nB0MZ0gRl8T0-RgR-1o	shopping_mall|point_of_interest|establishment	53.3226767	-6.264446	False	6 Rathmines Rd Lower, Rathmines, Dublin 6	shopping_mall
55	Glasnevin	ChIJ1wpeikkNZ0gRc7VMXEAzSwQ	shopping_mall|point_of_interest|establishment	53.3751611	-6.295096099999999	False	Lagan Rd, Cabra East, Dublin	shopping_mall
56	Point Square Dublin	ChIJ50BfbvAOZ0gRvDCYaNegrjw	shopping_mall|point_of_interest|establishment	53.34906429999999	-6.2278167	False	East Wall Road, Point Square, Dublin, D01 E0K6	shopping_mall
57	Ashleaf Shopping Centre	ChIJ94Wbm4YMZ0gRiI7LywgChUs	shopping_mall|point_of_interest|establishment	53.31594699999999	-6.317565099999999	False	Cromwellsfort Rd, Crumlin, Dublin 12	shopping_mall
58	Euro Spar.	ChIJ7xFwVBMPZ0gR5JY5xdo4Y4E	shopping_mall|point_of_interest|establishment	53.3644384	-6.230752499999999		Fairview, Dublin	shopping_mall
59	Finglas Main Shopping Centre	ChIJgamgmPENZ0gRUDmVzochVjA	shopping_mall|point_of_interest|establishment	53.3891065	-6.2978724	False	Unit 14A, Main St, Finglas East, Dublin 11	shopping_mall
