	name	place_id	price_level	types	geometry.location.lat	geometry.location.lng	opening_hours.open_now	formatted_address	main_type
3	Marrakesh by Mindo Karaoke Bar	ChIJBZMyNEgNZ0gRPbA3GHw-93A		night_club|bar|restaurant|food|point_of_interest|establishment	53.3487558	-6.2691069	False		night_club
4	Amanda Lopes Salon	ChIJwcgsfOENZ0gRtsF0esQ8pmE		night_club|bar|point_of_interest|establishment	53.35111879999999	-6.270304700000001	False		night_club
8	The Liquor Rooms	ChIJY-HBs4IOZ0gR8Tzb0TWJx90	2.0	night_club|bar|point_of_interest|establishment	53.3453683	-6.266832899999999	False		night_club
10	Temple Bar Emporium Casino and Lapdancing club	ChIJYSDSRZ0OZ0gRQHcY4NVvvXo		night_club|point_of_interest|establishment	53.3442733	-6.2667913	False		night_club
11	Mc Gowans of Phibsboro	ChIJ5SSKF28OZ0gRwFzxZdVgaHo	2.0	night_club|bar|restaurant|food|point_of_interest|establishment	53.356588	-6.273832	False		night_club
12	Bad Bobs Temple Bar	ChIJnUe-NZ0OZ0gRcURhnZCniJE	2.0	night_club|bar|restaurant|food|point_of_interest|establishment	53.3450924	-6.2658794	False		night_club
15	Fitzsimons Hotel Temple Bar	ChIJww8Q1IIOZ0gRtDK-tFjPNu4	2.0	bar|night_club|lodging|restaurant|food|point_of_interest|establishment	53.345581	-6.265118600000001	False		night_club
20	The George	ChIJ_8isAPULZ0gRfC-Ciqzqcxc	2.0	night_club|bar|point_of_interest|establishment	53.343743	-6.2646836	False	89 South Great George's Street, Dublin 2, D02 R220	night_club
21	Yamamori Tengu	ChIJJQpBEYMOZ0gRd00Gmjf4lN8	2.0	night_club|bar|point_of_interest|establishment	53.3470713	-6.2638427	False	37 Strand Street Great, North City, Dublin 1, D01 TR20	night_club
22	The Grand Social	ChIJgzxUFYMOZ0gRahqesNCyL9M	2.0	night_club|bar|point_of_interest|establishment	53.3469012	-6.2634767	False	35 Liffey St. Lower, North City, Dublin 1, D01 C3N0	night_club
23	Rí-Rá	ChIJDSef55wOZ0gRckNt5To_AjI		night_club|point_of_interest|establishment	53.3438763	-6.2637711		2 Dame Ct, Dublin	night_club
24	Havana Nightclub	ChIJJQalxJwOZ0gRTC9aLwtwGVk		night_club|point_of_interest|establishment	53.34433019999999	-6.263612999999999		46 - 49 Dame St, Temple Bar, Dublin, D02 X466	night_club
26	Ukiyo Lounge	ChIJS9izx6oPZ0gRRz4CPGcAGHM		night_club|point_of_interest|establishment	53.3433687	-6.2636122	False	Dame Ct, Dublin	night_club
28	Club M	ChIJPVjtrJwOZ0gRBEI_lVEUBwI	2.0	night_club|point_of_interest|establishment	53.3448285	-6.2622021	False	Cope St, Temple Bar, Dublin 2	night_club
32	Boardwalk Nightclub @ The Arlington Hotel Dublin	ChIJez8FkYQOZ0gRrHenNXSCbU8		night_club|point_of_interest|establishment	53.3473416	-6.2606478		23-25 Bachelors Walk, North City, Dublin, D01 E8P4	night_club
33	QG supermavs	ChIJg8I7Tj8PZ0gRwbiJn-294-o		night_club|point_of_interest|establishment	53.3482127	-6.2599514		1 Middle Abbey St, North City, Dublin	night_club
40	The Button Factory	ChIJp_CB1pwOZ0gRxcFX0Egkqd8		night_club|cafe|food|point_of_interest|establishment	53.3449334	-6.2645228		Curved St, Temple Bar, Dublin	night_club
42	Wigwam	ChIJ40O1eIMOZ0gRjDej1H9r50o	2.0	restaurant|night_club|cafe|bar|food|point_of_interest|establishment	53.3478889	-6.2623083	False	54 Middle Abbey St, North City, Dublin, D01 E2X4	night_club
43	Opium	ChIJo-AK0Z8OZ0gRPRsrzYcwgiU	2.0	night_club|restaurant|food|point_of_interest|establishment	53.3366763	-6.2657137	False	26 Wexford St, Portobello, Dublin 2, D02 HX93	night_club
45	Twenty Two Night Club	ChIJ7Zch75sOZ0gRLm6iEv_WAXs	2.0	night_club|bar|point_of_interest|establishment	53.3409665	-6.259054099999999		22 Anne St S, Dublin, D02 CH94	night_club
47	Copper Face Jacks	ChIJk5B5mp8OZ0gR47yxFK37Ybg	2.0	bar|night_club|point_of_interest|establishment	53.3353453	-6.2635988	False	29-30 Harcourt St, Saint Kevin's, Dublin 2, D02 XV58	night_club
48	Everleigh	ChIJ3V2nj58OZ0gRV4qMtS38jeM	2.0	night_club|point_of_interest|establishment	53.335181	-6.2635599	False	33 Harcourt St, Saint Kevin's, Dublin 2	night_club
49	D Two	ChIJvbuxKKAOZ0gRNFN3k1Wi0Gw	2.0	night_club|bar|point_of_interest|establishment	53.3343886	-6.262885	False	60 Harcourt St, Saint Kevin's, Dublin 2, D02 P902	night_club
51	O'Reilly's	ChIJ3wjf8I8OZ0gR5tvtJlkau4c	1.0	night_club|bar|restaurant|food|point_of_interest|establishment	53.3469956	-6.2541858	False	Tara Street Station, Poolbeg St, Dublin 2	night_club
53	The Sugar Club	ChIJWQQVlJgOZ0gRmQ6XgMFugVA		night_club|point_of_interest|establishment	53.3355007	-6.2566432	False	8 Leeson Street Lower, Saint Kevin's, Dublin, D02 ET97	night_club
54	Xico	ChIJJaxy1ZkOZ0gRtHrmH0jiAsE	2.0	night_club|bar|restaurant|food|point_of_interest|establishment	53.3378354	-6.252701099999999	False	143 Baggot Street Lower, Dublin 2, D02 PH39	night_club
