	name	place_id	types	geometry.location.lat	geometry.location.lng	opening_hours.open_now	formatted_address	main_type
6	Guinness Storehouse Visitor Car Park	ChIJv20BpM4NZ0gR5MdnjzAjFO0	parking|point_of_interest|establishment	53.3417646	-6.283565299999999			parking
7	Thomas Street Car Park	ChIJXXRQFSUMZ0gR0R9NOxAAbr8	parking|point_of_interest|establishment	53.3436833	-6.280197500000001			parking
8	Park Rite	ChIJ44gmiC4MZ0gRYZKUhyhJ7lg	parking|point_of_interest|establishment	53.3490487	-6.279521900000001	False		parking
9	Q-Park Four Courts	ChIJ_SEaaS8MZ0gRLVCk3fiU7fw	parking|storage|point_of_interest|establishment	53.345208	-6.27788	False		parking
10	Oliver Bond Street Parking	ChIJEe0jhCUMZ0gR0TuW6FYEt68	parking|point_of_interest|establishment	53.3441908	-6.278012599999999	True		parking
12	Park Rite	ChIJx2oH1EYMZ0gRVke9SsE--aE	parking|point_of_interest|establishment	53.3400846	-6.2942141	True		parking
13	15-21 Usher's Quay Parking	ChIJ7-rdaS8MZ0gRGjSQ_OriZZY	parking|point_of_interest|establishment	53.34531429999999	-6.276431499999998			parking
15	Smithfield Lofts Car Park	ChIJK31wUSkMZ0gR-7MNfxui7Hg	parking|point_of_interest|establishment	53.3496128	-6.275820999999999			parking
16	Parking	ChIJxTPbGikMZ0gRjwp6U02h-Hs	parking|point_of_interest|establishment	53.34822819999999	-6.274995199999999			parking
17	Park Rite Kilmainham	ChIJgRBIT1oMZ0gR5PG9URWGGqg	parking|point_of_interest|establishment	53.3421003	-6.3013277	False		parking
20	Q-Park Christchurch	ChIJb9iPoycMZ0gR26M-RpUpAt8	parking|storage|point_of_interest|establishment	53.34301749999999	-6.270018500000001	True	2 Werburgh St, Dublin, D08 X981	parking
21	Car Park	ChIJKRpfMgQNZ0gRAPx5ldcIiH8	parking|point_of_interest|establishment	53.3433886	-6.2691655		Wood Quay, Dublin	parking
22	NCPS Pay Parking Bride Street	ChIJ36L5oCcMZ0gRST_NkjQp_8Q	parking|point_of_interest|establishment	53.3424236	-6.2696314	True	Werburgh St, Dublin Southside, Dublin	parking
23	2 Werburgh St Parking	ChIJv2X_oCcMZ0gRbEXWQRX13x4	parking|point_of_interest|establishment	53.34244409999999	-6.269619199999999	True	2 Werburgh St, Dublin, D08 WTC0	parking
24	Public Car Park	ChIJ0e2J9oEOZ0gRDhqNEFjlFMw	parking|point_of_interest|establishment	53.350659	-6.2682745		Loftus Ln, Rotunda, Dublin	parking
25	Dublin Zoo Car Park	ChIJj4CzTLMNZ0gR8kQFmXQJMSY	parking|point_of_interest|establishment	53.3540223	-6.3070964	False	Phoenix Park, Saint James' (part of Phoenix Park), Dublin 8	parking
26	Car Park Jervis Street | APCOA	ChIJtRUY8IIOZ0gRsMvOXLA6FHo	car_wash|parking|point_of_interest|establishment	53.3472386	-6.2661928	False	61-66 Jervis St, North City, Dublin, D01 X8C6	parking
27	Jervis Shopping Centre Car Park	ChIJB9McFcEPZ0gRxeVyC5_uMmI	parking|point_of_interest|establishment	53.34786829999999	-6.2662575	False	23 Jervis St, North City, Dublin, D01 TH72	parking
28	Park Rite Limited	ChIJ30KlahcMZ0gRrO4ev3rfWEg	parking|point_of_interest|establishment	53.3506239	-6.267210599999999		The Parnell Centre, Parnell Car Park, Loftus Ln, Dublin	parking
29	Park Rite	ChIJPa87CIIOZ0gRa6WzULx8f0A	parking|point_of_interest|establishment	53.3510457	-6.267051299999999	True	The Parnell Centre, Loftus Ln, Rotunda, Dublin 1, D01 W7P4	parking
30	Lords Walk Carpark	ChIJZc5PRrMNZ0gR6K6FlBqzccA	parking|point_of_interest|establishment	53.354654	-6.3071088	False	Phoenix Park, Dublin	parking
31	Parkrite Parking	ChIJVV_jj4EOZ0gRlJQhiHJJPQU	parking|point_of_interest|establishment	53.3510028	-6.266703499999999	True	16 King's Inns St, Rotunda, Dublin 1	parking
32	Lord's Walk Car Park	ChIJl0HUQrMNZ0gRwknYXLamoCk	parking|point_of_interest|establishment	53.3545838	-6.307944		Phoenix Park, Dublin 8	parking
33	Ilac Shopping Centre Car Park	ChIJ09F7YoEOZ0gRekeF-kyOu_Y	parking|point_of_interest|establishment	53.3506872	-6.2648771	False	Parnell St, North City, Dublin 1, D01 TF70	parking
34	Park Rite Drury Street	ChIJq5PotJ0OZ0gRhC6mURWMhes	parking|point_of_interest|establishment	53.34151439999999	-6.263956299999999	True	59-62 Drury St, Dublin 2, D02 V261	parking
35	Drury Street Car Park	ChIJVbzY9pwOZ0gR9jq4SHX5IQ8	parking|point_of_interest|establishment	53.34291	-6.263128999999999	False	36/37 Drury St, Dublin, D02 YK20	parking
36	Car Park Trinity Street (APCOA)	ChIJEaVGGJEOZ0gRFIbmynO8aLE	parking|point_of_interest|establishment	53.3437575	-6.262552299999999	False	Car Park, Trinity St, Dublin 2, D02 A440	parking
37	Best Car Parks Arnotts	ChIJebFSd4QOZ0gREV034JBJKeI	parking|point_of_interest|establishment	53.3487718	-6.262390099999999	False	3 Prince's St, North City, Dublin	parking
38	Parking dublin	ChIJJWgbmCsPZ0gRECXTHAelpvQ	parking|point_of_interest|establishment	53.342411	-6.262686		Dublin	parking
39	Stephen’s Green Q Park	ChIJc7xbstwPZ0gRDfAJpU2YcC8	parking|point_of_interest|establishment	53.3398285	-6.264140599999999		12A Bow Ln E, Dublin 2, D02 V126	parking
40	Parnell Parking King's Inns Street	ChIJMTMPhYEOZ0gR-gPwPxGoBts	parking|point_of_interest|establishment	53.3509749	-6.2666593		Rotunda, Dublin	parking
41	Park Rite	ChIJx3TPUpsOZ0gRLvW6CkKJ4fk	parking|point_of_interest|establishment	53.3452432	-6.2612903	True	52-57 Fleet St, Temple Bar, Dublin, D02 A375	parking
42	Moore Lane Car Park	ChIJF4GfroYOZ0gRukynOw9dgkM	parking|point_of_interest|establishment	53.3512262	-6.262169		Moore Ln, North City, Dublin	parking
