	name	place_id	price_level	types	geometry.location.lat	geometry.location.lng	opening_hours.open_now	formatted_address	main_type
0	Giraffe Childcare IFSC	ChIJkUCxlI4OZ0gROdeVW48vPsQ	2.0	school|point_of_interest|establishment	53.3491289	-6.2445766	False		school
1	Charles Dublin	ChIJmz-F24wOZ0gR-_0mIardUY0		school|point_of_interest|establishment	53.3490985	-6.2425587			school
2	National College of Ireland Car Park Entrance	ChIJi1Y0JI0OZ0gRLKKE0WEgx_E		school|point_of_interest|establishment	53.348754	-6.242324699999999			school
3	Giraffe Childcare National College Ireland	ChIJkUCxlI4OZ0gRzmBOtGD0Jq4	2.0	school|point_of_interest|establishment	53.348579	-6.242185399999999	False		school
4	St Laurence O'Tooles National School	ChIJi9tGaYsOZ0gRec8PPgez5rg		school|point_of_interest|establishment	53.3501184	-6.242270700000001	False		school
5	L o Tooles	ChIJsWZiUoIPZ0gRL3m78dfTPSQ		school|point_of_interest|establishment	53.3502777	-6.242113499999999			school
6	المدرسة السعودية دبلن	ChIJYVaeiYwOZ0gR5WZOSW9T5Es		school|point_of_interest|establishment	53.3507779	-6.2447478	False		school
7	St Laurence O'Toole Girls & Boys national School	ChIJi9tGaYsOZ0gRA8TfkQXmKks		primary_school|school|point_of_interest|establishment	53.3509344	-6.241923999999999			school
8	Special Primary School	ChIJQxYtp4wOZ0gR5TnuZWkyJnA		primary_school|school|point_of_interest|establishment	53.351585	-6.242862700000001			school
9	Preschool & Afterschool Education and Support Programme	ChIJpWnHg98PZ0gR8iFZW4vyu_M		school|point_of_interest|establishment	53.35155409999999	-6.242195			school
10	Trinity Centre for Creative Technologies	ChIJ5axCZ44OZ0gRodh-trftM24		school|point_of_interest|establishment	53.34833039999999	-6.249599199999999			school
11	St Laurence O'Toole's CBS, Senior Boys' Primary School	ChIJCdFaaYsOZ0gRQ0sOkLfvQvc		school|point_of_interest|establishment	53.3528815	-6.2444631	False		school
