	name	place_id	price_level	types	geometry.location.lat	geometry.location.lng	opening_hours.open_now	formatted_address	main_type
0	Marks and Spencer	ChIJ1RqODo0OZ0gR2wQxWR7VjAc	2.0	supermarket|department_store|convenience_store|grocery_or_supermarket|food|point_of_interest|clothing_store|store|establishment	53.3489101	-6.2437814	False		clothing_store
1	Everywoman Prosthesis and Bra Fitting Suite | Mastectomy Clinic Dublin	ChIJPaoySo8OZ0gR2oakpupHEO0		point_of_interest|clothing_store|store|establishment	53.35093869999999	-6.253984399999999	False		clothing_store
2	The Funky Skunk	ChIJn3Wy24sOZ0gRFht2h8Ulmj8		store|health|point_of_interest|clothing_store|establishment	53.3534544	-6.2482943	False		clothing_store
4	Guineys	ChIJsYbzV48OZ0gRTapqqrqAazI		department_store|furniture_store|home_goods_store|point_of_interest|clothing_store|store|establishment	53.3504154	-6.2553803	False		clothing_store
5	Taboo Graphix	ChIJW_RhUgkPZ0gR-QOwXtoGOwc		point_of_interest|clothing_store|store|establishment	53.3460525	-6.254439299999999	False		clothing_store
6	Oxfam Talbot Street	ChIJPegw9KgPZ0gRsxTNQtILNRE		clothing_store|point_of_interest|store|establishment	53.3504415	-6.2573275	False		clothing_store
7	Aaa Fashions Limited	ChIJDTdKxIUOZ0gROd8REdkuxaE		clothing_store|point_of_interest|store|establishment	53.3501162	-6.257733099999999			clothing_store
8	Ma Vie	ChIJDTdKxIUOZ0gR-uuyCAZyYEc		point_of_interest|clothing_store|store|establishment	53.3501162	-6.257733099999999	False		clothing_store
9	Moi & Toi	ChIJ1cANw4UOZ0gR_Djiwdf8ICA		point_of_interest|clothing_store|store|establishment	53.350144	-6.2578165	False		clothing_store
10	Irish Wedding Packages	ChIJ97JCApEOZ0gRj1jCZ7EU-9Q		florist|point_of_interest|clothing_store|store|establishment	53.3427433	-6.2499964	False		clothing_store
11	Five Lamps, Sue Ryder Foundation	ChIJDbnLW4oOZ0gRJhvavVDI9mU		clothing_store|point_of_interest|store|establishment	53.3552039	-6.2464849	False		clothing_store
12	Guineys	ChIJXbJ9zIUOZ0gRu6E4Itvf-Zg		department_store|furniture_store|home_goods_store|point_of_interest|clothing_store|store|establishment	53.3500019	-6.258614800000002	False		clothing_store
13	USC	ChIJSTzIMwkPZ0gR8qDSXYD0TxA		clothing_store|shoe_store|point_of_interest|store|establishment	53.35012559999999	-6.2587432	False		clothing_store
14	Sports Direct	ChIJXTwszYUOZ0gR-Ja9GJOTCy0	1.0	shoe_store|bicycle_store|point_of_interest|clothing_store|store|establishment	53.3501618	-6.2588405	False		clothing_store
15	Dunnes Stores	ChIJrZM7OoQOZ0gRao7QUfE4EPU		grocery_or_supermarket|supermarket|food|point_of_interest|clothing_store|store|establishment	53.3500792	-6.259135700000001	False		clothing_store
16	Wallis	ChIJq_bqRoQOZ0gRQjQW5V9pvOY		point_of_interest|clothing_store|store|establishment	53.34880560000001	-6.2596873			clothing_store
17	Mountain Warehouse	ChIJj5ZD6kgPZ0gRqKjJVMHFXCk		point_of_interest|clothing_store|store|establishment	53.3496064	-6.2596429	False		clothing_store
18	Donal Stanley Gentlemens Outfitters	ChIJzcDjfIYOZ0gRkevcRqG0xuc		point_of_interest|clothing_store|store|establishment	53.35154190000001	-6.258941000000001	False		clothing_store
19	GuillermoGarcia La Maison	ChIJL3jy-mUPZ0gRzS5sF1gsg6o		clothing_store|point_of_interest|store|establishment	53.3478957	-6.2596546	False		clothing_store
20	Naya clothing	ChIJ63lyhBgPZ0gRlXD_hNdUbGg		clothing_store|point_of_interest|store|establishment	53.3498092	-6.2602739		North City, Dublin	clothing_store
21	Penneys	ChIJK-8LZoQOZ0gRF6bUtyiSw_4	1.0	clothing_store|point_of_interest|store|establishment	53.3487965	-6.2608603	False	39 O'Connell Street Upper, North City, Dublin, D01 PY90	clothing_store
22	Direction Menswear	ChIJSc5jeoQOZ0gRx3-KIVtu3yw		point_of_interest|clothing_store|store|establishment	53.3495436	-6.261443499999999	False	Prince's Street North, North City, Dublin	clothing_store
23	Diesel Henry Street	ChIJN9WZDYQOZ0gRHcrQfxw5hTY		clothing_store|point_of_interest|store|establishment	53.3496961	-6.2614829	False	38 Henry St, North City, Dublin 1, D01 HW72	clothing_store
