	name	place_id	price_level	types	geometry.location.lat	geometry.location.lng	opening_hours.open_now	formatted_address	main_type
0	Urban Brewing & Stack A Restaurant	ChIJp42hgY4OZ0gRtQv7KdqZHAo	2.0	bar|liquor_store|restaurant|food|point_of_interest|store|establishment	53.3490752	-6.248266200000001	False		liquor_store
1	Mitchell & Son Wine Merchants	ChIJ9YAL1Y0OZ0gRXmpAe7b8nZg		liquor_store|food|point_of_interest|store|establishment	53.3482031	-6.2481635	False		liquor_store
2	Talbot Off Licence	ChIJL_1lK48OZ0gRx3cQyjMVD24		liquor_store|point_of_interest|store|establishment	53.35121170000001	-6.252455400000001	False		liquor_store
3	Kane/McCartney's SuperValu Talbot Street	ChIJgcas1Y4OZ0gRqdVoyUeYksQ	2.0	supermarket|bakery|grocery_or_supermarket|liquor_store|food|point_of_interest|store|establishment	53.3511749	-6.252636399999999	False		liquor_store
4	Centra Pearse St	ChIJ7S4PrpMOZ0gRKmbgWM_G1z8		convenience_store|atm|finance|liquor_store|food|point_of_interest|store|establishment	53.34327620000001	-6.244110499999999	False		liquor_store
5	Centra Westland Row	ChIJgcaZA5EOZ0gR2cmTaBYI8Ow		convenience_store|atm|meal_takeaway|finance|liquor_store|restaurant|food|point_of_interest|store|establishment	53.34283180000001	-6.249769399999999	False		liquor_store
6	Gifts Direct	ChIJKd_oUBkPZ0gR_Iaeiv-lj9U		liquor_store|food|point_of_interest|clothing_store|store|establishment	53.35023349999999	-6.2600664	False		liquor_store
7	Centra Cathal Brugha Street	ChIJ9d2bXoYOZ0gRdXRjWaqUZ6Y		convenience_store|liquor_store|food|point_of_interest|store|establishment	53.3525186	-6.2590582	False		liquor_store
8	SuperValu Aston Quay	ChIJWe1KDYUPZ0gRg6WT84RQNxE		supermarket|bakery|grocery_or_supermarket|liquor_store|food|point_of_interest|store|establishment	53.346482	-6.260373700000001	False		liquor_store
9	Summerhill off licence	ChIJKxLpNOsPZ0gRPI0SJHjidYc		liquor_store|point_of_interest|store|establishment	53.3570249	-6.249408499999999	False		liquor_store
10	The Big Romance	ChIJufegxdgPZ0gR3Nnd6keYlJs	2.0	bar|liquor_store|point_of_interest|store|establishment	53.3534114	-6.259193799999999	False		liquor_store
11	Parnell Street Off Licence	ChIJV359JpsPZ0gR4QSnI4QNcA4		liquor_store|point_of_interest|store|establishment	53.35364999999999	-6.2593998	False		liquor_store
12	James J. Fox, Dublin	ChIJwbXZQZsOZ0gRy2AMflaUoME		liquor_store|point_of_interest|store|establishment	53.3442039	-6.259570099999999	False		liquor_store
13	Bottle House	ChIJn8h5HQIPZ0gRetGuatb3L_A		liquor_store|point_of_interest|store|establishment	53.3430202	-6.259026	False		liquor_store
14	Wines Direct	ChIJb-XYnIMOZ0gRZ-sUQiGdCeY		liquor_store|food|point_of_interest|store|establishment	53.348237	-6.262888999999999	False		liquor_store
15	Centra Wellington Quay	ChIJxW__SYMOZ0gRtIWFihfFqWc		convenience_store|atm|finance|liquor_store|food|point_of_interest|store|establishment	53.34583620000001	-6.263094199999999	False		liquor_store
16	Centra Wicklow Street	ChIJ21Kwf5sOZ0gRRityU_tCpcM		convenience_store|atm|finance|liquor_store|food|point_of_interest|store|establishment	53.34290699999999	-6.2605432	False		liquor_store
17	Centra Parnell Street	ChIJz9JEWYEOZ0gRayyKaCxIkGQ		convenience_store|atm|meal_takeaway|finance|liquor_store|restaurant|food|point_of_interest|store|establishment	53.3511829	-6.2636618	False		liquor_store
18	The Vine Tree	ChIJ5b9-RWAOZ0gRQdC6-sL_1HA		liquor_store|point_of_interest|store|establishment	53.3589508	-6.245919799999999	False		liquor_store
19	The Temple Bar Distillery Store	ChIJWyftLYMOZ0gRSEoes9oUS5k		liquor_store|point_of_interest|store|establishment	53.3454907	-6.2640239	False		liquor_store
20	L. Mulligan	ChIJOfnkb5wOZ0gR_plWWd3kxBg		liquor_store|point_of_interest|store|establishment	53.3420099	-6.2614879	False	13 Clarendon St, Dublin 2	liquor_store
21	Celtic Whiskey Shop & Wines on the Green	ChIJ79A3WZkOZ0gRcrBh7ESKkmk		liquor_store|point_of_interest|store|establishment	53.3398838	-6.2588113	False	27-28 Dawson St, Dublin, D02 A215	liquor_store
22	The Corkscrew Wine Merchants	ChIJcUbZEJwOZ0gRL9d-eDr5JRw		liquor_store|point_of_interest|store|establishment	53.3408937	-6.261424000000001	False	4 Chatham St, Dublin 2, D02 R223	liquor_store
23	Craft Central	ChIJdboUNZwOZ0gRFeO_92xW4T0		convenience_store|cafe|liquor_store|food|point_of_interest|store|establishment	53.3411582	-6.2636232	False	38 Stephen Street Lower, Dublin Southside, Dublin 2, D02 T995	liquor_store
24	Carolan's Corner Off-Licence & Night Cap	ChIJ310D4HwOZ0gRJo1epiyznCY		liquor_store|food|point_of_interest|store|establishment	53.3591097	-6.259200799999999	False	Ardilaun House, N Circular Rd, Northside, Dublin	liquor_store
25	Wasabi Market	ChIJ-0wmlZEPZ0gRLcpWe8d5Vc0		liquor_store|point_of_interest|store|establishment	53.3576342	-6.2633832	False	2 Dorset Street Lower, Rotunda, Dublin 1	liquor_store
26	Guinness's Porter Stout Ale Porter Liquor Tea Coffee & Wine	ChIJQS34KIAOZ0gRc0zLPR9ls0s		liquor_store|cafe|food|point_of_interest|store|establishment	53.3536072	-6.2696999		Dominick Street Upper, Phibsborough, Dublin 7, D07 E138	liquor_store
27	Hobbler's End	ChIJ37ruzOgOZ0gRVHFXDUc6hH0		liquor_store|point_of_interest|store|establishment	53.3416733	-6.22764	False	12 Bridge St, Dublin Southside, Ringsend, Co. Dublin	liquor_store
28	Baggot Street Wines and Whiskey	ChIJi5Pv2L0OZ0gRrywlfckIMwg		liquor_store|food|point_of_interest|store|establishment	53.3334938	-6.244682699999999	False	17 Baggot Street Upper, Ballsbridge, Dublin 4, D04 V4P5	liquor_store
29	Petite Winery - Wine Shop Dublin	ChIJ254SzZ8OZ0gRWouAbkJw464		liquor_store|food|point_of_interest|store|establishment	53.3369696	-6.265387899999999	True	12 Wexford St, Dublin, D02 FK71	liquor_store
30	Martins Off Licence	ChIJGZPjPVoOZ0gRkcEjtxbLS8Q		liquor_store|food|point_of_interest|store|establishment	53.364205	-6.2322232	False	11 Marino Mart, Marino, Dublin 3, D03 K2R7	liquor_store
31	Molloys Liquor Store Liberties	ChIJp-OHMiQMZ0gR2_5wCxPRN1o		liquor_store|point_of_interest|store|establishment	53.3417882	-6.2753313	False	125 Francis St, The Liberties, Dublin 8, D08 V820	liquor_store
32	Craft Whisky Club	ChIJayfAiiMMZ0gRKwqj_vA0_Pg		liquor_store|point_of_interest|store|establishment	53.3391648	-6.275782899999999		13-17 Newmarket, The Liberties, Dublin, D08 TH6C	liquor_store
33	Tesco Off Licence	ChIJseC6GtYNZ0gRmYz_t-S1r3k	1.0	liquor_store|point_of_interest|store|establishment	53.3616763	-6.273002	False	Phibsborough Shopping Centre, Phibsborough Rd, Phibsborough, Dublin 7	liquor_store
34	Redmonds Off Licence	ChIJXf0VOaEOZ0gR3Ri-ZsIijk8		liquor_store|point_of_interest|store|establishment	53.3301907	-6.259862999999999		25 Ranelagh Rd, Ranelagh, Dublin	liquor_store
35	Derwin's Off License	ChIJW6_Kcm8OZ0gRVDwK3xJlYk8		liquor_store|point_of_interest|store|establishment	53.3687211	-6.255416299999999	False	1 Millmount Terrace, Drumcondra, Dublin 9, D09 YV62	liquor_store
36	Eatyard Wine & Cheese Shop	ChIJ-1EkjocPZ0gR5Qtap97JYkw		liquor_store|point_of_interest|store|establishment	53.3647029	-6.2713578	False	The Bernard Shaw Cross Guns Bridge, Drumcondra, Co. Dublin, D09 XW44	liquor_store
37	DrinkStore	ChIJ7xniji0MZ0gRee5pbSVKJXc		liquor_store|food|point_of_interest|store|establishment	53.3515161	-6.283288499999999	False	87 Manor St, Stoneybatter, Dublin 7, D07 NH48	liquor_store
38	O'Briens Wine Off-Licence Glasnevin	ChIJFzDPxnYOZ0gRBJeckyWVsWs		liquor_store|food|point_of_interest|store|establishment	53.3668169	-6.2719906	False	6 Finglas Rd, Botanic, Dublin, D11 C447	liquor_store
39	Redmonds of Ranelagh	ChIJgSCUwaUOZ0gR-CtoS3QAU_s		liquor_store|food|point_of_interest|store|establishment	53.3255116	-6.2554304	False	25 Ranelagh, Dublin	liquor_store
40	Centra Dame Street	ChIJr4Cn2JwOZ0gRfoQ6AmFgCEo		convenience_store|atm|meal_takeaway|finance|liquor_store|restaurant|food|point_of_interest|store|establishment	53.3442673	-6.2645161	True	56 Dame St, Temple Bar, Dublin 2, D02 PP28	liquor_store
41	Chapter & Verse	ChIJ100blZgOZ0gRQf4twQ_9mK8		cafe|laundry|convenience_store|book_store|meal_takeaway|liquor_store|restaurant|food|point_of_interest|store|establishment	53.3359147	-6.2570898	False	1/2 Leeson Street Lower, Saint Kevin's, Dublin 2, D02 NY60	liquor_store
42	Sweeney's D3 / Lilac Wines	ChIJN21661wOZ0gRRNpP-nXQ0LU		cafe|liquor_store|food|point_of_interest|store|establishment	53.36657289999999	-6.2400254	False	117 Philipsburgh Ave, Ballybough, Fairview, Co. Dublin, D03 XV04	liquor_store
43	Fagan's	ChIJVXipKdYNZ0gRCCvnOwXthh0		liquor_store|point_of_interest|store|establishment	53.3633146	-6.272632799999999	False	99 Phibsborough Rd, Cabra East, Dublin, D07 PY53	liquor_store
44	O'Briens Wine Off-Licence Sandymount	ChIJkTQdod4OZ0gRvOZhOqetcW0		liquor_store|food|point_of_interest|store|establishment	53.3326499	-6.2160233	False	97 Sandymount Rd, Sandymount, Co. Dublin, D04 FX90	liquor_store
45	Prinks.com	ChIJZ1FGRZgNZ0gRYgzjdO3CDhE		liquor_store|point_of_interest|store|establishment	53.3432479	-6.2893723		41 James St, The Liberties, Dublin 8	liquor_store
46	Next Door James Street	ChIJnyhr-jkMZ0gR2cQb7zPz5_o		liquor_store|point_of_interest|store|establishment	53.3432318	-6.2893782	False	41 James St, The Liberties, Dublin 8	liquor_store
47	IQ Option Dublin	ChIJd_WsA28NZ0gR2yafOb6jry4		liquor_store|point_of_interest|store|establishment	53.3255113	-6.265299		137 Bóthar Ráth Maonais Íochtarach, Rathmines, Dublin 6, D06 V3Y8	liquor_store
48	O'Neills Off Licence	ChIJh1r5hhcMZ0gRCgtyBxAh90g		liquor_store|point_of_interest|store|establishment	53.3315714	-6.2794734	False	184 S Circular Rd, Saint Catherine's, Dublin, D08 PX53	liquor_store
49	Next Door Off License South Circular Road	ChIJubDPsroNZ0gRicKNeDjLxIs		liquor_store|point_of_interest|store|establishment	53.3315728	-6.2795239	False	184 S Circular Rd, Merchants Quay, Dublin, D08 PX53	liquor_store
50	Goose Off Licence	ChIJ41LDzUYOZ0gRNgVrE0LEqd0		liquor_store|point_of_interest|store|establishment	53.37566289999999	-6.2396996	False	24 Sion Hill Rd, Drumcondra, Dublin, D09 V6VX	liquor_store
51	Next Door Off Licence Cork Street	ChIJ-bVJhT4MZ0gRW8Ara-pDjxk		liquor_store|grocery_or_supermarket|food|point_of_interest|store|establishment	53.336505	-6.2883377	False	73 Cork St, Dolphin's Barn, Dublin 8	liquor_store
52	O'Briens Wine Off-Licence Donnybrook	ChIJ4zbXJrYOZ0gRxjgs-5IMeMk		liquor_store|point_of_interest|store|establishment	53.3221357	-6.2360425	False	30 Donnybrook Rd, Donnybrook, Co. Dublin, D04 K8K7	liquor_store
53	The Baths Online Wine Store	ChIJtZawLacPZ0gRTchHAUuuf1Y		liquor_store|food|point_of_interest|store|establishment	53.3603173	-6.204850599999999	False	123 Clontarf Rd, Clontarf, Dublin	liquor_store
54	D-Six wine, beer & spirits	ChIJP9JbRTQNZ0gR6Su3YBv4UlA		liquor_store|food|point_of_interest|store|establishment	53.3236955	-6.278612	False	163 Harold's Cross Rd, Rathmines, Dublin	liquor_store
55	Fine Wines Off Licence - Rialto	ChIJ12bk8EAMZ0gR37kB3qyKsL8		liquor_store|point_of_interest|store|establishment	53.3359051	-6.2967068	False	514 S Circular Rd, Rialto, Dublin 8, D08 TF62	liquor_store
56	O'Briens Wine Off-Licence Clontarf	ChIJSc9UZ6cPZ0gRZoG4sa1MQdo		liquor_store|food|point_of_interest|store|establishment	53.3598808	-6.1960881	False	6-8 Vernon Ave, Clontarf, Dublin, D03 T6C0	liquor_store
57	O'Briens Wine Off-Licence Navan Road	ChIJ38wc3ckNZ0gRFzQEMYNFWIc		liquor_store|food|point_of_interest|store|establishment	53.36112319999999	-6.299294799999999	False	Unit 6 Maple Shopping Centre, Navan Rd, Cabra, Dublin 7	liquor_store
58	O'Briens Wine Off-Licence Rathmines	ChIJB1KXCAEMZ0gR1GGM-kcRIBg		liquor_store|food|point_of_interest|store|establishment	53.3161508	-6.2654214	False	149 Rathmines Rd Upper, Rathmines, Dublin, D06 F793	liquor_store
59	Kelly's Off-Licence	ChIJ7QqMs6YPZ0gR5x1C4cMg7Qc		liquor_store|food|point_of_interest|store|establishment	53.364303	-6.1958004	False	Clontarf East, Dublin	liquor_store
