	name	place_id	types	geometry.location.lat	geometry.location.lng	price_level	opening_hours.open_now	formatted_address	main_type
0	Trinity Centre for Creative Technologies	ChIJ5axCZ44OZ0gRodh-trftM24	school|point_of_interest|establishment	53.34833039999999	-6.249599199999999				school
1	Giraffe Childcare IFSC	ChIJkUCxlI4OZ0gROdeVW48vPsQ	school|point_of_interest|establishment	53.3491289	-6.2445766	2.0	False		school
2	المدرسة السعودية دبلن	ChIJYVaeiYwOZ0gR5WZOSW9T5Es	school|point_of_interest|establishment	53.3507779	-6.2447478		False		school
3	HealthCare Ireland Training	ChIJUVQpLo8OZ0gRYeF2yhlnL6A	school|point_of_interest|establishment	53.3501223	-6.2518901		False		school
4	St Marys Creche & Preschool	ChIJzYEEy48OZ0gR5UawxPiWEHA	school|point_of_interest|establishment	53.34712249999999	-6.251316399999999				school
5	Scruples Hair Academy	ChIJmZbWJOAPZ0gR4ZNTr3GFBng	school|point_of_interest|establishment	53.35120790000001	-6.250637				school
6	City Quay National School	ChIJvQF60o8OZ0gRVRKU1YqfemA	school|point_of_interest|establishment	53.3466957	-6.250986300000001				school
7	Charles Dublin	ChIJmz-F24wOZ0gR-_0mIardUY0	school|point_of_interest|establishment	53.3490985	-6.2425587				school
8	National College of Ireland Car Park Entrance	ChIJi1Y0JI0OZ0gRLKKE0WEgx_E	school|point_of_interest|establishment	53.348754	-6.242324699999999				school
9	Giraffe Childcare National College Ireland	ChIJkUCxlI4OZ0gRzmBOtGD0Jq4	school|point_of_interest|establishment	53.348579	-6.242185399999999	2.0	False		school
10	St Laurence O'Tooles National School	ChIJi9tGaYsOZ0gRec8PPgez5rg	school|point_of_interest|establishment	53.3501184	-6.242270700000001		False		school
12	Town Park	ChIJdW_59pEOZ0gRRtz6dPZlFa4	school|point_of_interest|establishment	53.34534480000001	-6.247423200000001				school
13	L o Tooles	ChIJsWZiUoIPZ0gRL3m78dfTPSQ	school|point_of_interest|establishment	53.3502777	-6.242113499999999				school
17	Special Primary School	ChIJQxYtp4wOZ0gR5TnuZWkyJnA	primary_school|school|point_of_interest|establishment	53.351585	-6.242862700000001				school
18	International H ouse	ChIJx0YSQYkOZ0gRiWcF-GDfPPA	school|point_of_interest|establishment	53.352564	-6.250316				school
19	St Laurence O'Toole Girls & Boys national School	ChIJi9tGaYsOZ0gRA8TfkQXmKks	primary_school|school|point_of_interest|establishment	53.3509344	-6.241923999999999				school
20	Atlantic Language Dublin	ChIJDTr3k5EOZ0gRXmTtPibZnBU	school|point_of_interest|establishment	53.3445597	-6.2480972		False	Magennis Pl, Pearse St, Dublin	school
21	school	ChIJv1ROkpEOZ0gRZ5MFsPRskMo	school|point_of_interest|establishment	53.34455269999999	-6.2480946			17-19 Magennis Pl, Dublin 2, D02 KX49	school
22	St Laurence O'Toole's CBS, Senior Boys' Primary School	ChIJCdFaaYsOZ0gRQ0sOkLfvQvc	school|point_of_interest|establishment	53.3528815	-6.2444631		False	1 Seville Pl, North Dock, Dublin	school
23	Central Model Senior School	ChIJk9HI1oUOZ0gR_bdtt5XD5KU	school|point_of_interest|establishment	53.3513517	-6.255823599999999			Marlborough St, North City, Dublin	school
24	Christian Brothers Secondary School	ChIJoXbPAJEOZ0gREy8rdKVXKiY	secondary_school|school|point_of_interest|establishment	53.3435229	-6.2506346			Westland Row, Dublin	school
