	name	place_id	types	geometry.location.lat	geometry.location.lng	price_level	opening_hours.open_now	formatted_address	main_type
0	Wallis	ChIJq_bqRoQOZ0gRQjQW5V9pvOY	point_of_interest|clothing_store|store|establishment	53.34880560000001	-6.2596873				clothing_store
1	Penneys	ChIJK-8LZoQOZ0gRF6bUtyiSw_4	clothing_store|point_of_interest|store|establishment	53.3487965	-6.260860299999998	1.0	False		clothing_store
2	Prèvu Dublin	ChIJC_M8bIQOZ0gRtWHtXVTy2sc	clothing_store|point_of_interest|store|establishment	53.34922270000001	-6.2610041		False		clothing_store
3	Mountain Warehouse	ChIJj5ZD6kgPZ0gRqKjJVMHFXCk	point_of_interest|clothing_store|store|establishment	53.3496064	-6.2596429		False		clothing_store
4	Tom tailor dublin	ChIJpdcGo-wPZ0gRYkJe3l6ID_s	clothing_store|point_of_interest|store|establishment	53.3498092	-6.2602739				clothing_store
5	Naya clothing	ChIJ63lyhBgPZ0gRlXD_hNdUbGg	clothing_store|point_of_interest|store|establishment	53.3498092	-6.2602739				clothing_store
6	M+M sports direct	ChIJ4bZZs1wPZ0gRt-jeGfIhi3Q	clothing_store|point_of_interest|store|establishment	53.3498092	-6.2602739				clothing_store
7	Foot Locker	ChIJkbZ0A5wOZ0gRM4H7k1x4EVY	shoe_store|point_of_interest|clothing_store|store|establishment	53.34798509999999	-6.259896999999999	2.0	False		clothing_store
9	GuillermoGarcia La Maison	ChIJL3jy-mUPZ0gRzS5sF1gsg6o	clothing_store|point_of_interest|store|establishment	53.3478957	-6.2596546		False		clothing_store
10	40 Degrees	ChIJdQhJDYQOZ0gRH2CEJssJYLU	clothing_store|point_of_interest|store|establishment	53.3495186	-6.261448100000002				clothing_store
11	Direction Menswear	ChIJSc5jeoQOZ0gRx3-KIVtu3yw	point_of_interest|clothing_store|store|establishment	53.3495436	-6.261443499999999		False		clothing_store
12	Nike Teamwear	ChIJ0fArDYQOZ0gR9iZA16cU4mA	point_of_interest|clothing_store|store|establishment	53.34950250000001	-6.261542899999999				clothing_store
13	Carriage & Castles Dublin	ChIJX5pb1q0PZ0gRnUJ9YXk8jpI	point_of_interest|clothing_store|store|establishment	53.3493612	-6.2617005		False		clothing_store
14	fat man's	ChIJS_tBEoQOZ0gRqf0oBL0rtF0	clothing_store|point_of_interest|store|establishment	53.3497303	-6.261282599999999		False		clothing_store
15	LUSH Henry Street	ChIJ8QENFIQOZ0gRpsFrc2OU6P4	point_of_interest|clothing_store|store|establishment	53.3498479	-6.2611268		False		clothing_store
16	Diesel Henry Street	ChIJN9WZDYQOZ0gRHcrQfxw5hTY	clothing_store|point_of_interest|store|establishment	53.3496961	-6.261482900000001		False		clothing_store
17	Cargo WorkWear	ChIJAeGigIQOZ0gR8vKQLbp6QgM	point_of_interest|clothing_store|store|establishment	53.348093	-6.261562199999999		False		clothing_store
18	Dunnes Stores	ChIJrZM7OoQOZ0gRao7QUfE4EPU	grocery_or_supermarket|supermarket|food|point_of_interest|clothing_store|store|establishment	53.3500792	-6.259135700000001		False		clothing_store
19	ZARA	ChIJpwMWsoMOZ0gReQ7MiGGFatg	clothing_store|point_of_interest|store|establishment	53.34949169999999	-6.2619805	2.0	False		clothing_store
20	USC	ChIJSTzIMwkPZ0gR8qDSXYD0TxA	clothing_store|shoe_store|point_of_interest|store|establishment	53.3501256	-6.2587432		False	19-22 N Earl St, North City, Dublin, D01 K339	clothing_store
21	FatFace Dublin	ChIJHxvSCoQOZ0gRg44iiWnL_YM	clothing_store|point_of_interest|store|establishment	53.3495711	-6.262271699999999	2.0	False	45 Henry St, North City, Dublin, D01 E9X8	clothing_store
22	Mango	ChIJKViok4MOZ0gRmXB8fPsmwrQ	clothing_store|point_of_interest|store|establishment	53.3495516	-6.2625084		False	45-47 Henry St, North City, Dublin, D01 E9X8	clothing_store
23	AllSaints	ChIJ9wcNE4QOZ0gRsg58VaG4UdU	clothing_store|shoe_store|point_of_interest|store|establishment	53.349081	-6.262925999999999	3.0	False	12 Henry St, North City, Dublin	clothing_store
24	Reiss Arnotts	ChIJAQgNE4QOZ0gRcSxQTRtGQYA	clothing_store|point_of_interest|store|establishment	53.34883749999999	-6.2629966	3.0	False	12 Henry St, North City, Dublin 1	clothing_store
25	French Connection	ChIJkxl_koMOZ0gRLZqmet2k8RQ	point_of_interest|clothing_store|store|establishment	53.3492212	-6.2630526	3.0	False	Arnotts, 12 Henry St, North City, Dublin	clothing_store
26	Ted Baker - Arnotts of Dublin	ChIJofk9koMOZ0gRfdj_iYMDYQs	clothing_store|shoe_store|point_of_interest|store|establishment	53.349124	-6.2631307	3.0	False	12 Henry Street, Dublim 1, Dublin	clothing_store
